25 43
0 0.04740779923178229
1 0.6394221471096297
2 -0.6732538404629262
3 0.1767643841574582
4 0.36564549796223256
5 -0.21433596162394575
6 -0.28199354868727555
7 0.07612981576112521
8 0.27632032770547155
9 -0.5187389711302972
10 0.8927997187889758
11 0.28070299507131735
12 0.8400404460591033
13 0.7093585342225779
14 0.06199669139609365
15 -0.7203011816798159
16 -0.02290287792152812
17 0.28474820373828647
18 -0.22735496014107826
19 0.29164903372525
20 -0.47580789931807055
21 -0.49449596973719934
22 0.5784761078986111
23 -0.40148642062326134
24 -0.9281429415383418
0 8 0.2184112962974296
0 16 0.5700056747996174
0 20 0.6844323577454092
1 3 -0.7279222403429761
1 9 0.30263453625446357
1 20 -0.1495666438418819
2 4 -0.9574103603615285
2 10 -0.26230382413633757
2 13 -0.480215608718485
2 18 0.09616543664665
2 19 0.2624519198411164
2 23 -0.6600482956174876
3 14 -0.9843130935826425
3 24 -0.661348781775738
4 8 0.4441051594937766
5 7 0.7972575897138297
5 8 -0.18809169592809982
5 13 0.11470358727425967
5 21 -0.6525534179053489
6 12 0.8426304848833535
6 17 0.6227845902791687
6 22 0.5541844471982313
7 9 -0.6953191101818974
7 18 -0.7600086759967741
8 10 -0.7821515093473237
8 15 0.04655602993188901
8 19 -0.5449946678971092
9 11 -0.865927518693427
9 12 -0.3585692427384406
9 23 -0.6893279783590422
10 17 0.1314140239920305
10 19 0.4752071661636714
10 21 0.5822506593221313
10 24 0.01606657305374637
13 14 -0.29650385045165595
14 19 0.7067926107159659
15 22 -0.500891697850504
15 23 -0.45866869612611505
16 19 0.005629128516225768
17 19 -0.8781000199070834
18 23 -0.8692303623262061
19 20 0.2866284948569442
19 24 0.32960809894692944
