25 40
0 0.3195341286080917
1 0.02211577225888961
2 0.8743513856778491
3 -0.6144184607517773
4 -0.190508674492321
5 -0.9161866827013507
6 0.8273772537306676
7 0.6413488082761805
8 0.12688200634587532
9 0.8493341376169814
10 -0.4733223126636277
11 -0.5239036416106972
12 0.09353979312435734
13 0.32295147862020235
14 0.09512124061013871
15 -0.8577556085029561
16 -0.2070582687535787
17 -0.6205005183617205
18 -0.16217120239469796
19 -0.8481686668660604
20 -0.5492262910274108
21 -0.9175225534143376
22 -0.7098848310793842
23 -0.24991027272042765
24 0.37459891127996214
0 6 -0.8528594440856012
0 7 -0.022681266734325245
0 19 0.22238435224986675
1 14 0.9663272309027007
1 16 -0.7996226150569634
2 17 0.6353396077646749
2 19 -0.9644152061069766
3 5 -0.8509892114001802
3 6 0.7087236815767015
3 21 -0.9370807969293351
4 21 -0.5603605931227633
5 6 0.7161023538451605
5 11 0.0011172681158715392
5 15 -0.5355096136636635
6 12 -0.5111794910704979
6 15 -0.41623586602761664
7 24 0.21668469500228094
8 9 0.6191836375137751
8 10 -0.16117720115869139
8 13 -0.2715344958199044
8 14 0.3976516927826572
8 17 -0.7790904112674035
9 12 0.7256629631723892
10 15 0.3090948624102512
10 17 0.8152830111556768
10 23 0.5918782206330817
11 13 -0.5018154305335081
11 14 -0.6646373733291866
11 17 -0.8247108031349779
12 21 0.310185376871599
13 17 -0.2938206136493269
13 22 -0.5921746449787846
14 24 -0.2502522865637682
15 23 0.17884592257134369
16 20 -0.43252676619042973
16 22 -0.0010484284550453804
20 22 -0.08442030009582657
20 23 0.39089641159913113
20 24 -0.24283101652645822
21 24 0.8827593111529313
