25 59
0 0.3974376397451771
1 0.9260188148824797
2 -0.8430232585362765
3 -0.4225230045330133
4 0.7027756704226824
5 -0.278512073172708
6 -0.23150527688771172
7 0.3624267907799097
8 -0.7497618130458594
9 0.6053381825645856
10 -0.6917332246228187
11 0.9719390274624076
12 0.8953905578842485
13 0.2828177663068585
14 0.49763794526233207
15 0.148518899539128
16 0.7865566965014328
17 -0.20667455792049338
18 0.7232774485812132
19 0.7462678424552125
20 0.1645916107058416
21 -0.4716221768719975
22 0.7992845205312202
23 -0.8200248750297474
24 0.2852274128471015
0 6 0.02999610800069319
0 8 0.4275651934944069
0 17 -0.8935769636666271
0 18 -0.9372977406429159
0 24 -0.6376856412688852
1 3 0.07690587638424695
1 4 0.3499327028518562
1 15 -0.02264394080194987
1 16 -0.38279484186718227
1 17 0.7846183867939611
1 18 -0.6317493181795919
1 20 0.8670071831460955
1 23 -0.6410683847172438
2 6 0.6971259011798081
2 18 0.24824510716838932
2 24 -0.020569599625811064
3 9 -0.8813649031862336
3 12 0.6136356443491955
3 13 0.30291098991425147
3 15 -0.2152537612712493
3 24 -0.20758925049277055
4 17 -0.5159947282270121
4 18 -0.02238072210238884
5 6 0.38931999826864794
5 13 -0.2016435469715392
5 18 -0.30206849051884244
6 7 0.3632740757122823
6 16 -0.2791084028117137
6 17 0.9074869663649039
6 23 -0.6425031242833046
7 9 0.44256697418896973
7 11 0.13281022439911094
7 20 0.15703221926305622
7 24 0.9854008741072986
8 11 -0.8412902191910756
8 14 0.7508601162775299
8 15 0.3086839761036029
9 18 -0.9569076786461697
10 11 0.29295039492200603
10 23 0.49038883431744895
10 24 0.66034147508792
11 15 0.1683715610666443
11 19 -0.8466014951420637
11 22 -0.27302710183948964
11 24 -0.7995277680670636
12 14 -0.13854006046570433
12 15 -0.9492261431388886
12 16 -0.06819489611284801
12 20 -0.8913443692345904
12 23 0.5787215715555694
13 18 0.8974220717611041
13 21 -0.9466625053698952
14 22 -0.5877672329013728
15 21 0.7235423393344769
16 19 -0.6853766706232491
17 22 -0.3908733230386492
18 23 0.7570371767881887
19 21 0.2441622188375856
19 24 0.3258359483185316
