25 36
0 -0.27447531648158807
1 -0.2058208264055208
2 0.9496358047661424
3 -0.49872212566272633
4 0.07161807419349842
5 -0.15428363638111886
6 0.8440911674812401
7 0.8071579861362048
8 -0.8574821293373152
9 -0.9560367855284748
10 -0.07499163561528532
11 -0.3865170117330057
12 0.032736640717461185
13 0.3350786356052995
14 0.014161942875922984
15 0.8189178483402988
16 -0.87271060174207
17 -0.9670499373852288
18 -0.9415309877492648
19 -0.8414809616954178
20 0.463894798355698
21 0.8523180201283593
22 0.22754233636505083
23 0.24516492371917642
24 0.6441366916198783
0 2 -0.3832474909043313
0 7 0.9180502541628974
0 10 0.2491876927580896
0 14 -0.5565459995384814
0 15 -0.6254363115364703
1 7 0.6693530047708645
1 10 0.6435481197574819
2 4 0.23981417881456868
2 8 -0.12231446034723792
3 9 -0.7320101849769947
3 10 -0.21489165615347083
4 12 -0.1150172146832098
4 18 0.29524174549435345
4 20 -0.21949711009773432
5 21 0.5531546475944211
6 8 -0.6092318677146467
6 12 -0.6714217096632107
6 16 0.7634753221327288
8 12 -0.7323663716045037
9 10 -0.42340572260689346
9 15 -0.2563354411299452
9 21 -0.9362648197913828
9 22 -0.30898976234986586
10 13 -0.4916327731162804
10 17 0.20688136618835995
10 20 -0.8760630964837246
11 18 -0.40533450332910936
11 20 0.19916815721965286
13 21 -0.9401122070715624
14 16 0.9568065396520764
14 22 0.6017925830559934
15 21 -0.673737656243226
16 23 -0.048495532052986734
18 21 -0.4465154548596011
19 20 0.23701249690736215
19 24 0.29426113454004676
