25 28
0 0.5323819091726474
1 0.8876669434585225
2 -0.7557276915721372
3 0.5850914516485259
4 -0.65123671597012
5 0.9808628956080345
6 -0.037895441570499955
7 -0.3735705677477066
8 -0.41178256009914116
9 0.6901549282986101
10 -0.6511262439305541
11 -0.5821768385374706
12 0.8105236874251922
13 -0.8738458901112995
14 -0.771169401612882
15 -0.703257230883729
16 -0.3806627443049124
17 0.250604135764829
18 0.9587570126374354
19 -0.6712656476742724
20 -0.7528802303108644
21 0.5855660576989279
22 -0.5294014318668476
23 0.648952851406911
24 0.369322035422168
0 3 -0.3295098283431688
0 20 0.3721602320804771
2 16 -0.2747106631762235
2 21 -0.06538903540671481
3 8 -0.4077763989571792
3 10 0.5858093095737207
4 7 -0.6327239914645457
4 12 -0.07201700768072583
4 17 -0.4034189890183364
4 20 -0.02994122808444688
6 11 0.49765198191584914
6 17 0.05033683833393732
7 8 0.09195642475152699
7 11 -0.28198661174042305
7 20 0.07458459643144488
7 22 0.850435869606055
8 10 -0.6638101321335996
8 22 -0.3789200752648627
9 22 -0.4431617621299402
10 14 -0.06417273032328508
10 24 -0.41255660776079117
11 22 -0.6434158914462051
13 23 -0.9761002057506039
14 18 -0.2534239716328439
16 24 -0.6412268925422515
18 20 -0.06955770069280032
20 21 0.6726359787774332
20 24 0.6362830367823491
