25 113
0 0.8104222133724226
1 -0.2816134472156844
2 0.49492302384331266
3 -0.5423052021243675
4 0.33578840401659793
5 -0.1555510883747031
6 0.3199065169423516
7 -0.588288094134803
8 0.012641594283053559
9 0.0020705715414246484
10 0.022664729812654105
11 -0.02079397883252998
12 -0.13792534893593422
13 -0.9019789933179301
14 -0.8573850268635479
15 -0.15419745949370833
16 -0.6512902909839289
17 0.9356806814700995
18 -0.3432200687659719
19 -0.7528649553221842
20 -0.623784636650295
21 -0.207969857994172
22 0.3175388333705649
23 -0.06468362537869576
24 0.3620441045429097
0 1 0.7055823966665895
0 3 -0.4833800946282478
0 4 -0.14330649229259307
0 5 0.9710071809453997
0 12 0.03257353300440213
0 13 -0.9973377561897929
0 14 -0.7260923066082001
0 17 0.1683425130612788
0 19 0.6819202823641066
0 22 -0.04136258168208151
0 23 0.8132180950793577
1 5 0.28231640879840914
1 7 0.11640919891061552
1 10 -0.007515954373010114
1 11 -0.4623390516268857
1 15 -0.9167636113698756
1 17 -0.03667105596875042
1 18 -0.17531492063773024
1 19 0.9132514542849899
1 21 0.9418592434291015
2 3 0.5675948227743146
2 6 0.2542613055366061
2 10 -0.8178045892838068
2 16 -0.2527625380337357
2 17 -0.6980280359927775
2 19 0.944425166563069
2 20 -0.4037444953390492
2 22 -0.9555481591951689
3 5 0.6029439864104456
3 6 0.9454815174120734
3 7 0.053111066346051006
3 8 0.1852010644620936
3 18 0.9677439484938826
3 19 -0.15785842458577792
3 22 0.03400112303222147
3 23 0.7922599394565102
4 6 -0.8668058552681512
4 10 0.4707662521635916
4 11 0.13897296247509505
4 13 -0.9842027295614237
4 14 -0.77449878192386
4 16 0.31525054320615475
4 19 0.9870088767083602
4 22 -0.6182487779741057
4 23 0.3946723243370438
5 7 -0.5668895569822168
5 9 0.0330022729079964
5 10 -0.7944988237628838
5 11 0.21101377618342898
5 13 0.5738314479962427
5 19 -0.08511390573795641
6 8 0.8350497365591614
6 9 0.5166726965196753
6 12 0.10740070961052917
6 22 -0.3652020518340646
6 23 0.772391754434747
6 24 -0.4700267807854648
7 9 -0.13929082873396137
7 11 0.9561521665785233
7 12 -0.5222936143509513
7 13 -0.4135138123183917
7 17 -0.3303328583505738
7 19 0.3029073433121354
8 9 0.6859881528912943
8 10 -0.9936209284204591
8 13 -0.3104094888298625
8 14 0.9988028307067647
8 16 -0.7289125314541733
8 17 -0.12954332303037264
8 18 0.2014922836584616
8 22 0.5401285726862823
8 24 0.35114910268069255
9 10 0.5768321337799323
9 14 -0.7720211258912939
9 18 -0.9955363872566272
9 21 -0.1597484410653469
9 23 -0.4838461526623765
9 24 -0.2899548793857638
10 14 0.30400515429996444
10 21 -0.6090668541309625
10 23 -0.09781300174452756
10 24 -0.97898648869433
11 14 -0.6036870539077475
11 16 0.32876685887301527
11 17 0.17314757086366517
11 18 -0.6094451639726763
11 20 0.6493503263751064
11 23 -0.5720007210846472
12 14 -0.43035345610759035
12 15 -0.3546606072219749
12 17 0.6473790618727995
12 22 0.4474245290428964
12 23 0.8313034037419154
13 21 0.7726220545842453
14 21 -0.2809505991993446
14 22 -0.5339231307794743
15 18 0.45403937511039616
15 19 -0.025557055212587
15 20 0.13508649289489116
15 22 0.9598579688665103
15 23 0.6030918133698351
16 19 0.3549796920017865
16 20 0.5409302235804299
16 24 0.5481529723064023
17 22 -0.9053705909351948
17 23 -0.2670351021005395
18 19 -0.5812732101259728
19 21 -0.007446467556015746
19 24 -0.03992735026055705
20 22 -0.6402200673631564
20 23 0.1971304503415301
20 24 -0.5404379872337113
22 24 -0.09925195553971644
