25 113
0 -0.1369539845106056
1 0.8140995395436497
2 0.1579220304297082
3 0.5114115620615991
4 -0.300642305818384
5 -0.5510320321084656
6 0.31131583261066886
7 -0.313353817816316
8 0.08738364729682702
9 -0.6527917040841833
10 0.04172782773106931
11 0.5660471877968032
12 -0.17497688324311222
13 0.032299869701803985
14 -0.03993707914696709
15 -0.925392962112831
16 -0.7764621531407301
17 -0.7866035178750324
18 -0.17351922934926423
19 -0.35017004935170926
20 -0.5192895197623144
21 0.459241449397485
22 0.6200699612585798
23 -0.9661193407831032
24 0.8188202673772629
0 3 -0.07965749603754868
0 4 -0.10436840445277684
0 6 -0.5548754496748531
0 7 -0.7045547145546753
0 8 0.9079239872851401
0 9 -0.928970027936969
0 10 0.5163135316002692
0 15 0.8962855704540182
0 18 0.24217730787092084
0 23 -0.21741296462115356
1 4 0.8751853205220115
1 7 0.26350950120249217
1 9 -0.46895333563776087
1 11 -0.4875633471664016
1 15 -0.15408902148712977
1 19 -0.9110443000947204
1 20 -0.6133034647802256
1 22 -0.3348012714059372
1 23 -0.23351868013772648
2 5 -0.2978025414203853
2 9 -0.22281981435706255
2 12 -0.4370178194904559
2 14 0.15831753255914394
2 17 0.16066179049560936
2 21 -0.5889111823695821
2 24 0.21630965614343367
3 8 -0.24311654620696266
3 10 -0.6563490716741149
3 18 0.9865823484968805
3 23 -0.2938871455544285
4 5 -0.39591815694434196
4 8 0.0954028842692034
4 12 0.8822362769658583
4 13 -0.8662287526686927
4 15 0.626369043589247
4 20 0.3755985851577335
4 21 0.8621760475265119
4 22 0.4195606278280182
5 6 -0.11014283864869934
5 7 -0.1278633823800137
5 8 -0.9081202723787976
5 9 -0.7841777736238977
5 12 0.36250169475699434
5 13 -0.005567558944772122
5 15 -0.8775095673068363
5 16 0.290117433762324
5 18 -0.8789055933359882
5 21 -0.7161333680240365
6 7 -0.42378298034656114
6 11 0.8986073913536095
6 12 0.1933128776368569
6 13 -0.08410432737653206
6 15 0.3679977434971864
6 16 -0.5404282838676473
6 19 0.8350581226076998
6 21 0.1366633593477109
7 8 0.8363901704494257
7 9 -0.30391963140424116
7 11 -0.808803986483271
7 13 -0.9428253904428632
7 16 0.39110034035314967
7 19 -0.10002589625510927
7 21 -0.6842834527144854
7 22 0.5307524008433397
7 23 -0.34709936880946257
7 24 0.6789215626093519
8 9 -0.9536528132261586
8 10 -0.5430770536560698
8 11 -0.10952863592365936
8 14 0.39449394167869434
8 16 -0.6420912922091848
8 20 -0.6350604479877611
8 21 -0.19948207420330588
8 24 0.4241034881414645
9 13 0.3002610138573296
9 14 0.4299430497489083
9 16 0.4138278453902611
9 17 -0.49553722263408373
9 20 -0.6273710064082301
10 13 -0.7558910015100637
10 16 -0.8921706247186674
10 17 0.6385365212640777
10 20 -0.7212198436519186
11 13 0.8863178892064465
11 14 -0.6477056645861348
11 15 0.46395491852627213
12 17 0.5508527611071121
12 19 -0.04986460401125137
12 20 -0.012898992217345695
12 21 0.8866922501905758
12 22 -0.4658406458205302
12 23 -0.15741440249768668
12 24 0.9461348014481197
13 18 0.2713443894315839
13 21 -0.17003316457866235
13 24 -0.35895484601375083
14 15 -0.3567188959363876
14 20 -0.09036217524957024
14 21 0.19298320106529077
14 22 0.75429414111685
15 16 -0.6271249674340817
15 18 0.9764095510773709
15 19 0.6039823384146952
15 21 -0.2820818055687586
16 19 -0.8050491621522853
16 20 -0.9872514445012743
17 21 0.032829986211292406
17 22 0.28587794496244867
18 19 -0.7643938765528953
18 23 -0.16060216956011253
19 23 0.9071073425645786
19 24 -0.2464682852359752
21 23 -0.7636525619612826
