25 115
0 0.6993908183792532
1 0.2798014420520176
2 -0.5263137963354962
3 -0.5104827043355287
4 0.593576334488946
5 0.5760091003541903
6 -0.4184022068571669
7 -0.3007666169480143
8 0.6505647189505082
9 -0.9036598666514202
10 -0.0394524673544121
11 -0.4380837317681314
12 0.5136261691929029
13 -0.9428776565670871
14 -0.2979814053499066
15 -0.5207634594243817
16 -0.4849275877469241
17 -0.6134991710155351
18 0.2699111925215363
19 0.2157350574265977
20 -0.4683074711877351
21 0.24225007667970577
22 -0.8248375405881612
23 0.9748964692151534
24 -0.3394200036378374
0 1 0.5342289202159083
0 2 -0.9429841770783365
0 4 0.6746174178605944
0 5 -0.6991073100191889
0 6 -0.24553016200185906
0 8 0.866486167336475
0 9 -0.6388910198455546
0 13 -0.3994158132699217
0 14 0.4452815432716528
0 18 0.39039688433062825
0 20 0.2476275653401927
0 22 0.628459661249354
1 9 0.9804251228056855
1 12 0.5186913467481806
1 15 0.45785163120300143
1 16 0.7040296160340314
1 18 -0.5301287891504167
1 19 -0.45060519197715965
1 24 -0.26951520418736763
2 8 0.3652204621178139
2 10 -0.017247876218147162
2 11 0.47905437507091353
2 12 0.33856148305778544
2 15 -0.16954504335235354
2 17 0.8203048942550846
2 21 -0.8772988644065245
2 24 -0.8383046768723803
3 7 -0.2702380853141324
3 13 -0.9926875433881797
3 16 0.6669831632183505
3 19 -0.5902287586253103
3 20 -0.6327399919390533
3 22 -0.8502067674133753
3 23 0.6964387929819091
4 5 0.30840524118174395
4 7 0.8090063945419259
4 8 -0.6685643774693941
4 10 -0.9665013436279051
4 13 0.7194345417873367
4 16 -0.5018392412955641
4 17 0.8145285141588259
4 21 0.05270988839034518
4 23 -0.13803183922742246
4 24 0.18647256197446005
5 8 -0.21669080542189212
5 12 -0.47823076412038
5 17 -0.2404624302689311
5 20 0.8451372258720098
5 21 -0.19568397982995767
5 23 -0.5319174927274415
5 24 -0.27108021341205735
6 8 0.32794446953449485
6 9 -0.7260721364980374
6 11 0.027419955730664247
6 12 0.8479063218379559
6 13 -0.9909707363783244
6 14 0.42437325984643315
6 15 -0.11752121567876683
6 16 -0.03923539251688957
6 18 0.22268541471320713
6 20 0.04443471758555373
6 23 0.907058045462235
7 11 -0.08819185774587024
7 12 0.04644123115780663
7 13 -0.4688069740871681
7 15 0.9067969769600595
7 22 0.3088632457373979
7 24 0.08095782542830476
8 10 -0.007515563118591029
8 14 -0.8992721217678421
8 15 0.15671172796430155
8 17 -0.5833361529131202
8 19 0.9821117798175032
8 21 -0.8958164653834821
8 22 0.14488405210410749
9 13 0.15769713403293673
9 16 -0.8834375673372981
9 18 0.25804559367573243
9 21 0.48163605331584547
9 22 0.6885523735213555
9 23 -0.7126768844319125
10 13 0.36795673273591123
10 14 -0.7711320072677643
10 17 -0.6623741260108884
10 18 -0.09552738654441773
10 20 0.4947533407615612
10 21 0.2292006488279148
11 14 0.45625176609549967
11 17 -0.8582323757144352
11 18 -0.6572944745587308
11 21 -0.43133682213489855
11 22 0.7606555409097895
11 23 0.2258295405285422
12 14 -0.6570034020085109
12 17 -0.7140413831438499
12 20 -0.7884500819554106
12 21 0.06039003999136683
13 15 -0.5955830162710329
13 17 0.9508411623798494
13 20 0.0786897263877746
13 21 -0.8292391533772434
14 18 0.029680338983887777
14 19 0.8887403410287125
15 18 -0.7683833872077179
15 19 0.9482137534351394
15 21 -0.7055984145923082
16 20 -0.39571801354536085
16 21 0.07735325175750418
16 22 -0.7595298925763752
17 19 -0.606221076001416
18 21 -0.9945026729614921
19 22 -0.3909403614947591
20 21 -0.6928746550593399
22 23 -0.9087317035514688
22 24 -0.2558910257903204
