25 99
0 -0.15795750227207872
1 0.08821202931623429
2 0.6431471386551562
3 -0.20807599086891737
4 -0.7613108425045805
5 0.3045283884216501
6 -0.9508001712508594
7 -0.12231095642417489
8 0.962279566147533
9 0.015422108911498977
10 -0.1843224880867751
11 -0.527793073506815
12 0.6194245235248765
13 -0.1315448696392909
14 0.3799317585950952
15 -0.6399490308149882
16 0.03355245022509101
17 -0.4893889285524011
18 0.3507274020760416
19 -0.9997128083541547
20 -0.15697617703863065
21 -0.2399172031705772
22 0.8025029204424969
23 0.706226912544353
24 -0.6004186494411996
0 2 0.580845907111537
0 4 0.6383579444846865
0 9 0.4218816373529801
0 11 -0.6348387300072567
0 12 -0.6963616467281186
0 14 -0.05201012841702335
0 15 -0.4730605495233129
0 16 -0.5762708140900956
0 18 -0.5786014051903032
0 21 -0.2915815312382759
0 23 -0.6146115157236955
1 4 0.05208491027094686
1 5 0.34146614163457767
1 8 0.0165763772575529
1 9 0.585640733548253
1 10 0.4972188102745856
1 14 -0.128705799921917
1 15 0.5663878036769476
1 19 -0.7510596275122872
1 21 0.09610694259002628
2 3 0.28916165627319623
2 5 0.10878591533873672
2 8 -0.3684221439394162
2 12 0.8511696325844014
2 15 0.6559740683535564
2 17 -0.274262770396831
2 18 -0.9930446831547197
3 16 -0.028711830944987193
3 20 0.08885845566245343
3 23 0.0013030063705556927
4 5 0.9035808087183581
4 6 0.1606866594923646
4 8 -0.8261451911415321
4 10 -0.5745886711347445
4 18 -0.659789719485093
4 19 0.9969575121319096
4 22 0.7019194322275282
4 23 0.9886875398131494
4 24 -0.6015728210479263
5 10 0.01721068759322475
5 12 0.8592825659624668
5 14 -0.5197595981267362
5 15 0.19006940104755476
5 16 -0.7727426147740164
5 17 0.0657291231671242
5 19 0.28356627817706026
5 20 0.28974168014208246
5 21 -0.9566098463325472
6 8 -0.346587406274675
6 10 0.06984836169724695
6 14 -0.517032348358105
6 17 -0.18252962523830774
6 24 0.17581698227975506
7 8 -0.5030505767848783
7 13 0.39607162554620134
7 16 -0.44605838808233367
7 20 -0.19572245753944384
7 21 0.9165620192488273
7 22 -0.5849984362588228
7 23 -0.37625665105425465
8 22 0.8948486775666489
8 23 -0.7644506960592683
8 24 -0.2915515572834102
9 11 -0.5154424535652617
9 12 0.9487004051433279
9 16 0.33213456203901104
9 20 -0.42012660265436774
9 22 -0.19686835276247483
10 11 0.3595044236668241
10 18 0.7761104127286134
10 20 -0.028852952343977556
10 23 0.9887406877398357
12 16 0.429100306274977
12 18 -0.10515473590659008
12 22 0.5533252165316038
12 23 -0.39800121792734044
13 14 -0.9958062948435271
13 16 -0.4876518560749399
13 19 0.6034923628666435
13 20 0.8386486680969159
14 17 0.7442237688628373
14 19 -0.7339922546273394
14 20 0.854761116309769
14 23 0.7159787724597841
14 24 0.9378662858791276
15 16 -0.992484533446595
15 24 -0.7139080328130192
16 17 -0.2144235108710022
16 18 -0.2545596387499176
16 20 0.6019291331973553
17 18 -0.7149689473865992
18 23 0.8175494371770753
19 20 0.20330568916393754
19 22 -0.038782294248099314
20 21 0.01916399209520714
20 23 0.5293556207177392
21 24 -0.7779781479485179
22 23 0.33906192522557
22 24 0.7457357937839624
