25 188
0 0.804552974574964
1 0.7993827658433341
2 -0.658348840465909
3 0.03277900227983732
4 -0.7536059850717012
5 0.884257190910839
6 0.8926459461567398
7 -0.4313759269642512
8 0.7931214004123222
9 0.9285876223625722
10 0.12202119059338679
11 -0.5982753536651508
12 0.41151535329483213
13 0.8064766308652482
14 0.6179682178611834
15 0.19015800467487898
16 -0.4906842979945254
17 -0.7654078923512448
18 0.8310402232130456
19 0.8671142298215115
20 -0.9442308734764466
21 0.4262121111060031
22 -0.20988252356581616
23 -0.052280693226821384
24 0.7232282200765512
0 2 0.9525033085402905
0 3 -0.3169913445979431
0 4 -0.3229944082818066
0 6 0.07773563764070657
0 8 -0.15396414212795184
0 11 -0.03935477999500536
0 12 -0.6866891142291207
0 13 0.2755284811116696
0 14 0.3026602741815918
0 15 0.2806908477448822
0 17 0.40371039218331295
0 18 -0.0848337895293132
0 19 -0.4625615687745539
0 20 0.9341963073397122
0 22 0.25470981272894844
0 23 -0.9020265868375885
1 3 0.2053538306007876
1 4 0.3270667376236891
1 5 -0.8320479908732517
1 8 -0.5960062328773956
1 10 -0.09307296825754263
1 12 0.6565987352854123
1 13 -0.01957825874664265
1 14 0.8038160550481803
1 15 0.013015774747508368
1 16 0.7569159097184801
1 17 -0.2637030755408798
1 18 0.8790944590935268
1 19 -0.9849203645972318
1 21 0.12036979110074486
2 3 0.3021288193221294
2 4 0.7316747942711073
2 5 -0.4730784236407706
2 6 0.9542164752271383
2 10 -0.07671988226363102
2 11 0.90585307904815
2 13 0.9827004229129961
2 15 -0.8511910974297796
2 16 -0.8570793193337172
2 17 0.4844724744194906
2 18 -0.32990401161346883
2 19 0.26927383678406813
2 20 0.19083152496856748
2 22 0.3848811101979386
2 23 -0.6477817248517208
2 24 0.41426757633226896
3 4 -0.34844479264099215
3 8 -0.7646036738890227
3 9 -0.7243168364724148
3 10 0.9716301899231179
3 11 -0.4379372403904951
3 12 0.7184518205505279
3 13 0.6496413651926047
3 16 -0.7562368414298555
3 17 0.19942259307942067
3 18 -0.25719753621474295
3 21 0.9495029961250836
3 22 0.23781474261682956
3 23 0.3027373259756849
3 24 0.7626332742445605
4 5 0.017903975114897053
4 6 -0.6251614267192522
4 7 -0.4174063145111053
4 8 0.9907894877073347
4 9 -0.8467846779787276
4 10 -0.7628030514127984
4 12 -0.8481048356734693
4 15 -0.7485532404295825
4 16 0.7862597843888037
4 17 -0.7829969920201623
4 19 0.645366312807595
4 22 0.38172847477825367
4 23 0.585649699120218
5 6 -0.48838899930661994
5 7 -0.948854608162568
5 8 -0.3567103274354537
5 9 0.821225090261333
5 11 0.13034045165092922
5 14 0.3863762484987421
5 15 0.8233275293352813
5 16 -0.5228967113665126
5 19 -0.6293455677814446
5 21 -0.9973872623231737
5 22 0.4062700691048118
5 23 -0.007282214305153634
5 24 0.9972774391672228
6 10 -0.12505255545865812
