25 174
0 -0.9890949877066553
1 0.06138015494274818
2 0.5111935941820827
3 -0.6557450934871971
4 -0.8415443575938761
5 -0.7858873099386594
6 -0.0056128214647186425
7 -0.7231000497500135
8 -0.3598658823995635
9 0.06470157481072825
10 -0.9699865281396134
11 -0.8162622883166646
12 0.9647331229548584
13 0.30918515698038695
14 0.5689272583267622
15 -0.3616930129520193
16 -0.5358171908801457
17 0.5916034366605993
18 -0.4921733678212241
19 0.6141017679273435
20 0.11881356693639455
21 -0.8909473584243484
22 -0.5904014457625149
23 -0.12650088291664496
24 -0.14150944540753319
0 1 0.7949838712925068
0 3 0.12738246837603429
0 4 0.8757963694175213
0 6 -0.7151711654367685
0 8 -0.7430640894769021
0 10 -0.7971334298208979
0 14 -0.7659918542234685
0 15 -0.6093722010594484
0 16 0.06785545018983519
0 19 0.1465418507599423
0 20 0.18059582862724155
0 23 0.008428466019785974
1 3 -0.10698287562360198
1 9 0.12050955345067083
1 12 -0.696811441507895
1 13 -0.898754828819673
1 14 0.06588089329517066
1 16 0.7123031523270105
1 17 0.13700801486145564
1 18 0.45091978774904606
1 21 0.2317301133724412
1 22 -0.8469190331906193
1 24 0.9800867293849345
2 3 -0.0883828435593903
2 4 -0.13930278151695363
2 5 -0.9295238120501901
2 6 -0.6211821786424037
2 11 -0.14122959237052246
2 17 -0.001177049210908887
2 19 -0.8445187691938951
2 20 0.7764040842366131
2 21 0.8325879661019564
2 23 0.4017421325575674
3 4 -0.3662818460140089
3 6 -0.34537991769253984
3 7 0.04603086748448004
3 8 -0.6740460359635712
3 10 -0.5299904437446654
3 11 -0.4607660582073161
3 15 -0.9955196369984141
3 17 0.3065245187373733
3 19 0.7601480103386591
3 22 0.4119847369006582
3 23 0.7315293580018487
4 6 -0.6546906030390083
4 8 0.11198992635866101
4 9 -0.8328734776806754
4 10 -0.7361328792098671
4 11 0.934721070566868
4 12 0.39298213096453116
4 16 0.6658789079364913
4 17 -0.8192336226506962
4 18 -0.6417847477659364
4 19 -0.18433520549277715
4 21 0.21652801270235145
4 22 -0.8314512700195247
4 23 0.5006498957822227
4 24 -0.9553768652738825
5 6 0.15039861940779553
5 7 0.3755733637750138
5 8 -0.13717692243229584
5 9 0.9858616567041023
5 10 0.7269174175605135
5 13 -0.8386066706148521
5 14 0.5514613076328436
5 15 -0.7050484335566178
5 16 -0.9574525958431801
5 17 0.16989288330574048
5 19 -0.2988837222454408
5 20 -0.51411327545002
5 21 0.09083352841264758
6 9 0.732843140633819
6 10 0.5836153332798673
6 11 0.4760471051651276
6 14 0.8781362693566606
6 15 -0.6237255227344498
6 16 -0.5527247235916459
6 18 -0.7018990550845745
6 19 -0.19747613255951402
6 20 -0.8617681261945793
6 22 0.42950426659562013
6 23 0.11993349978217704
7 12 -0.7266788527363377
7 13 -0.26286835838662537
7 15 -0.7925223075632535
7 16 -0.6702725580125388
7 17 0.20544929588578897
7 18 0.4847743701955718
7 19 -0.36801175523717977
7 20 0.3554437226524567
7 22 0.0001367352695167412
7 23 -0.08926098819791162
7 24 0.0021554110312136388
8 9 -0.03289374075708773
8 10 -0.845356371229719
8 11 0.7942975573794113
8 16 0.44124697021008386
8 17 -0.07970011759965412
8 19 0.28621752602197614
8 21 -0.35491190850433685
8 22 -0.30195718243065084
8 24 -0.2769648647922929
9 11 -0.032017670514121965
9 16 -0.7126467230764346
9 17 0.5808367943245138
9 18 -0.9949593242819059
9 20 -0.26993117381575527
9 21 -0.9934322976098946
9 22 -0.8157966004187516
9 23 0.4913848293751104
9 24 -0.8400473146517311
10 13 0.28449754866480226
10 15 -0.5868587815734756
10 16 -0.9913488751071062
10 17 0.4262141202126477
10 18 0.1550684860824132
10 20 0.165625556690846
10 24 0.961009615680225
11 15 -0.5172635782054604
11 16 0.13954080258773982
11 17 -0.01486465512157431
11 18 0.20474540419611031
11 19 0.2909617716947188
11 20 -0.44932776584416545
11 21 -0.2623288743086043
11 22 -0.4799499668861189
11 23 -0.9639937539652981
12 14 -0.9661159509395825
12 15 0.20028171445070186
12 17 0.12822271092922355
12 18 -0.5276386360871488
12 19 -0.6210919577157268
12 20 -0.8461793120583556
12 21 -0.9828968177088129
12 22 -0.36774735477110965
12 23 -0.9645246246897639
12 24 0.5855812909273745
13 17 0.15686092925484996
13 18 -0.083959788677618
13 19 -0.23972359353600714
13 20 0.7427698545176857
13 21 -0.02201736074168026
13 22 0.41393840800169723
14 15 0.46696087125957275
14 16 0.09820696502600201
14 19 0.3182602592650787
14 20 0.91049117720574
14 22 -0.1528394042024439
14 24 0.8781070373703608
15 17 -0.7634048155270583
15 19 -0.9742158750387098
15 22 0.8966830354047897
15 24 0.259021637404353
16 17 0.7167264765574728
16 24 -0.3007904613554184
17 18 0.9198087218169944
17 19 0.19665344058046097
17 20 -0.6894829377737732
17 21 0.1856908497625942
17 22 -0.6549472705405857
17 24 0.40998084033831783
18 19 0.1885352320555791
18 22 -0.1611472291983358
18 23 0.750019701352626
19 20 -0.5106905182651496
19 22 0.5799498249051847
19 23 0.9362849147352066
20 23 0.8949205823013942
20 24 -0.9418074294728072
21 23 0.5511965504238223
21 24 0.503446692305231
22 23 0.03792058719834368
22 24 -0.35184365532837814
23 24 -0.763314279803067
