25 226
0 -0.03798243700584569
1 0.7121743375901377
2 -0.7176148846377106
3 0.8819413964314318
4 0.4119998111820331
5 0.7487562500695684
6 0.7610185342757305
7 0.20184035790497057
8 -0.8963952066452632
9 -0.294907691766807
10 -0.7441004734696506
11 -0.4197704038177035
12 -0.15735660268317053
13 0.9991165444737415
14 0.28458242248485566
15 0.27297970348996325
16 0.38392829336932754
17 0.7225070940212202
18 0.8167123139336998
19 0.8669565494270743
20 0.3526224173489274
21 -0.38064658427931986
22 -0.9966281747530294
23 0.08544530789423166
24 -0.2813717226087824
0 2 -0.06113362193438521
0 6 0.05172341408107317
0 7 0.1430822815516235
0 8 -0.9656218264455421
0 9 0.03336860057582314
0 10 -0.5130300748334529
0 11 -0.08383853042339706
0 12 -0.33639878787517286
0 13 0.1364057041486071
0 14 0.2073056359208041
0 15 0.5656757303021653
0 19 -0.17704337453799157
0 24 -0.32501959218282894
1 2 -0.12523692658104757
1 3 0.18360917331598592
1 4 0.566496134348822
1 6 0.011339145767189862
1 8 0.4481537095903081
1 9 0.12731824999373376
1 10 -0.7796462012572152
1 13 0.028269722032601585
1 14 -0.3329777250902497
1 15 -0.19910359972418767
1 16 0.002842166840589355
1 18 -0.6923284111086425
1 20 -0.44906217593087194
1 22 0.41202187774960053
1 23 -0.9477410986499062
1 24 -0.20328290559647555
2 3 -0.4340066740826447
2 4 -0.034795980722109876
2 5 -0.6992582066182267
2 6 -0.10707249549543452
2 7 -0.6421376941941122
2 8 0.6265323656208244
2 10 0.35911463954366263
2 13 -0.12482048377942645
2 14 0.683722058554393
2 15 -0.5019889993869726
2 16 -0.27346413438469575
2 17 0.4120319846199063
2 18 -0.754604141061243
2 19 0.13269729419444443
2 21 -0.67327488584247
2 22 -0.6790676160024753
2 23 0.5525904665639338
2 24 -0.784761906841521
3 4 -0.46593889977069347
3 5 0.2726997247738001
3 6 0.508834640770383
3 7 0.16429771966974438
3 8 0.7265418065936553
3 9 -0.8328516351343367
3 10 0.9815026075955537
3 11 0.8914357524502734
3 12 0.21334811446455704
3 14 -0.2628885831771859
3 15 0.557200660479992
3 17 0.6125083381067056
3 18 0.6681691900936944
3 19 -0.5646171597367851
3 20 0.5713701674169689
3 21 -0.48381555463355297
3 23 0.06705988948705044
3 24 -0.3404108512361341
4 6 0.16845607890311998
4 7 -0.14254338930374422
4 8 0.8651418907295805
4 9 -0.9242795030678495
4 12 -0.07155319476313049
4 13 -0.13742949447701291
4 14 0.1131183459038454
4 15 0.2614956515099529
4 16 0.6648174638265631
4 18 -0.7909431885924625
4 19 -0.38065895226566093
4 20 0.7973954358347861
4 21 -0.30064867425256114
4 22 0.17545136329919453
4 23 0.014454969668609596
4 24 -0.11024176567292221
5 6 -0.5510468865806988
5 7 -0.4137054727163403
5 8 -0.08317329782146277
5 9 -0.5086568221212571
5 10 -0.5408177924565474
5 11 -0.8614539639177123
5 12 0.044973709362635006
5 13 -0.8668540803618496
5 14 -0.20271946891754156
5 15 -0.39904867399194544
5 16 -0.634975277080639
5 19 -0.8253782344610698
5 20 -0.409486408257987
5 21 -0.19188777428593884
5 24 0.4227903624371425
6 7 0.24178604889981337
6 8 0.27590346293939394
6 9 -0.09869558061061778
6 11 0.8711866006626852
6 12 0.16842667193215943
6 15 0.715450234471896
6 17 0.7018767792619125
6 18 0.591901738969421
6 19 0.019547211801424824
6 20 -0.5777382127488915
6 24 -0.06323454051704247
7 8 -0.4101888742226081
7 9 -0.6591511120554381
7 11 -0.32918191284182985
7 12 -0.8702794602851824
7 13 -0.8164945443414426
7 14 0.7770303148560831
7 15 -0.10045536061112981
7 16 0.8974024329878207
7 17 -0.6165823091779143
7 20 -0.19192162865806184
7 22 0.10431049832362027
7 23 -0.5801261915234095
7 24 -0.24136765137286909
8 9 0.14478140678582174
8 10 0.1924130289739665
8 12 0.17627892962017166
8 13 0.8524095608428714
8 14 0.11141056589208054
8 16 0.506219587378393
8 17 -0.8640622471462547
8 19 -0.7745684430272635
8 20 0.714563864952017
8 21 -0.41949297659238494
8 22 0.6453957549518223
8 23 0.6893689380766586
9 10 -0.8353067350431167
9 11 0.37169114288242744
9 12 -0.07155135069587049
9 13 0.7337344849572975
9 15 -0.3728997772586904
9 16 0.12274980680092451
9 17 -0.8416158523539263
9 18 0.8513062550332027
9 19 0.36264356741994974
9 20 0.2904336246778143
9 21 0.21450680425481572
9 22 -0.9206525038454414
9 23 -0.2867523456622738
9 24 -0.4399761653477876
10 11 -0.27895427031443454
10 12 0.9648734552941725
10 13 0.12044569989422094
10 14 0.9025939962959206
10 15 0.7037362973177037
10 16 0.3698237343905053
10 17 0.3764190569653103
10 18 0.9851706712948851
10 19 -0.9928702362289104
10 20 -0.2223457495446548
10 21 -0.2355216116415073
10 22 -0.9005639384811643
10 23 0.3526472045730067
11 12 0.7588486232098755
11 14 0.6804297738272056
11 16 0.037568431674050995
11 17 0.9458198942927096
11 18 -0.2771678763909158
11 20 0.7285857161422076
11 21 0.9258768667277615
11 22 -0.6844704000154611
12 13 -0.015219561486994548
12 15 0.181300806072489
12 16 -0.2728851895571689
12 17 -0.5098064150229547
12 19 0.11126814524619233
12 20 0.630316844383543
12 21 0.9419786193608213
12 22 -0.04883896014659217
12 23 0.14125101474334834
12 24 0.39275986320056777
13 15 0.7613798220276282
13 16 -0.15296535567960956
13 18 -0.6382154612501099
13 20 -0.6385101724259026
13 22 0.5749718809092139
13 24 -0.5169778774069176
14 16 0.3794231955510148
14 17 0.007360427434954131
14 18 0.5675857216270577
14 19 0.7041998525374551
14 20 -0.9563749192441005
14 21 0.8045519196738413
14 24 0.46402790654633375
15 17 0.39256114058610714
15 19 0.43721113063718864
15 20 -0.8304680744082293
15 21 -0.2697853012377176
15 22 -0.3087932107766864
15 23 0.7360055361697111
15 24 0.10416104239928758
16 17 0.5840506730755497
16 18 -0.5585459252373108
16 20 -0.7502697745655256
16 21 -0.1022911981180199
16 22 -0.5552792806974716
16 23 0.9803362952535148
16 24 -0.5783814823237352
17 18 0.20562985501928743
17 19 -0.5695339196577298
17 20 0.6516866102367753
17 21 -0.9014336981624942
17 22 0.23547595896350204
18 19 -0.08900462904666173
18 20 -0.40992173715257185
18 21 -0.4393053700459406
18 22 -0.0738367041623742
18 23 -0.6997784962939066
18 24 0.6488281922743502
19 20 0.11136257981889153
19 21 -0.4401959941830531
19 22 0.22186648261323816
19 23 -0.03059780050508909
20 21 -0.972137195795816
20 23 -0.17100857056655783
20 24 0.598251648879454
21 22 0.5456177928779833
21 24 -0.3054566660274034
22 24 0.03994264380331192
23 24 -0.1338354685295764
