35 160
0 0.4269026411835266
1 -0.47534690499849086
2 -0.01539898542506668
3 -0.8265388563032516
4 -0.6498138600162313
5 -0.21686836685423883
6 -0.29944060542377593
7 -0.9077752217951158
8 -0.36932882788325117
9 -0.49320017968882124
10 0.08787371427189106
11 0.03641283953974628
12 -0.08283001388487077
13 -0.7448576992782969
14 0.14519039518295984
15 0.4880375849969347
16 0.034776208491777316
17 0.7464340404052374
18 0.3606112939442725
19 -0.40266091917434155
20 -0.37810191545839156
21 -0.47448256670899425
22 0.74021771918326
23 -0.7146186235052281
24 0.7823740523260387
25 0.2485924572154019
26 -0.9034561461221502
27 0.1302001888291715
28 0.49017399923019145
29 -0.5514720384259044
30 -0.35206612069466336
31 0.9442969087916493
32 0.7986415297124194
33 -0.9547145525366518
34 -0.7452844468362199
0 5 -0.7229664315221207
0 7 0.6817841813776364
0 12 0.8704942193036667
0 13 0.6876184164861472
0 15 -0.8987128296615183
0 16 -0.1526798904674933
0 18 -0.9775626450768644
0 21 -0.10196204679390153
0 22 -0.2860856450280249
0 24 0.8955290718869253
0 25 -0.5147857302111936
0 28 0.013900061820090404
0 30 0.49319492005343335
0 32 0.1240406997165735
0 33 0.10777158548173826
1 3 0.9697935983386796
1 12 -0.6309134803145253
1 22 -0.12657819815715832
1 23 -0.7498794489315581
1 26 0.42734135790344796
1 27 0.25835425565992653
1 31 -0.3621101867313794
1 32 0.45425260900909925
2 8 -0.27701880227102427
2 17 -0.48422012255780955
2 18 0.6795608635954635
2 21 0.3075888984530728
2 31 0.8082094648756513
3 4 -0.5815119567653182
3 7 0.8917240669387254
3 8 0.5832548943349811
3 11 -0.40862418391765565
3 13 0.619595940652065
3 18 -0.09323148933751813
3 19 0.6419859438780957
3 28 0.44751872310992225
3 30 -0.1320478385588968
4 5 -0.7899227981756687
4 8 -0.46204533337181175
4 9 -0.23354923177480647
4 17 0.329299383370099
4 22 0.4057070442102477
4 24 -0.7163279966234268
4 30 0.3345457029411696
4 33 0.4099225522298937
4 34 -0.9072162260344456
5 6 -0.7581293195464005
5 9 -0.8058411726325263
5 11 -0.564320782128215
5 13 0.6027609642768619
5 14 0.09987356296409411
5 22 0.8255469713062089
5 28 0.22816187028177404
5 29 0.1476911083901149
5 34 0.4311658651828567
6 7 0.37114652745026566
6 11 0.8701973921279911
6 12 0.21165356366250276
6 16 0.7593748580889372
6 24 -0.04949483679915079
6 30 0.11995573241333601
7 12 -0.7101268648843719
7 17 -0.11092440667330461
7 18 0.17812449297060473
7 19 -0.31082539852028357
7 21 0.9643946289296625
7 22 0.3470395990538737
7 23 0.5138109034408234
7 24 0.39223472668148074
7 25 -0.3080949805242348
7 27 -0.46308123070642604
7 34 0.0777142925259986
8 12 0.9434657706365106
8 13 0.6358410324670456
8 16 -0.9474209294313594
8 18 -0.8382461709404057
8 22 0.33613285161892326
8 23 0.27673032514574314
8 25 0.36016394832853527
8 26 -0.5171441437448523
8 30 0.1941353893586799
8 31 0.41561903929595045
8 34 -0.29058200834618386
9 11 0.9055149530398043
9 16 0.9748212960207052
9 23 -0.8263048552509094
9 24 -0.42016787849586046
9 25 0.7141327309959213
9 31 0.8260591767024761
10 15 0.41614557312696143
10 30 0.40975922558339795
10 34 -0.38245216504371826
11 21 0.8546030836619789
11 24 0.9761364577610585
11 25 0.3783877538413163
11 27 0.9177419119715664
12 26 -0.9802619981395881
12 30 -0.08242572444061902
12 31 -0.9169376908923106
12 32 -0.2198971663262106
13 18 -0.4615513604069623
13 21 0.8855702039355915
13 30 0.869569761921722
14 18 0.15620493710965255
14 20 -0.6509594687141982
14 21 0.012893672033629677
14 22 0.05516251475581835
14 25 0.29999284349487
14 32 0.7478354149950937
15 21 0.07783808283194427
15 23 -0.26143712493803006
15 26 -0.5635392177918219
15 27 -0.09573454352604616
15 28 -0.08717460690194545
15 30 -0.9611737647133212
15 33 -0.7312192230276973
16 28 0.9405234097956656
17 18 0.27274473954619105
17 23 0.3160873850504222
17 33 0.16838980963997963
18 21 0.5633085304971437
18 24 0.9248186695833951
18 27 0.3685592749338811
18 28 0.5915582903599221
18 32 -0.8998909190087745
18 34 0.5364088274636474
19 21 0.3257567026891268
19 28 0.4886476264006663
19 29 -0.8457106064713338
19 34 0.7882608779468001
20 23 -0.05584330285887118
20 27 0.19764735663706534
20 31 -0.2954664323612093
21 23 0.3375077175572967
21 24 -0.10082382338311469
21 26 -0.2846535409317492
21 30 -0.1932679826664283
21 31 -0.7250851502039013
21 34 -0.8898091524194398
22 25 -0.673619736886709
22 26 -0.724784006725937
23 33 -0.6255482620997879
23 34 0.9505913513809869
24 27 -0.1872095281444186
24 28 -0.28747067308678
24 33 -0.42906985276425913
24 34 0.25809334456969757
25 26 -0.6722135467475021
25 29 -0.3460554046670572
25 30 0.9676505972933731
25 32 -0.5375917249678113
25 33 0.11111167452326476
26 27 -0.19343066501840345
27 34 -0.7605856016450743
28 31 0.7614996061328558
29 30 -0.7203128672143662
29 33 0.764156500415031
30 31 0.3065653174999363
31 33 -0.37691235696034453
31 34 0.18125588866517517
