35 150
0 -0.8661652965413913
1 -0.051909873815505714
2 0.04190132984764139
3 -0.767412078980191
4 -0.26611328220556896
5 0.3868921493900106
6 0.7251784498384541
7 0.6399288103684655
8 0.41687960353303244
9 0.7529309440284784
10 0.21022666428071446
11 -0.9984160451174484
12 0.40744978188223
13 0.8272931276186857
14 0.9638493391453895
15 0.44698820176852294
16 -0.9726875678581941
17 0.348974874290479
18 0.5750888582105307
19 -0.8422639625517083
20 0.7963733656867222
21 0.496930064097556
22 -0.13519581252919566
23 -0.22403458383673747
24 0.7217502924792236
25 0.9014475483096773
26 -0.787624365089834
27 0.47089507019226184
28 0.40783558325004154
29 -0.5502779321767013
30 -0.9403824835173857
31 -0.41946310604009795
32 -0.7233138169951407
33 -0.3535979246447911
34 -0.8141423727215054
0 5 -0.06638615674605752
0 11 -0.24728400509642312
0 12 0.7429476772052315
0 17 0.19272728761846336
0 22 -0.7880181892855076
0 23 -0.6992634305666976
0 29 0.1689170898614447
1 12 0.6306018405887623
1 13 0.8139152271598495
1 20 -0.45733852047842216
1 22 0.830792014543545
1 24 0.48281635341170315
1 27 -0.7547198359735319
1 28 -0.8816912879838648
1 32 -0.11653364887305573
1 34 -0.25789295896311915
2 3 -0.3548145532849889
2 12 0.4517019889916214
2 14 -0.29502823610762086
2 17 0.4031799774569831
2 18 -0.4387875309358229
2 22 0.8762826600756388
2 23 -0.25451125570608824
2 27 0.8129312475387052
2 28 -0.69901841788367
2 30 -0.28621614176230525
2 31 -0.293265320106487
3 6 0.014655270516935381
3 12 0.621550158145908
3 15 -0.21247617186404688
3 33 -0.23445620889652075
4 19 0.6691487608056987
4 21 -0.6850667308710956
4 22 -0.3220354442516178
4 26 0.6853501453198243
4 27 0.7534783886476639
4 29 0.878929763863161
4 34 0.7784136000701023
5 7 -0.6557221307634074
5 13 0.07490278162803743
5 15 -0.8014855866061228
5 16 -0.5406931395138548
5 19 -0.21480127682613226
5 23 -0.5832830844550083
5 24 -0.45828412178797095
5 32 -0.7744393485373031
6 7 0.24149121062245849
6 11 -0.9387081917970219
6 17 0.8736575788927916
6 30 -0.5222722605594146
6 32 0.46744424763393333
7 8 0.9166007526863102
7 12 -0.4311020499464202
7 26 -0.9890925669137112
7 28 -0.20624708638147382
8 10 0.894912232660898
8 17 -0.6842329377970628
8 26 -0.530212935685936
8 30 -0.7420489483059156
9 10 0.44039717014920643
9 12 0.28606691433543907
9 15 0.21290660936158545
9 17 0.13207387584456698
9 21 -0.3809460986472386
9 28 0.1056481712476538
9 30 0.8149423355859116
10 12 -0.347224716163298
10 13 0.8483339662124392
10 16 -0.5861915617382827
10 20 -0.17670997746651307
10 25 0.41429843734636873
10 27 0.36436193227469027
10 29 -0.6804449642689312
10 33 -0.13374673896520317
11 12 0.06977818142800096
11 14 -0.9760633666631737
11 16 -0.3729368264168573
11 17 0.32471979701278086
11 18 0.9237347129917912
11 22 0.799440291288134
11 27 -0.2637723428862584
11 29 0.8061813832892704
11 31 0.1501375013008026
11 33 -0.7767609876195114
12 13 -0.5031126951064533
12 15 0.22669180778146925
12 16 -0.8494712805575748
12 17 -0.6646119298678552
12 22 0.3980562216913699
12 24 -0.14575887107929875
12 27 -0.6176176793721673
12 33 0.8414817859058334
12 34 0.3809445821364825
13 14 -0.41561399083068706
13 19 -0.6329341113064175
13 26 -0.23496259279175935
13 27 -0.2780568134431083
13 29 -0.5796525755973385
13 31 -0.04466869174122157
13 32 -0.1967823895563754
14 19 0.49618781319463956
14 23 0.5493787427130457
14 34 -0.7942000414544139
15 18 0.5144844872049965
15 23 0.9205364990604472
15 24 -0.6112963762010144
15 27 0.40324877026686523
15 28 0.4461613599278742
16 31 0.7246115971926059
16 32 -0.5793394538068095
17 19 -0.36724005765962
17 22 -0.3647251180534612
17 25 -0.4271052360455774
17 26 0.6186048625472345
17 28 -0.18788125839870462
17 33 0.4877909850679425
17 34 -0.41676703561197126
18 32 -0.6690988274459153
18 33 -0.48784828146397285
19 20 -0.08260314533735702
19 25 0.5238194319542409
19 26 0.3573477144956576
19 30 0.11544014726252017
19 32 0.14169916657595683
20 31 0.8495917675130922
21 23 -0.2955642430864627
21 25 -0.5323318516492273
21 27 -0.31466845000321064
22 23 0.930213083161451
22 26 0.602933792214404
22 30 -0.5047972850242628
23 25 -0.4147137114950523
23 26 -0.9805102344471734
23 27 0.6032073204528743
23 33 -0.27350275148186
24 25 -0.12288263511148534
24 28 0.4643935690455756
24 33 0.8360269580228357
25 33 -0.9553193048992625
25 34 -0.1844996103011709
26 29 0.24023575602153557
26 32 0.5907386908300136
26 33 -0.950269913603019
27 28 -0.6695714699272663
28 32 -0.7581100158124447
29 30 -0.352912769236007
29 31 0.4909050408939193
29 33 -0.07083973826661816
29 34 -0.9948630243087369
33 34 0.8873269035985885
