35 126
0 0.49774674923758355
1 -0.2017030227828258
2 0.6890921946909543
3 -0.3595607740934046
4 -0.3499278576260336
5 0.6305560954007556
6 0.8101085749726111
7 0.5854792823698043
8 -0.47541453046704474
9 0.6440407963671841
10 0.5402805785295539
11 -0.6191072411453831
12 -0.735365032832247
13 0.028671108639936937
14 -0.06518760658193146
15 -0.1484202597791906
16 -0.939647527831321
17 0.06733161837331925
18 0.8534352347256784
19 0.11928340289168093
20 0.9270357426486613
21 0.20901733199180472
22 0.5989437513416827
23 -0.2743136358947733
24 -0.5569207503404738
25 -0.29489544089203545
26 0.4759078050049659
27 -0.6805045209417819
28 -0.10720209710264395
29 0.37329225078233086
30 -0.8624680450469002
31 -0.962357809220076
32 -0.7031679203331445
33 0.7268375771877515
34 0.8524633801122183
0 1 -0.924797103255629
0 2 -0.1013883449510804
0 4 0.39058092198250693
0 5 0.2295980182744517
0 13 -0.2834792121904772
0 21 0.7370766112313947
0 22 0.26494496402616674
0 26 0.4654448344734994
0 33 -0.5583732795515148
1 9 -0.5913499533115869
1 20 -0.04180248458655811
1 22 -0.5231603201219708
1 27 -0.8065974795586135
1 30 -0.8421971567097308
1 31 0.5889945622126014
2 3 0.04996740259949939
2 16 -0.9275061756074685
2 18 -0.7854603117184296
2 23 -0.15193868949238598
2 26 -0.9121500666678382
2 30 -0.036691384345452605
3 5 0.26992301594160883
3 8 0.3432041470196481
3 16 -0.2110126851485301
3 22 -0.5325231082312638
3 26 0.003732954782904363
3 27 -0.09675240777764937
3 30 0.1646111609796772
3 32 0.6796935969355407
4 7 0.09254573443496072
4 8 -0.02016155159200328
4 23 0.41313139508626895
4 24 -0.152471225630177
4 28 0.6371641080548418
4 30 -0.23963041271342167
4 34 -0.6544244880609011
5 13 0.27210399768647586
5 21 0.2334268369778576
5 24 -0.07166399880836782
5 26 0.5857676714363238
5 30 -0.6240210177492569
6 8 0.5121127685018827
6 20 -0.30996879725143933
6 25 -0.2357110345196347
6 30 -0.4387370492126934
6 32 -0.8711663195469583
7 10 -0.258510663708414
7 18 -0.6957142162752585
7 22 -0.31876290626753345
7 24 0.3483013600069984
7 26 -0.09173770246435464
7 33 -0.4011215516614497
8 9 0.5590836177496772
8 21 -0.9170705540995778
8 29 0.9880715172315364
8 32 -0.1006990244993542
9 10 0.11550325945685191
9 14 -0.6528590973562665
9 21 -0.7200078360108644
9 22 -0.39078996125310383
9 27 0.2814454265447013
9 28 0.19844654042722198
9 33 -0.4143547724003087
10 11 -0.08137188292306274
10 18 -0.7142220132537764
10 19 0.4865740880010636
10 20 -0.905415030743171
11 15 0.011819950557791614
11 18 0.5515745861673491
11 19 -0.741736638501568
11 22 0.4667609533513515
12 17 -0.9956488383539013
12 21 -0.9978750618091969
12 23 -0.9390450462974651
12 24 -0.1480720062672083
12 28 -0.44804846051157576
12 34 0.34999436765281344
13 17 -0.9567870550506499
13 18 0.9856250854484789
13 25 0.03845304475558908
13 27 -0.6248035224345345
14 16 -0.872967043319689
14 19 -0.31191860801943827
14 20 0.2907987809071433
14 25 0.10450785473866508
14 31 -0.22492270534227798
14 33 -0.7427319247511734
15 19 0.40376325374970934
15 20 -0.85651410977797
16 20 0.3449693995463696
16 21 0.7351566587527454
16 25 0.36587697765922234
17 20 0.4398357115253575
17 23 0.3686431496942557
17 25 0.9887043528709536
17 28 -0.31704114381618664
17 34 -0.022744115103468188
18 19 0.28383041014269383
18 34 -0.24735924992228964
19 22 -0.28119458611678105
19 27 0.8928119970993538
19 34 0.2628640380957674
20 23 0.015661069854430387
20 33 0.4436752443060783
21 22 0.995819012987641
21 27 0.5123437931949224
22 23 -0.4616477479233243
22 31 -0.03912559908940616
22 33 -0.6310850801595591
22 34 0.15382556536461323
23 27 -0.9800096803524272
23 28 0.25938201776040337
23 29 -0.6506464091484452
23 34 0.7277130988523104
24 27 0.4239764193427975
24 31 0.14191190273562637
24 34 0.28834078894683635
25 26 0.598228108824175
25 30 0.3291811452067901
25 32 -0.7414060674021976
26 33 -0.4855725190233462
27 28 0.7256262410414658
27 29 0.43811859447541335
28 29 0.95245830781076
29 33 0.11011653233390795
31 33 -0.635408811528861
