35 220
0 -0.8851064446802084
1 0.8244110241013503
2 -0.2560829694787803
3 0.8311896161042482
4 -0.42896298243424114
5 0.5769956878281064
6 -0.10423587019163238
7 0.7184824751146637
8 0.97345364909322
9 -0.20665170131652322
10 -0.09999999862855247
11 -0.46667958161666245
12 -0.3831694281300144
13 0.20410015283080307
14 0.540516902720507
15 -0.511033059745303
16 0.8829309992240737
17 0.06650184784600155
18 -0.19994116515048121
19 0.5763873655772704
20 -0.29723418112579747
21 -0.2498790943385263
22 -0.2111423959432357
23 -0.7238543482312472
24 -0.6083154651068201
25 0.19393065008403987
26 0.4900816553087002
27 -0.5461401924063878
28 -0.05602599277857201
29 0.12079238846298646
30 -0.3780968890179688
31 -0.9147719729043009
32 0.025395229891227222
33 -0.5819151265061602
34 0.3739958043633296
0 5 0.21847488262282533
0 6 0.342167140166588
0 9 -0.28445526251574527
0 17 0.3433282947515375
0 21 -0.23550198252659382
0 23 0.8496917368916321
0 28 0.0129159216016006
0 29 -0.5099369843024006
0 30 0.010860781869119096
1 5 0.8275331059700246
1 9 -0.04967922125460689
1 10 0.722050099325414
1 11 0.024481853128888176
1 16 -0.5176792533369119
1 20 -0.7055175848804589
1 22 0.217912788387572
1 25 -0.12651936048829016
1 26 0.5491053805283808
1 27 0.663604614449075
1 30 -0.8085028845198692
1 32 -0.12327163819386078
2 4 0.843736345977891
2 6 -0.2080439217183152
2 10 -0.5558269641635631
2 15 0.6411981105821398
2 19 -0.40375678707689255
2 20 0.18665019167654262
2 27 0.8798553293349605
2 29 0.13547028614173762
2 30 -0.5036514076016172
2 31 -0.6441197494583644
2 32 0.8958817436068851
2 33 0.08417783625775055
3 6 0.9965708495973231
3 7 0.18623975440657503
3 11 0.027057973872503194
3 12 -0.5046150317519968
3 13 0.026888495132807666
3 16 -0.4082020687878116
3 19 0.36734004964857836
3 21 0.12579282935774794
3 24 0.326157297642627
3 29 -0.27136139384866653
3 32 -0.2719235109080471
3 33 -0.5662688514764562
4 5 0.6731854616579263
4 7 -0.10801967481306463
4 9 0.047491135687000474
4 14 0.5874311572329409
4 15 -0.11076463162116412
4 24 0.24826215337921953
4 29 0.6027488915036967
4 32 -0.45993106130796435
5 6 0.9891066025740651
5 7 0.46579030136258415
5 8 0.8454643506559221
5 15 -0.21672120536577322
5 22 0.7143391243309931
5 24 -0.3070435545203718
5 26 0.9085976460085197
5 29 -0.4295212758574072
5 33 -0.7797285725773249
6 7 -0.3787209421082265
6 8 -0.47163588901499787
6 11 0.0177566958794646
6 22 0.9291585911463114
6 23 0.9484201530124705
6 24 -0.8844003756007055
6 25 -0.6959082535347147
6 27 0.02162096492469523
6 31 -0.9133184460002906
6 32 -0.7494403685772317
6 33 0.11647640783573521
6 34 0.17817542409357867
7 8 0.6939673210178083
7 10 0.16084409163632052
7 11 -0.7856652181176895
7 12 0.2174126941364718
7 13 0.3516810099214436
7 17 0.9154463844608232
7 23 -0.2696804249875828
7 26 -0.18533333157056053
7 28 -0.13130414650641442
7 29 0.18677312609156216
7 31 0.31450618485920745
7 33 -0.8878384786926825
8 10 -0.663593874337951
8 17 -0.960044644377992
8 19 0.6439265556746512
8 20 0.9043422900342384
8 24 -0.11129895621660157
8 28 -0.16095447442249267
8 32 0.17065332745846362
8 33 0.5275934480052442
8 34 -0.33345464805312
9 11 0.4406375616746834
9 14 -0.8326958368643735
9 17 -0.2289314697329916
9 23 -0.42194285969312806
9 25 -0.9540931289080676
9 28 -0.8966527387791194
9 30 -0.6984135169366834
9 31 -0.9566457487410405
9 33 -0.8240943624092063
9 34 -0.1390680730635161
10 11 0.046994329461805595
10 13 -0.9353838443328624
10 15 -0.7962072647503469
10 17 -0.429884348401137
10 19 0.753387065690966
10 20 0.6737309393239919
10 21 0.9131337350855868
10 22 -0.9910129046228691
10 23 -0.25108050326544706
10 28 0.8215538507182445
10 29 -0.2842324691874538
10 33 -0.6529505486924854
11 12 -0.20016248860604735
11 14 0.04388528101157374
11 19 0.2211181269290765
11 21 -0.7959291653901575
11 24 0.5752601084297644
11 28 0.5543665674508409
11 29 -0.09126142259653225
11 31 -0.36370158046852596
11 32 -0.6900337409184514
11 33 0.9927841299462004
12 17 -0.5974245553787603
12 18 -0.9130657029685751
12 28 -0.29099486994636603
12 29 0.07260723562890647
12 30 0.43719279079253015
12 34 -0.25597417736912575
13 14 0.32312124965996536
13 15 -0.257814849443716
13 16 -0.9805685835136273
13 18 0.44656716761353565
13 20 0.9801950457352502
13 23 -0.7298201075748678
13 24 -0.15530048563748733
13 26 0.5966780210541449
13 29 0.327210046294927
13 34 0.136871444662364
14 15 -0.054030303380155464
14 16 -0.4913782179295483
14 22 0.7111338545046113
14 24 -0.050824040784910096
14 25 0.9114636917000316
14 27 0.2863675649720385
14 31 0.30046876705172765
14 32 -0.15255179706419608
15 17 -0.07398075918976255
15 20 -0.053955245120214324
