35 181
0 -0.7824144672418258
1 -0.5539550590072546
2 -0.9141415461330435
3 0.6837471220112903
4 -0.21169496803156007
5 0.22034132809739293
6 0.3919739811936567
7 -0.6492613994587315
8 -0.7553072088295811
9 -0.5217013483516659
10 0.0891777390654136
11 0.9494971077132304
12 -0.4571351152202978
13 0.746461408898615
14 -0.1354012626538481
15 0.6070458484587327
16 0.1712204075930306
17 -0.8778806014281586
18 0.7801969959364077
19 0.32671943037636386
20 -0.6212127856359713
21 0.14847966810828628
22 -0.4450732224845775
23 0.7576795554816962
24 -0.48550496593475523
25 -0.9315381134384997
26 0.42158779021283466
27 -0.049020877916862604
28 0.9850756613117728
29 0.8586896361695011
30 -0.14004819823785253
31 -0.5520848480513536
32 -0.9056435892239201
33 0.5587213881762136
34 -0.6629083154846123
0 3 -0.7621877046054693
0 4 -0.8778032251543839
0 5 -0.08979641848760989
0 7 -0.5517696580918896
0 9 -0.5185301848250954
0 10 -0.3380733852580913
0 12 0.6725436909106763
0 14 0.8504094119102301
0 22 0.40565057923973113
0 23 -0.7571302083438847
0 30 -0.8309290715801207
0 31 -0.4033948647985697
0 34 0.9667212516805765
1 4 -0.938292295410339
1 6 0.6317341344390626
1 7 0.7320034788625853
1 8 -0.9094983382407786
1 9 0.1167411605983717
1 15 -0.009740412097936968
1 16 -0.2908233613364952
1 18 0.021096053815972127
1 28 -0.797188722080403
2 7 0.5446872873760162
2 8 0.298849797321445
2 25 -0.6330441615184179
2 32 0.4567124496083357
2 34 0.773869691669304
3 6 0.7676268342094206
3 8 -0.203404257828941
3 12 -0.4329744452830333
3 13 -0.382160725443077
3 16 -0.5391344306478403
3 17 0.6522851826931584
3 18 -0.9989975205181698
3 28 -0.658696861449596
3 31 -0.5418474090166427
3 32 -0.7103093730746648
4 13 -0.947526064899721
4 14 0.5318006697706761
4 17 0.3215834468844725
4 23 0.5213832225145296
4 26 0.6643765047829453
4 29 -0.9766449809226461
4 34 0.6048146660138847
5 9 0.7985606979230646
5 11 -0.5638680909129847
5 15 0.2851757282444074
5 17 -0.3349946366161116
5 19 -0.24569249681414873
5 21 0.8479603102155349
5 26 -0.0014570451387627692
5 31 0.706737781438546
5 32 0.7502926545385995
6 9 0.2626761440169061
6 12 0.6731380983942654
6 13 0.7606301283884012
6 16 0.9404592026741292
6 18 -0.9119018218764767
6 21 0.01858703420024832
6 23 -0.935982005926518
6 28 0.809667343449149
6 29 0.15174158195319576
7 14 -0.1313620261817594
7 15 -0.6605192382892076
7 16 -0.3911298124623117
7 17 0.30455072393570437
7 21 0.9145087263662148
7 28 0.3687798612482305
7 31 0.4456041275733862
8 20 0.7740573021645301
8 21 0.5087025918184618
8 31 -0.9434691365197929
8 33 0.3389070972089858
9 11 -0.06864617850035848
9 12 0.20485164013444113
9 16 -0.13186876107045253
9 17 0.39303298033295975
9 18 0.8442645673096512
9 19 0.6210531711742826
9 20 -0.9504779842490139
9 21 -0.53038967610585
9 23 -0.9277290083445795
9 27 0.7115801675220885
9 31 0.1888200064917651
9 34 -0.8177730763046709
10 11 0.3064640785815924
10 17 0.6890819169374225
10 20 -0.9344177593232792
10 22 -0.4328165880306907
10 23 -0.7102421533247274
10 24 0.11920672593159631
10 26 -0.2524645667256784
10 28 -0.14167076435388481
