35 351
0 -0.8821173075577962
1 -0.13510918360447777
2 -0.5090023176119116
3 0.22934488070134074
4 0.8232433641702352
5 -0.4042649246379324
6 0.32359443347270544
7 -0.1789816676386149
8 0.7105020856003441
9 -0.9695027000482406
10 -0.1555232702833962
11 0.587218926334391
12 0.8225803094864026
13 -0.20388799574956873
14 -0.22815192023034703
15 0.40004255338913053
16 0.3714825311389023
17 -0.530520135634599
18 -0.7739526333659761
19 0.6436714293811343
20 0.9159567272958988
21 0.005908307665769774
22 0.6255819649316416
23 0.9070043169118658
24 0.9864624566021778
25 -0.5975811636812813
26 0.7168419316827335
27 -0.25619523898658936
28 -0.8333612339183227
29 -0.24816813657674164
30 -0.5778632528196552
31 -0.9604508127814813
32 -0.37062082823147424
33 -0.9770206679479467
34 0.06308094954896837
0 3 0.7549937499921593
0 4 0.9237177209679135
0 6 -0.35419376124036517
0 8 -0.17274194977970558
0 10 0.570273912451486
0 11 -0.814732809486475
0 15 -0.7638522535793351
0 17 0.7246205472695515
0 19 -0.09983505418849736
0 20 0.18656245084082768
0 21 -0.6686798824221467
0 22 0.6152274261196577
0 23 0.4510245689942729
0 24 0.20433234512686616
0 25 -0.7800101794771086
0 27 -0.8087541441796096
0 28 0.10283599300509083
0 29 -0.10895931118750402
0 31 0.7288587489306175
0 33 0.04574385697220662
0 34 0.24944023015944716
1 2 -0.4030974750313219
1 3 -0.29428715731181687
1 4 0.44680934606972267
1 5 0.5301062646609127
1 6 -0.623577528854818
1 11 0.4903612187770352
1 13 -0.7592203118265348
1 14 0.5647130385781445
1 15 0.33123770286939225
1 22 0.5581956650902324
1 23 0.4662160720098065
1 25 -0.3212731771614419
1 26 -0.34183155985208646
1 27 -0.5706500618003172
1 30 -0.5018093343488785
1 31 0.3327454948121138
1 32 -0.5644316411967705
1 33 -0.6837495517335259
1 34 -0.5738538667441864
2 3 -0.4919625303637756
2 4 -0.7714889238875224
2 5 0.017539234588701103
2 7 0.47126723569563955
2 9 -0.9623278145184695
2 10 -0.508293215268705
2 12 0.2948391485060349
2 13 -0.3181146821190959
2 20 -0.47799942844353516
2 22 -0.43824795018486773
2 23 0.30985235801906863
2 24 0.025372623583097997
2 25 -0.5601164233994291
2 26 -0.43044510364842314
2 27 -0.38293943715950696
2 30 -0.43600205941062553
2 32 -0.6663867597843416
2 33 0.6177698192768113
3 4 -0.5274959524283345
3 6 -0.49487530751823483
3 7 0.3881963434201108
3 9 -0.6860745892191444
3 11 0.7533235096727875
3 12 -0.051072159113855875
3 13 -0.593549175149606
3 14 0.9988627804078756
3 16 -0.12989280192921293
3 17 -0.29744362732336893
3 19 -0.8643895353429212
3 21 -0.9558963164812702
3 22 0.934227331619403
3 32 -0.6406974763615598
3 34 0.6794216854885655
4 5 -0.6584535276514045
4 6 -0.07459258970640659
4 8 -0.5069023553873548
4 9 0.2011306619363371
4 10 0.12163516506114425
4 11 0.9235603606906893
4 12 0.1597965085558264
4 16 0.03785652046125465
4 17 0.6052978257525019
4 19 0.004655980408176497
4 20 0.5029057919666025
4 21 -0.08901909010516462
4 22 -0.0030742112994366355
4 24 -0.2520362419871627
4 25 -0.8600327276455981
4 26 -0.41505452498104844
4 27 -0.4298294797613327
