35 358
0 -0.14700521261936328
1 -0.5369397395756523
2 -0.5060715626458079
3 0.2042388113276219
4 -0.053129951128265684
5 0.44259716462792364
6 -0.4280651177678847
7 0.037804438315825806
8 0.5098784740979279
9 -0.39679611134021364
10 -0.5522787087447019
11 -0.7169051346238455
12 0.44552212675395464
13 -0.626929973785711
14 0.40718202786381585
15 0.3136499044674108
16 -0.6151746200922446
17 -0.22899840608111033
18 0.19323875870108576
19 0.6357930162218701
20 -0.8237688128391369
21 -0.051264913556341885
22 -0.8740184300691649
23 0.6134239409314135
24 0.37269943285252216
25 0.6982120098012501
26 -0.962466052512954
27 -0.7571570757692081
28 -0.5423534079123165
29 -0.35020803356590635
30 -0.21326448006366405
31 -0.5348866271828894
32 -0.7782899846160891
33 0.4460824415136173
34 0.2611628933587715
0 1 0.7229300326849328
0 5 -0.43530367911239964
0 6 0.5350974233538426
0 7 0.1232134511379872
0 9 0.5153278573600812
0 13 -0.1529787568441454
0 14 -0.46767543204043904
0 15 0.6225104953558758
0 16 -0.6171849713905209
0 17 -0.10573366339940149
0 19 0.32244727927516226
0 20 0.2932729134905767
0 24 0.0077592311152561155
0 25 0.013811368303061622
0 27 0.4953161975082663
0 29 -0.048895476800943305
0 30 0.4677564415357154
0 32 0.27604965946929094
0 33 -0.9844034302854727
1 3 -0.15510675643932892
1 4 0.9287741861366865
1 5 -0.5673237210623581
1 7 0.5178813141224132
1 8 -0.12743911615034387
1 12 0.024860873909549497
1 13 0.9283052580995415
1 15 0.3528086247938451
1 16 -0.36768043174069676
1 19 0.23257408106554256
1 22 0.007941594939571361
1 24 -0.8165756242706199
1 25 0.7104455548769648
1 27 -0.45568985349030555
1 29 -0.8389913325548746
1 32 -0.8035203695511188
1 33 -0.6356162123510904
1 34 -0.2330209157338612
2 3 -0.10150561762383248
2 4 -0.7909539988737126
2 5 -0.28157139327990666
2 8 0.2312150960743209
2 12 -0.14276052647221782
2 14 0.6146977570968029
2 15 -0.1773188528081966
2 17 0.9340333556328446
2 18 0.48694136869123206
2 19 -0.6228904785786951
2 26 0.9326823079948781
2 27 0.1927110925187392
2 28 -0.6986175714332907
2 30 -0.9842592129915138
2 32 -0.004580922597747117
2 33 -0.027560063834493276
3 5 -0.6042972931935711
3 6 0.32400114607569175
3 7 -0.13418415864809163
3 8 0.5153775804202372
3 13 0.16511959564327938
3 14 -0.37258570574395056
3 17 -0.12162182576882508
3 18 -0.3647327290441673
3 21 -0.925612619502
3 23 0.41938035432453424
3 31 -0.9305325324496652
3 32 0.4450832024712703
3 33 0.7434532387322546
4 6 0.23438941100086996
4 7 0.27495192751205955
4 9 -0.6295652426918803
4 10 0.01856082879153087
4 13 -0.005987748687057204
4 14 0.7052589961333313
4 15 0.25866477594603765
4 18 -0.798121217158678
4 19 0.03492445881361461
4 20 -0.054500527855375624
4 21 -0.31825100938806994
4 24 -0.46205198361881794
4 26 0.9798082780462005
4 30 0.0918960915815521
4 31 0.78923741375641
4 33 0.7135411457588936
5 6 0.8477880677246408
5 9 -0.6245687846430403
5 10 -0.5394588574833394
5 11 -0.46748946236553013
5 13 0.4628854595167857
5 14 0.44674882885046285
5 15 0.9814292178503139
5 18 -0.9379425615824548
5 19 -0.12998820514305964
5 20 -0.9045266082882191
5 23 -0.30654096978212153
5 25 -0.6821149776494406
5 27 -0.4373235673658147
5 29 0.3007076300752429
5 30 0.5765147654457219
5 31 -0.671154300895783
5 32 0.40848949091446474
5 33 0.5886261164504627
5 34 -0.017798832809090115
6 8 0.02631724567826077
6 9 -0.7771022812998025
6 10 -0.6314109501589915
6 11 0.08375884581224868
6 12 -0.14903391887199224
6 14 0.5284672768182903
6 15 -0.8744858515218044
6 17 -0.36338980210407734
6 18 0.9421671703150483
6 19 0.38994961803537165
6 23 -0.16054687785663124
6 24 0.044001540984779375
6 25 0.8462392906733895
6 28 0.4139269115719606
6 30 0.8524837349606305
6 31 0.8670235852241865
6 32 0.30251469584277957
6 33 0.6256730734481613
7 10 0.4506631640767653
7 12 0.4819193437977667
7 14 -0.44213524230241674
7 15 0.5480642673100127
7 16 -0.4717622733859954
7 17 -0.7729410385404838
7 19 -0.09916541418194558
7 20 -0.8310498775699802
7 21 -0.7993169178746118
7 22 0.5932305168951553
7 25 -0.7773149440874698
7 29 0.3200809735554151
7 32 -0.28392995143108646
7 34 0.08477573177185338
8 9 0.18044502918346073
8 11 -0.9623305447723549
8 12 -0.7339646863962443
8 13 -0.08086997087665293
8 15 -0.18060821155484663
8 16 0.5790439730150867
8 18 0.03448535584978196
8 19 0.9539667102910971
8 21 0.31532934404611335
8 22 0.319254001799284
8 23 -0.022818561047799557
8 25 -0.12512566363321675
8 26 0.6123838071970853
8 27 -0.4494586263135061
8 28 0.24655903759459008
8 29 0.5061006042764988
8 30 -0.39089843056808915
8 32 -0.12413195871750404
9 10 0.465365231795168
9 11 0.133740337315289
9 15 -0.7894557316468904
9 17 0.5387338350961783
9 19 0.5218230721613097
9 20 0.7999713514103068
9 22 -0.020112352785752963
9 23 -0.9541608352771216
9 24 -0.43306718495595664
9 26 0.7932792915838784
9 27 0.2478154847455052
9 29 -0.6649449896135693
9 31 0.13051910674275047
9 32 -0.2798898140051802
10 11 -0.895654462702224
10 13 0.25515490395438145
10 17 0.249174836445617
10 19 0.8755479933730717
10 21 -0.9434246829954462
10 22 -0.37175461742517113
10 23 -0.29693909014340836
10 24 0.9821201490606986
10 26 -0.18083633715729586
10 27 -0.9455943446276056
10 28 0.9526899731471392
10 29 0.1533339541143668
10 30 0.7063451360913424
10 34 0.13140758739588043
11 12 0.746339836473517
11 13 0.920974131877643
11 16 -0.6851251192271801
11 18 0.7426736721377447
11 20 -0.7544021768738345
11 22 0.40230573849580553
11 24 0.5899673156293832
11 25 -0.11895391187826787
11 26 0.904528681953475
11 28 -0.31007282399849356
11 29 0.06324677136974644
11 30 -0.23659024293076358
11 32 0.16413488211210225
11 33 0.5379643975513273
11 34 0.15180206131249285
12 13 -0.7561989985198014
12 14 0.27461743016701523
12 17 -0.6191338952702337
12 18 0.8221283350855084
12 20 -0.3766014308404959
12 21 0.2664808543114403
12 22 -0.9763943629550007
12 24 0.1092683373035106
12 25 0.37201835502306957
12 28 -0.049280666053129085
12 29 -0.4802604800009136
12 31 0.5826868643152865
12 32 0.751831391593303
12 33 -0.35018692160612597
12 34 -0.2908838155158917
13 16 -0.2377777005888213
13 17 0.777007632086393
13 19 0.8101321167402966
13 20 0.7094243161848452
13 21 -0.5519816525803212
13 22 0.44280155175498814
13 23 -0.7510369014970621
13 25 -0.0016272601864377734
13 26 0.7803341144222993
13 27 0.3985548944989039
13 28 -0.8329079790016278
13 29 0.5063228593523312
13 31 0.82848689106954
13 33 -0.24233015136561709
14 15 0.06659033954744209
14 18 -0.7274316474688411
14 19 0.3305650734523513
14 20 0.8240593871114446
14 21 0.16972841266225158
14 22 0.45780324321636856
14 23 -0.1089589784570224
14 25 0.8128944931401638
14 27 -0.6428236992150362
14 31 0.2303364576724276
14 33 -0.21439819009594974
15 16 0.03582399457932839
15 18 -0.5631093339416948
15 20 0.3045726803286737
15 21 0.23408571703550707
15 23 -0.18541580880190534
15 24 0.6091627434499396
15 26 0.3294153787996248
15 27 -0.7219554802039907
15 28 0.36499976401767764
15 30 0.5955487322958251
15 34 0.213820464115972
16 17 0.30344447155670773
16 18 -0.17603416709380793
16 19 0.9753914658499778
16 22 0.8635856792842496
16 24 0.45295060679104804
16 25 -0.4884754052815645
16 26 0.6884936596759872
16 27 0.9886586117995704
16 28 0.3701754605680012
16 31 -0.5503083431737532
16 32 0.7001933016437623
16 34 -0.5004675663644076
17 18 0.7216420672020636
17 21 -0.3167973772186894
17 23 -0.7347712353636107
17 25 -0.14296961408318953
17 26 0.5591907323355367
17 27 0.37586798698013135
17 31 -0.7480172463527313
17 32 -0.5112501891022572
17 33 -0.8469688257723818
17 34 0.3788783862356817
18 19 0.33483872296300254
18 20 0.06561997789560281
18 23 -0.2901094394682897
18 24 -0.7675203235469279
18 26 0.18556387604951796
18 27 0.14973211707399936
18 28 -0.023276890875101097
18 29 0.8124732227712321
18 30 -0.12314760433551264
18 32 -0.37458704011880073
18 34 -0.028372600601842546
19 21 0.886998396109417
19 24 0.31206984936234305
19 25 -0.991401704842922
19 30 -0.12314115054050401
19 33 0.830933477198115
19 34 0.43874013957567803
20 21 -0.9298608660473653
20 22 -0.4647630538936711
20 24 -0.4938129426758271
20 26 0.06295419231643051
20 27 -0.6657214571575403
20 29 0.2591217644869075
20 30 -0.6034251357162326
20 31 -0.04773072159287106
20 33 -0.793029361259517
21 22 -0.47302764745126225
21 23 -0.8332342849805465
21 25 -0.14415820301743598
21 26 0.34433937286351934
21 27 -0.8735996480074175
21 28 -0.994433509524959
21 29 -0.496684064553339
21 33 -0.8819123270606855
21 34 0.45771442519301164
22 25 -0.8903823475588302
22 27 0.058741637576817274
22 28 -0.7099493035062148
22 30 -0.2673490355331041
22 31 -0.6337574790179048
22 32 0.6355074854762
22 33 -0.27778617400447914
22 34 -0.9856944032250805
23 24 -0.02977491557318168
23 26 -0.6386450816881193
23 27 0.8516300992330064
23 30 0.9625257518435959
23 31 -0.18937604779865835
23 33 -0.21806760678709103
23 34 0.5481083072511677
24 26 0.24528419987720818
24 28 -0.40866406397381794
24 29 -0.7314255709526842
24 30 0.23201257176597045
24 31 -0.8566518205787794
24 32 0.6277977549608407
24 33 0.6171352513047637
25 26 0.18225847072037515
