35 505
0 0.1533846619090693
1 0.9307998306061336
2 0.4724617259895705
3 0.873040648951189
4 0.2560518778442611
5 0.6596673227587209
6 -0.5403158129087731
7 0.6245921082719996
8 -0.4793384331263191
9 0.7094575608633953
10 -0.40844296325419194
11 -0.6272891537947658
12 -0.8522446536557571
13 0.5034267139990249
14 0.7266374569202458
15 -0.4302790499875906
16 0.0032726562412856985
17 0.5528079839022084
18 0.575570197814367
19 -0.7604790377212338
20 -0.5934985329400251
21 0.3216464698230823
22 -0.3410786326331312
23 0.9620332579989028
24 -0.3954822774344202
25 -0.29648014334830974
26 -0.6827842855624757
27 -0.1034285217624622
28 -0.9959732919742377
29 0.6527609695147443
30 0.5297585229340034
31 0.13843507309237135
32 -0.5396391127605786
33 0.8153041091025319
34 0.8747218177194855
0 1 -0.8533953090618676
0 2 -0.6402442095829093
0 3 -0.3980695051420209
0 4 -0.806373827446119
0 6 0.17422029843780718
0 7 0.005821637122858103
0 8 0.111248141828731
0 9 -0.5178774432433204
0 10 0.06523079031832868
0 11 0.9421854508336291
0 12 -0.09932988825193001
0 13 0.60495728847309
0 14 -0.5343916616049933
0 15 0.19378618151915483
0 16 -0.453058343036461
0 17 0.26614271379266974
0 18 -0.1882092910050155
0 19 -0.6519207275690566
0 20 0.0353399260193441
0 21 -0.21235705046586806
0 22 0.38422530539022914
0 23 0.5559726219181935
0 24 -0.7604814647466913
0 25 0.45624127745736254
0 26 0.21219334670036805
0 28 0.03020602574823661
0 29 0.2797113511095273
0 30 0.2060978022040154
0 31 -0.8266208690755743
0 32 0.09397887227534918
0 33 -0.9530832750871854
0 34 -0.1416603210255667
1 2 0.7932014400010845
1 3 -0.2632205346302361
1 4 0.3229035215652132
1 5 0.3329412741599673
1 6 0.25065084267518856
1 7 0.6122319604019679
1 8 -0.4362429359832116
1 9 -0.32447482429996444
1 10 -0.8467005563499284
1 11 0.16675149971678027
1 12 -0.31614979065627513
1 13 -0.926334200251375
1 14 -0.27152088794928564
1 15 -0.011222600737932575
1 16 -0.4766196983607396
1 17 0.95073238715892
1 18 -0.9880077955197819
1 19 -0.9635423365684008
1 20 -0.5337343695667993
1 22 -0.48817329944489085
1 23 0.44422736178168964
1 24 0.09008256672772208
1 25 0.747200610904297
1 26 -0.055699905996764
1 27 0.8073339738144754
1 29 0.3592911883632548
1 30 0.7859351747121741
1 31 -0.688226091893327
1 32 0.6876212923401432
1 33 0.9124660344448492
1 34 0.7253916813234642
2 3 0.80110212227984
2 4 -0.7445765001187619
2 5 0.6636784693705184
2 6 -0.4586565810818748
2 7 -0.05184287355136297
2 9 0.5117724725988824
2 10 -0.24440692726714985
2 14 0.2958963088613584
2 15 0.22349101702557217
2 18 0.9150256429906285
2 19 0.6269631353503566
2 20 -0.9277567759456145
2 21 0.7169767325017105
2 22 -0.3222224134874392
2 23 -0.3850363648215418
2 24 -0.4789422866433848
2 26 -0.902650057749778
2 28 0.9817951434512351
2 29 -0.9721159226889751
2 31 -0.22354362602180977
2 33 0.5408441407861313
2 34 0.6765618647063187
3 4 -0.6081266239568106
3 5 -0.2871747692613349
3 6 -0.21025671757079456
3 8 -0.5397959987530117
3 9 -0.38130850863603727
3 10 -0.36585537788762035
3 11 0.8398968772097022
3 13 -0.7407489414359256
3 14 0.12048486828230431
3 15 0.8990344388134222
3 16 0.970110725282276
3 17 -0.6489111354535002
3 18 -0.41173491477205704
3 21 -0.8821580545451262
3 22 0.028283096228679527
3 23 -0.28292616252340763
3 24 0.5998430795306984
3 25 -0.9095330638321337
3 26 -0.6457680154798338
3 27 -0.05085534990802887
3 29 -0.10093733339959088
3 30 -0.03477847208372009
3 31 0.5490256748523592
3 33 -0.09339732228203168
3 34 -0.04620857484195029
4 5 0.1454226705334647
4 6 -0.6246563766759068
4 7 -0.8925351122831846
4 8 -0.3779861660142121
4 9 -0.47867999509468295
4 10 -0.2898979560819803
4 11 0.6373929742172695
4 12 0.13709890469432784
4 13 -0.4876355043764298
4 14 0.15698151334560095
4 15 0.34121852170835454
4 16 0.9953045199242219
4 17 0.6186496122303007
4 18 0.538757252194022
4 19 -0.4213632295282119
4 21 0.09104961277948109
4 23 -0.5282130457660699
4 24 -0.5054961738793631
4 25 0.2813335856949295
4 26 -0.3081415603944968
4 27 0.08637458760454653
4 28 -0.1366316040921951
4 29 -0.2032395300018035
4 30 0.8656077051679447
4 31 -0.9516129177297885
4 32 -0.113055877606693
4 33 0.450656345786117
4 34 0.503723346368468
5 6 0.20568151472747176
5 8 -0.9550015401685017
5 10 0.9113503551838327
5 12 0.7890444406293637
5 13 -0.4100516637079148
5 14 0.8654205771651318
5 15 -0.4047434865154462
5 16 0.918566604994423
5 17 0.8810174446766434
5 18 -0.07710548252242777
5 20 0.3769964028052408
5 21 0.4154697715945983
5 23 0.6237225078346886
5 24 -0.12032696058886283
5 25 -0.32285596553223295
5 26 0.777613833289512
5 27 -0.5242800130268124
5 28 -0.39494946562609856
5 29 0.7895922214346709
5 30 0.7633490005115271
5 31 0.15812539841689133
5 32 0.7863580197370041
5 34 0.5746328387312378
6 7 0.09411262071008264
6 8 -0.6115296989184917
6 9 0.4141834316117823
6 10 -0.43151401348714225
6 11 0.11718303769664828
6 12 0.1979676726940618
6 13 0.30590139771868996
6 14 0.8156358212214301
6 15 -0.2542077768087174
6 16 -0.9233106914543106
6 17 -0.9014773988413627
6 18 0.12437775199408385
6 19 0.201476678599795
6 20 -0.9731065127309304
6 22 0.7934494407995221
6 23 -0.84229863145338
6 24 -0.5811721285618177
6 25 0.02203759181439735
6 26 0.39853546823232877
6 28 -0.7603936754548779
6 29 0.6975648791488358
6 31 0.974047587545972
6 32 0.12560719907585138
6 33 -0.7105872793587402
6 34 -0.00443685130026239
7 8 0.668186435204668
7 9 0.47692353790658704
7 10 -0.6641106815303648
7 11 -0.11173861368073323
7 12 -0.0600211297621005
7 13 0.41509150892546276
7 14 0.5304974818941923
7 15 -0.6038145592660831
7 16 0.9207213241770988
7 17 -0.08809978835966104
7 18 0.41324591119985454
7 20 0.6548882326475005
7 21 -0.287856737429268
7 24 -0.8582657663888682
7 25 0.6049695808622519
7 26 0.5680901243262957
7 27 0.006122285911195791
7 28 -0.485150300919456
7 30 -0.5778518038881384
7 31 0.2591389234823829
7 32 -0.4469108912385713
7 33 -0.07164673446925685
8 9 0.9993103514603667
8 10 -0.825205963530796
8 12 -0.3604191102427403
8 13 0.2949897141710893
8 14 0.07418191666772467
8 15 0.19332296645955815
8 16 0.8480626458082379
8 17 -0.2083742554524306
8 18 -0.12858830514408104
8 19 -0.9794995091369709
8 21 -0.5041701987435485
8 22 0.8192323460908786
8 23 -0.40686106178635306
8 24 0.5978375495192934
8 25 -0.12567035272195715
8 26 -0.6736818001018057
8 27 -0.019003856537317176
8 30 0.40437522077367105
8 31 -0.8954197832517183
8 32 0.7699258367088626
8 33 0.8461084425568508
8 34 -0.11049416264542833
9 10 0.06396130177163872
9 11 0.8115129016592337
9 13 -0.1881648457752756
9 14 -0.2920615154028139
9 15 0.4695101728015665
9 16 0.4437061389252843
9 17 -0.5483892021339725
9 18 -0.7227846498502613
9 19 0.3607230770842147
9 20 -0.09967310370292348
9 21 -0.5935716628446859
9 23 -0.5601389636606762
9 24 -0.27096751700097665
9 25 0.07216814089600398
9 26 -0.2284681512688964
9 27 -0.7897190292967107
9 28 -0.8216964322096385
9 29 -0.19733193973134755
9 30 0.8844958156927214
9 31 -0.2259312654764376
9 32 -0.089979739235863
9 33 -0.896027871333583
10 11 0.2657819409071165
10 13 -0.5343089786442652
10 14 0.04413607500738026
10 15 -0.08045967195820358
10 16 0.15512120874369173
10 17 -0.18593718417257743
10 18 -0.12000668534886949
10 19 -0.8345046021123252
10 20 0.12926858565100763
10 21 0.40996795163305677
10 22 -0.3722864144823155
10 23 -0.8083774463329327
10 25 -0.2156466014430647
10 27 0.14088944484205235
10 28 -0.15423891333970907
10 29 0.9361243134245314
10 30 0.5824233486050459
10 31 0.12807166346731402
10 34 0.5114764066052262
11 13 0.8832737047248445
11 14 0.398346668420575
11 15 -0.26594079515975566
11 17 -0.39474228203296535
11 18 0.08698049895589399
11 19 0.9550713007409688
11 20 0.008932149143641821
11 21 0.9201561085138097
11 22 -0.6337280589651104
11 23 -0.3407736712101388
11 24 0.8538590508043056
11 25 0.22300720232555982
11 26 -0.5821164092910482
11 27 -0.8006449362175834
11 28 -0.5085218972250196
11 29 0.06779259588231445
11 30 -0.570911387043024
11 31 0.5985617336244256
11 32 -0.22512912429256193
11 33 -0.9502328046335562
11 34 -0.045643953996791664
12 13 -0.9459366387518633
12 14 -0.6984142536402607
12 15 0.235835333007252
12 16 0.534370414585789
12 17 0.25485774533261596
12 18 0.2804269789641072
12 19 -0.6887552088268196
12 20 -0.30091988106968226
12 21 -0.24174684119312229
12 22 0.2627131350485252
12 24 -0.7906727622040184
12 25 0.6368428238491768
12 26 -0.6766949526468582
12 28 -0.3868260762915352
12 29 -0.26490924837859997
12 30 -0.09323775515591515
12 33 0.34770204167548324
12 34 -0.558074127945904
13 15 -0.9713103094300355
13 16 0.1601264733154626
13 17 -0.5126167332593095
13 18 0.34217351660596873
13 19 0.5199840591800033
13 20 -0.38805646717572917
13 21 0.8225533121877955
13 22 0.6943484876753305
13 23 -0.1464052297083478
13 24 0.8494117010996223
13 25 0.7988520964392134
13 28 -0.3381216909505509
13 31 0.8116448267799294
13 32 -0.9465424005630219
13 33 0.4884178385027167
13 34 0.702429667619886
14 15 0.8626814771379656
14 16 0.4131800105637049
14 17 0.6035651531056683
14 19 0.1848007087750132
14 20 -0.21465096598280065
14 21 -0.9699584166932647
14 22 0.3165057211860578
14 23 0.9457040184324195
14 24 0.20136156842489106
14 26 0.09229913320493677
14 27 0.2586718330470852
14 28 0.08340570201941233
14 29 -0.29799879446861754
14 31 0.2607602809013263
14 32 0.16808191210759005
14 33 0.39643918614589535
14 34 -0.8001644047527325
15 16 -0.6885034813732178
15 17 0.8488222548165987
15 18 0.054915304483355465
15 19 0.3619872132155768
15 20 -0.19065477952562637
15 21 0.28284543197665446
15 22 0.9621563480268509
15 23 -0.5367258803074033
15 25 0.049447196403202165
15 26 -0.7098019944140397
15 27 0.7883046427321698
15 28 0.25328774439646873
15 29 0.8193760128275698
15 30 -0.6832144539112097
15 31 -0.8814175598970211
15 32 0.0390959889406024
15 33 0.38639154305420864
15 34 -0.5988755461210469
16 17 -0.5186691974292033
16 18 -0.46048362647305585
16 20 0.7328931142619439
16 22 0.9199412646173544
16 23 0.04893005082509938
16 25 0.8196680271608052
16 26 0.5957182413880666
16 27 0.828945326879708
16 28 -0.021589176876513738
16 29 -0.16438047090862984
16 30 -0.7405147105738683
16 31 0.30585723233272777
16 32 0.6375808106005576
16 33 -0.9623717152208453
16 34 0.8808575207420484
17 18 0.06160648892075393
17 19 0.4723431684002515
17 20 0.04849833871012743
17 21 0.3697630210926979
17 22 -0.9995012820163738
17 24 -0.3256280524381212
17 25 -0.6854210282448783
17 26 -0.6829451509711768
17 27 -0.46420370572842096
17 29 0.27393333086522964
17 30 -0.15210677513755155
17 31 0.5653187807315139
17 33 0.68976967111343
17 34 -0.48911106653374437
18 20 -0.039987631514005306
18 21 0.8929734596254011
18 22 0.3208181916547992
18 23 0.19366142658693875
18 24 -0.3758985984772081
18 25 -0.8568360475925436
18 26 -0.2977825675157231
18 27 0.39888720623774376
18 28 -0.4910638567568246
18 29 0.2685247483535622
18 30 0.3924014389941124
18 31 0.33421906392196954
18 32 -0.4404770490392247
18 34 0.2195358282914761
19 20 -0.13209714399895134
19 21 0.8116296028582526
19 22 -0.34678102684652146
19 24 -0.2883393560140006
19 25 -0.9828811880737132
19 26 -0.5432114973984274
19 27 0.6836829504529445
19 28 -0.9374774756204634
19 29 -0.40253713122276147
19 30 -0.15324558424442025
19 31 0.7886711377164859
19 32 0.9803879269324036
19 33 0.7671011707798068
19 34 0.17140705574567594
20 21 0.0705599544556903
20 22 -0.695120120594009
20 24 -0.8979873560752691
20 25 0.5490715181327508
20 27 0.6454657723208799
20 28 0.13907457613959173
20 29 -0.4631900673724283
20 30 0.18720273713699953
20 31 -0.8217429733464592
20 32 -0.5105658450498549
20 33 0.4778864740398958
21 22 0.9266948828008978
21 23 0.10955609971926594
21 24 0.7484388515171407
21 26 0.1550463193656193
21 27 -0.15347535883626584
21 28 -0.7009706295133971
21 29 -0.9237915147591511
21 30 0.6636950871105034
21 31 -0.5396083577912592
21 32 -0.26025393011184805
21 33 -0.7750497555904263
22 23 0.9027146663332506
22 24 -0.0950859941498472
22 25 0.8652562812540787
22 26 0.5777927279213391
22 29 -0.5341843894645517
22 30 -0.06776925235836884
23 25 -0.47232426525248905
23 26 -0.9360732332861754
23 27 0.8050588168518888
23 28 -0.371102862440682
23 29 0.4062898001624635
23 32 -0.7368435253986911
23 33 -0.6635497915752488
23 34 0.9864287819520701
24 25 0.4964379999289277
24 26 -0.5178523350709869
24 27 0.337013602062721
24 28 0.3265109313232528
24 29 -0.4604549292551181
24 30 0.5526394975078046
24 31 0.5271940532792023
24 33 -0.021776736535520147
24 34 -0.25731233149702915
25 26 0.7732881594517267
25 27 -0.5625421948591922
25 29 -0.6054204230129865
25 30 -0.5127063882394403
25 31 -0.8032922048986855
25 32 0.8153683525340476
25 33 0.2557118207366482
25 34 -0.04538436191461237
26 27 -0.4629811843087277
26 28 0.8738974097585503
26 29 0.6046220331629151
26 30 -0.7272198321558394
26 31 0.8016487032021151
26 32 0.14140827985590576
26 33 0.7939917326384691
26 34 -0.8950751976100861
27 28 0.6254112107778744
27 29 0.46065414574747954
27 30 0.39597928752197187
27 31 0.6775361280747778
27 32 -0.277881853103755
27 34 -0.7942841484740524
28 29 -0.5856040349563452
28 30 -0.3971815429403829
28 31 0.025168456951593088
28 32 -0.10759431452618107
28 33 0.8626244379933206
28 34 -0.16508897958937885
29 30 0.19240069332378118
29 31 -0.5520500857093058
29 32 0.5574997870534646
29 34 -0.044294759547499396
30 31 -0.9417969448195387
30 32 -0.6598135162382648
30 33 -0.2545126735581973
30 34 -0.6252511083029362
31 32 -0.1554188139325965
31 33 0.5731152632715002
31 34 0.5474716509051658
32 33 -0.9851993301041528
32 34 0.9837839726571829
33 34 -0.21642905099649568
