35 473
0 0.19054457925391444
1 0.5664753828779678
2 -0.08065546355340625
3 -0.2436441097337847
4 -0.6270814546595331
5 0.5889068677533975
6 0.5423549778132402
7 0.9102970738782137
8 0.290768404888768
9 0.3983222906739714
10 0.4708593369971277
11 -0.3129872277051702
12 0.569819174031388
13 0.5988191612456633
14 0.17479851560287374
15 -0.800342782719712
16 0.4502889852582814
17 0.9440333126833058
18 0.5122405605719642
19 -0.38828886390145745
20 0.7933365001551778
21 0.6983061692494017
22 -0.8358976540312357
23 -0.21384457139247393
24 -0.9506967534914625
25 0.6486070646331379
26 0.5365050649859495
27 0.46129966381500576
28 0.582092871238612
29 -0.43719132697222896
30 0.4002989647027868
31 0.45504362349677563
32 0.980396992824115
33 -0.2698022245025813
34 -0.5775923159689029
0 1 -0.28246633889060635
0 2 -0.3612767044003222
0 3 0.612289300502932
0 4 0.6267733642367994
0 5 -0.46812386452617183
0 6 0.31536280434526187
0 7 0.569286429827929
0 8 0.8633870576322498
0 9 0.3037121990654623
0 11 -0.25921163823643245
0 12 0.9660477033706301
0 13 0.5061116143527224
0 14 -0.7452835192747671
0 15 0.4322796857597364
0 16 0.030530542496209234
0 17 0.36323465447176284
0 18 0.7112595308751077
0 19 -0.8107015733684291
0 20 -0.6698851491226854
0 21 -0.5775135906148008
0 22 0.4572949828571311
0 23 -0.0014036921540785396
0 24 -0.12048311329418371
0 25 -0.08187389702867431
0 26 -0.3424720226267084
0 28 0.6344335062285396
0 29 -0.4062461292499915
0 30 0.96097680892635
0 31 -0.11524729049758053
1 2 0.27253705394810246
1 3 -0.6634835746393772
1 4 -0.1883625331341494
1 6 0.8807847825928519
1 7 -0.2658715639340923
1 8 -0.6864694442533017
1 9 -0.08937240705939731
1 10 -0.20686927163862068
1 11 -0.05545109029835005
1 12 -0.443305367141287
1 14 -0.8315269988617449
1 15 0.39875713305446436
1 17 0.19001987367879059
1 19 -0.09290272481483464
1 21 0.40693118899091285
1 22 -0.0359719867982331
1 23 -0.7399444294185695
