45 56
0 -0.7011924050427607
1 -0.49878052372734594
2 -0.8346989024652527
3 -0.3989263075119056
4 0.6959079667603705
5 -0.9596397374700503
6 -0.9230654939954064
7 -0.3231528541385096
8 -0.9733094879494006
9 0.7271203024433432
10 -0.38273639868168163
11 0.06867713143062115
12 -0.8928709513494484
13 -0.1075169066087982
14 0.8718701085604899
15 -0.9755230161610802
16 0.4608974000883115
17 -0.5558448659141575
18 -0.7465726972120699
19 -0.8269413976864846
20 0.9520626061352342
21 -0.8069163872022806
22 -0.9487735447636418
23 0.3695211028809191
24 0.18180350907315357
25 -0.3893607309911875
26 -0.7349674973285516
27 0.5027886851418235
28 -0.009504440376866263
29 -0.9870157044371675
30 -0.6047262721196291
31 0.18520573110120941
32 -0.7833045856842216
33 0.6528487186499521
34 0.27938783840554926
35 -0.11040327138242345
36 -0.5151476118632154
37 -0.1899506392320387
38 -0.5444137444675994
39 -0.4496876632636033
40 0.46231621391512423
41 0.2930667066291075
42 0.6900622704901915
43 -0.8389962439296785
44 0.5710667003679917
0 9 -0.29444528299508077
0 18 0.7299568623694739
0 32 0.14939557680879023
1 4 -0.7028153564248314
1 6 0.0907953088068123
2 11 0.1880752744397487
2 27 0.19102728947285108
3 8 -0.3252431772007234
3 10 0.2401018253847802
3 17 -0.41196168769104924
3 24 -0.16054184542247318
4 43 -0.34134089312063387
5 26 0.91596294046233
5 35 0.05482552375546201
6 15 0.36627710724666374
7 26 -0.6749769428682497
7 29 0.3655319366693017
8 23 -0.7967604407984101
9 23 -0.8493766056241168
9 33 -0.6304837615844978
10 12 0.4482704964032693
10 21 0.31129901122818815
10 23 0.6917975363126239
10 25 0.4217777865657555
10 44 0.21285553710477734
11 26 -0.6547823226818248
12 15 -0.8747610133508426
12 29 -0.26635006250694415
12 37 -0.600428430564897
13 31 -0.7446302808136818
13 41 0.8952273717698049
15 26 0.8066762168648896
15 35 -0.19430064652591317
15 41 0.008654864599859868
16 27 0.8620490969586159
16 30 0.3811747596595243
16 37 -0.5981983754123155
17 44 0.5492297111524929
19 42 0.9577716160707035
20 30 -0.9107469425238526
20 35 0.3139076838022177
20 42 0.9970112199235499
21 40 -0.798163775968342
22 32 -0.5960933348279396
26 27 0.6046375835523834
28 29 0.7784857775471525
28 30 -0.10301998799003376
28 33 -0.5915550968460503
32 34 -0.3387761109777143
33 41 0.7916419948172906
33 44 0.42785343705555556
34 38 0.6915876548387385
35 36 0.9521933938166325
35 43 0.6090374910604248
37 38 0.15168804082139542
39 43 0.22608329940475413
