45 51
0 0.38696495093106886
1 0.19901552895049535
2 -0.7355395387474586
3 -0.9765968055103755
4 0.7998875247311408
5 -0.8267899589046985
6 0.1300981390028455
7 -0.448240949524368
8 0.6345027442426894
9 0.9484561219358292
10 -0.8164764497910013
11 -0.1656101601008626
12 0.14002743913471893
13 0.5673196260638365
14 -0.7473740199565031
15 0.6807270055518613
16 -0.45916697513673155
17 -0.01633463586742545
18 0.3186020913305203
19 0.7726765599326113
20 0.2627954113691604
21 0.8433923868915139
22 0.27680059241480004
23 -0.3006021727121111
24 0.867518569887336
25 -0.1609265909150548
26 -0.39692454154837176
27 0.8546381191500276
28 -0.6169363492189517
29 0.2465714609480123
30 0.2631730667861967
31 -0.20298183103562528
32 0.814035093147788
33 0.736552915243526
34 -0.8236230149740458
35 -0.11503013758602809
36 -0.45820961859708964
37 -0.9478768804757094
38 0.5584436342478831
39 -0.3519755734164385
40 -0.40542090577747714
41 -0.6469973887822831
42 -0.8401647308515099
43 0.856718439455392
44 -0.8896169243721894
1 37 -0.35350772906698125
1 42 -0.797106825420417
2 8 -0.7317876305925515
2 15 0.5149728947748569
2 33 -0.19059089967990905
3 8 0.7237516265811346
3 22 0.783472091644811
3 35 0.5862199694047192
3 37 -0.8895319417076741
5 22 -0.14689794542451073
5 35 0.1647017209520989
6 20 0.043014321490486784
6 30 -0.19462751276840873
6 41 -0.7721645610563288
7 8 -0.25642370191023023
7 20 -0.7822588755366204
7 21 -0.23596106426364605
7 41 0.13689294876393787
8 13 0.2544562683124132
8 15 0.42814191818130465
9 27 -0.13132238701405674
10 14 0.40660528076407587
10 42 -0.2305450691718316
11 28 -0.4867167557049916
12 27 -0.06179136193873225
13 22 -0.16176493095037325
14 19 -0.6132354219022806
14 38 -0.43022008256199196
15 18 -0.34647892859672935
15 42 -0.43378880840817646
15 44 0.49796341590451454
16 31 -0.9652164895145479
17 25 -0.3235744520755106
18 22 0.745762741298519
19 31 0.2117525512589029
19 41 0.7444057294550825
20 30 -0.5863589982260162
20 35 0.9455298811052995
20 36 0.1433630608463865
20 39 -0.8545643759743609
21 40 0.23215845609185015
25 38 -0.4163454116599534
28 40 0.0748580355798305
29 38 0.9403992243190609
29 39 -0.858025703958611
29 40 -0.5039412408120707
31 39 0.9586676095657245
32 43 -0.24361728026163476
36 40 0.9342377521417777
37 44 0.019471381798467746
41 44 -0.17912044686047657
