45 173
0 -0.6923528869184405
1 0.23510931064328489
2 -0.7676055297718183
3 0.34835197493475367
4 0.4422145798383954
5 0.4498162406826698
6 -0.5259783171279029
7 -0.19659085072290927
8 -0.07445990416262482
9 -0.39027742962632783
10 0.5507445854419386
11 0.11857719069785633
12 -0.8957027827835919
13 0.137189678386741
14 -0.4884123257328794
15 0.8070723335723036
16 0.43488957214238133
17 0.5149276857296945
18 -0.6416843491944362
19 -0.3498175472480247
20 0.3274312394390544
21 -0.20504225674502496
22 -0.16338843661197533
23 -0.9693812370739421
24 -0.5818427528924555
25 0.6719138615451759
26 -0.4891416529968675
27 -0.2617385240886194
28 0.1864410080205312
29 0.2640372248841556
30 -0.4669311248085577
31 -0.14320471876810004
32 0.7614330872556387
33 0.2932466719395108
34 -0.12687715131995736
35 0.1331026615624571
36 -0.12125504104556839
37 0.3220199052766495
38 -0.3685643157713385
39 -0.9404432576157602
40 0.6959109693864725
41 -0.9354687991645958
42 0.7725962765509338
43 0.867690982658814
44 -0.11686758182450219
0 3 0.24410888862732616
0 12 0.15764279169838868
0 13 0.25593310693035964
0 14 -0.7867287310175735
0 27 0.9221719468748335
0 29 -0.575796590971726
0 31 0.44923207570337276
0 33 -0.8317916390835867
0 36 0.6884621168620457
0 38 -0.4906022318056926
0 39 -0.172430366888787
0 41 0.787844822231049
1 10 0.11087821843412415
1 17 0.8725842747967838
1 36 -0.860844382514669
1 43 -0.605544888848158
2 9 0.2928172996228058
2 14 0.634657878954918
2 23 0.016572066729649615
2 26 0.2133578693727214
2 29 0.3809088189454679
2 33 0.45208746698295954
2 34 0.9514717526081691
2 38 -0.020405102242247564
2 42 -0.42687034410311053
3 4 0.41830455160310165
3 12 -0.5233610765107286
3 21 0.18030337096406734
3 22 -0.19396666252787553
3 23 -0.459762624344207
3 27 0.481121155340013
3 42 -0.9019725407091801
3 43 -0.2485883949231633
4 6 -0.23744495427082102
4 8 0.7776159307451125
4 17 0.5268754619650902
4 24 0.0034737210953170727
4 33 0.24217457220245575
4 34 0.5212340285485435
4 36 -0.4598675880571128
5 9 -0.1384076079626011
5 12 0.10907007694547
5 13 0.19828600944237773
5 17 0.838815335555658
5 20 -0.14031475227036716
5 37 0.15361510266688305
5 40 -0.8681756067241668
6 20 -0.03907116254551779
6 29 -0.6042630449169657
6 43 -0.9748853954337673
7 9 0.7699247455892755
7 13 0.19359505612649608
7 14 -0.15841467532044917
7 22 -0.48424001340086
7 24 0.04441346909529753
7 26 -0.09418840476414392
7 29 0.05617274381428228
8 9 -0.16015866583174798
8 16 -0.04369490963528366
8 30 0.12580087674264662
8 32 -0.1062400261688834
8 36 0.9402898766756116
8 38 0.2980717128462289
