45 98
0 0.5598404976549571
1 0.08652966884908264
2 -0.48386293250520995
3 -0.18126822648815444
4 0.3300088474567857
5 -0.8426759315939323
6 -0.9738579260685403
7 -0.020847161354707877
8 -0.524292387238767
9 0.0010667897109533087
10 0.5008551294666637
11 -0.05277880661295087
12 0.8430349759221354
13 -0.7987815822981277
14 -0.49920929899005095
15 0.692619130209424
16 -0.947889093535494
17 -0.3743060763953048
18 0.15072672568147127
19 0.3409271547455106
20 0.8953223876425247
21 -0.33088682132384806
22 0.8561949093173717
23 -0.4177583902364681
24 -0.46068134885846335
25 0.5521610714996374
26 -0.33078318919663774
27 -0.6190632394008755
28 0.7355468421395293
29 -0.6302526056030557
30 0.3820220690081857
31 0.2067142109646114
32 0.09272311313780213
33 0.18914961949243891
34 0.6495814679299283
35 -0.9613147417959371
36 -0.03312839354032282
37 0.7670657506276264
38 -0.4273912783644467
39 -0.792289524265851
40 -0.5700896189721925
41 0.8955259154491311
42 0.6219825772958749
43 -0.584214041566453
44 -0.3994051851279419
0 5 -0.620664275039778
0 12 -0.014773154884461182
0 13 0.5150224970542814
0 26 -0.1812712820812008
0 29 0.19946543856458931
1 4 -0.545744285502076
1 25 0.7286029331312567
1 26 -0.8690674836256465
1 27 -0.8614224353006292
2 8 -0.6313089994943086
2 15 -0.6383675579871668
2 43 0.48571539830173105
3 12 0.7192119938226216
3 28 0.4493172199653206
3 32 -0.24607002686234503
3 33 0.31054177668512084
3 38 0.5961509840947563
4 23 0.8130187147741117
4 38 0.35198344342816723
4 40 0.39506439320482456
5 11 -0.8969156581810478
5 15 -0.3741509079630798
5 24 -0.5915946005298811
5 39 0.48124424917084974
5 41 0.026612591400228647
6 16 0.3828147664112129
6 18 -0.8533182759550464
6 28 0.5272096524755008
6 36 0.7463871912133662
7 13 -0.3675633754082879
7 18 0.9146154174754648
7 34 0.052354191719024
7 36 -0.33473383992648476
7 38 -0.865921726782241
8 10 0.6293336247678667
8 16 0.7037133534071527
8 17 -0.4132084239737752
9 20 0.27375021477746975
9 23 0.9851943179449836
9 29 -0.5917461543663516
9 32 -0.3968017160805215
9 33 0.3388082550211109
9 38 0.8514554186311489
10 23 0.3414918744976263
10 27 -0.40289298461079825
11 16 0.2041529731383076
11 21 -0.6076651983046519
11 29 0.8956930475940923
12 17 0.17522324407394363
12 36 -0.3956842840038288
12 39 0.1194389969466938
13 33 0.23595981678086098
13 34 0.9672908760481924
13 37 0.9331563139621688
13 41 0.3901417020272202
14 18 0.7826966853111008
14 20 -0.10797689562027823
14 35 0.5954197740678719
14 36 -0.5431304449167778
14 39 0.5771028609208184
15 17 0.09595506414653543
15 20 0.6894224253043633
15 24 -0.5817657572385595
15 31 0.28223331857771594
15 33 -0.43327683442048714
16 21 0.3747375503098682
16 22 -0.4431343721942531
16 37 -0.6845795706943818
17 33 -0.5966657075201907
18 25 0.7131113976564813
18 27 -0.0069111071912586475
18 28 -0.5681325027206459
18 33 -0.8477177953290129
19 22 -0.8266604720366286
19 25 0.925098503483955
19 29 0.47983702337389755
19 30 0.8827393949592821
21 24 -0.1970552728142958
21 27 0.20425214285607152
21 43 -0.539148548772487
22 32 0.3702826996927324
23 36 0.7731778603981001
23 37 0.7148127837511804
23 44 0.3121466984800114
24 27 0.1721370629460155
24 41 0.6639191585532354
25 30 -0.41856395391456447
26 37 0.7382715185409283
26 40 0.599553976030269
26 42 -0.34475091732203533
28 29 -0.6410089074940488
28 40 0.705061783612529
29 35 -0.5081536660965067
29 37 0.3609661807918185
29 41 -0.35094665594525076
30 41 0.5404785988951148
31 38 -0.3509995693047494
36 37 0.7296434588005551
