45 185
0 -0.3971207692996188
1 0.2982985214873286
2 -0.9190908908662354
3 0.9115818798275455
4 -0.1931088819890978
5 -0.21614352408414628
6 0.5515100800456398
7 -0.08566857426116026
8 -0.0883147552042054
9 0.9988532158120615
10 0.012662588950537623
11 0.8514230646565573
12 0.3560442273983151
13 0.19519661940696764
14 -0.8868665497927848
15 0.22380680664887964
16 0.863182472277771
17 0.5394439001381919
18 -0.9770641572283512
19 -0.04060480562250812
20 0.9820831039198474
21 0.6370323075916884
22 -0.5027661021561913
23 0.248334008657644
24 0.10666827745976049
25 -0.8431066352297714
26 -0.9924819370704301
27 0.7722978490424759
28 -0.1843950738891651
29 0.05795491723943935
30 0.7158113749626922
31 0.3147877024914567
32 -0.5493307222812229
33 0.9411510417414017
34 0.6874201167264913
35 0.8655045446580987
36 -0.7884647474470086
37 -0.6547189621367777
38 -0.8777995896681801
39 0.8916247985731485
40 -0.709336070442717
41 0.9092737325411242
42 0.509233642634364
43 -0.01327900999601983
44 0.09888793915542227
0 5 0.3025356265660315
0 10 0.3002326976954799
0 14 -0.9249710802452591
0 15 -0.9971311041006561
0 16 -0.48844738182772374
0 22 -0.5533754344079926
0 32 0.5600739765473133
0 36 -0.5963341056796134
1 8 -0.5195907796259052
1 10 0.0076930411569517965
1 12 0.24530070401883486
1 14 0.07674972670290181
1 22 0.5105382391736633
1 24 -0.2115561806677546
1 28 0.7017343699679373
1 35 0.9113682791878619
1 42 0.5978263523552636
2 16 -0.17803242721836643
2 17 -0.8675936691226211
2 26 0.7887234585388934
2 31 0.7702662002755967
3 9 -0.6060997646041641
3 13 -0.7366786275413393
3 16 0.7430838361533592
3 36 -0.15500216063736572
4 8 -0.4157219047047931
4 19 -0.36589697686679146
4 34 -0.8025792240181413
4 36 0.4439836447874277
4 41 0.36807451873053965
5 6 0.7932914640442517
5 7 0.6857045548233967
5 10 0.4791579729870876
5 12 -0.6652620087151
5 14 0.6335801055324928
5 18 0.3367767930054262
5 23 -0.6168673216772942
5 25 0.641171914676963
5 27 -0.24862296113518623
5 29 -0.3643462040036858
6 15 0.02454098477511546
6 17 0.4240619037922453
6 24 -0.854715813960711
6 26 -0.9428648908297041
6 32 0.6695220591281059
6 36 0.9655271268476369
