45 414
0 -0.8745086912172091
1 -0.9865199619756453
2 0.6515355335007222
3 -0.1867430373493122
4 0.3222247938381928
5 0.763316613805544
6 -0.8638300959538601
7 -0.15845647775000415
8 -0.6065349652272674
9 -0.7076758727663954
10 0.22276358358800952
11 0.8755116144223924
12 -0.2585263139274936
13 -0.5601503975662783
14 0.8629814601741537
15 0.6845785914989371
16 0.9740582115909371
17 0.6187866081914
18 0.7966039029024206
19 -0.11256269646048067
20 -0.18452521103346764
21 0.37584860255133434
22 0.17442411397439384
23 0.3169519058896295
24 -0.8960729760218362
25 0.6257376778677173
26 -0.37779536190685326
27 0.2292674453751422
28 -0.5945786880851109
29 0.6179187895855094
30 -0.06363445846972793
31 -0.8830887057498544
32 -0.804490179623025
33 -0.4632684778943421
34 0.689271537068723
35 0.31148943709189125
36 0.12576964120672818
37 -0.15932869806335037
38 -0.1308177772752117
39 0.3662307110808316
40 0.905424238937037
41 -0.23271226697792002
42 -0.5946471714722432
43 -0.6292541479652276
44 -0.8863692628585631
0 2 -0.6963127451626976
0 4 -0.27952551611707666
0 5 -0.9900353905832235
0 9 0.6077030233425447
0 10 0.8249587144522921
0 11 0.8214638011011899
0 13 -0.8723091860043832
0 16 0.9420365268493205
0 21 -0.7906331148077919
0 27 0.011352122311719226
0 28 -0.23240242524742794
0 37 -0.29651652336427525
0 41 -0.9077257194486006
1 6 0.9985025345597196
1 7 -0.6588290517465059
1 9 -0.535728582140667
1 10 0.05937752031096255
1 12 0.6859329182386393
1 16 -0.8763082685477639
1 17 -0.41231896655435496
1 18 0.4031160760546415
1 19 -0.9258093668069785
1 20 0.9989003135648109
1 23 0.2101497844621174
1 24 -0.08882133674313342
1 26 -0.4901358027281515
1 29 -0.8697421514958985
1 30 -0.14491938948995786
1 31 -0.9809403234966745
1 32 0.618102596213651
1 38 -0.06531804573124877
1 43 -0.9595328212299363
2 6 -0.43339100654727725
2 11 -0.24975921229405018
2 13 0.6566699516045942
2 18 0.11216764024156856
2 19 0.6281151131791471
2 26 0.7179947553277346
2 33 -0.20798832726587047
2 35 -0.24979516531881085
2 37 0.6187851504429027
2 40 0.8088600874319061
2 41 -0.3504924903795579
2 44 0.9705162168143817
3 4 -0.7043807804622209
3 5 -0.0867927610879704
3 11 -0.6324930575465657
3 12 0.577799078050107
3 23 0.8914327624093399
3 25 -0.19240464269690216
3 26 -0.6803430919338191
3 27 -0.44109849718222116
3 31 0.7925484538933427
3 33 -0.2999135557079162
3 34 -0.7380637340629566
3 35 -0.12313696643367389
3 38 0.9382720334811343
3 42 -0.9516826505618179
4 10 -0.4523090202694908
4 20 0.7395069617505061
4 21 0.2293492451813941
4 22 0.9111484389892783
4 23 -0.9775002480735264
4 24 -0.8632021539867558
4 25 -0.9153207932261853
4 28 -0.59694288048258
4 29 0.8345317390429106
4 31 0.4372845268642154
4 32 -0.5004032337100335
4 33 0.08091988264389705
4 35 0.6435606713656814
4 36 0.6882497398521672
4 37 -0.17211325719368875
4 38 -0.053648995981782965
4 39 0.09585034779873025
4 41 -0.9426616199633648
4 42 -0.7838060021901736
4 43 -0.5903562994629363
4 44 -0.09963297416926431
5 6 0.31832251945840695
5 8 0.23519678999664184
5 10 -0.4728178271917043
5 11 -0.3475518530523807
5 15 0.3046446515499417
5 21 0.6333986919798555
5 25 -0.8924573557101005
5 28 0.6300323811685038
5 30 0.88532790721227
5 31 0.4075673703515741
5 34 -0.33594368138753095
5 35 0.864251314240057
5 38 0.35547165821858884
5 39 -0.32036235173295835
5 40 -0.9266312935388819
5 41 0.8017482966320792
5 42 -0.43686668634121695
6 7 -0.7964595199259905
6 8 -0.53174640045321
6 11 -0.7048758339769952
6 13 0.5503921811031056
6 14 0.2708860362690939
6 19 0.5293248234502006
6 20 0.05229311026952832
6 21 -0.8356555243219785
6 24 0.489830286061155
6 25 -0.5487395552365666
6 27 -0.06337542619098979
6 31 -0.6794471743484465
6 32 -0.024505480751222164
6 35 -0.6151549321212901
6 38 -0.22898572979643617
6 39 -0.3755355131186735
7 13 0.40388062240509726
7 17 -0.15081984933946702
7 19 -0.9434321333361839
7 20 0.14111307666504147
7 22 0.5466316928777923
7 23 -0.3348772963416988
