45 682
0 -0.8096490808220544
1 0.39293444322130533
2 -0.29838767582870274
3 0.84003205122874
4 0.6538994082039675
5 0.0370954269666548
6 -0.2091207429848445
7 -0.1897707749019999
8 -0.42288125789806186
9 -0.10687322012238565
10 0.8686263958216782
11 -0.4006742548663975
12 0.7443462603501569
13 -0.17021513074272998
14 -0.5225969558499315
15 -0.030819961123447426
16 -0.6631957909295358
17 -0.8725458232076384
18 0.417229513219336
19 -0.2992026105341119
20 0.590558085630235
21 -0.7204258190998045
22 -0.6672439416156781
23 -0.08620274309668052
24 -0.6609574094795274
25 0.9492843037518435
26 0.22149319507120802
27 0.06270723705252235
28 -0.5327626689727933
29 0.8067445508793345
30 -0.14144519654129906
31 -0.531714623887432
32 0.4644721110103256
33 -0.5802848130137948
34 0.10046952021432443
35 0.16230360124442256
36 -0.8160802444517665
37 -0.7457102308956733
38 0.8497210336523136
39 0.4291374020017926
40 -0.4432358872729889
41 -0.7954789929748425
42 0.8525679799631081
43 0.35723667201402587
44 0.40807190934968185
0 1 -0.9041251827750281
0 2 0.09198784781539215
0 3 0.8487950520930445
0 5 0.9573445253794375
0 7 0.21754810642920175
0 9 -0.16153684706460503
0 10 -0.03728972015841436
0 11 -0.8250688453496882
0 12 0.17862217519926382
0 13 -0.28468817667217516
0 14 -0.7798660155043244
0 16 -0.9140974195424891
0 17 -0.8544306194150908
0 18 0.2892944246895204
0 19 0.8800976775952154
0 20 -0.755294020565523
0 23 0.20173558163307503
0 27 0.4918489957374528
0 28 0.7167848377890291
0 29 -0.4175584839461939
0 30 -0.223988066645479
0 31 -0.2773737519675652
0 33 0.7722038052571134
0 34 0.17130730266858696
0 35 -0.6278745528122418
0 36 0.4563426728283482
0 37 0.4304918612933786
0 38 0.8959085589769253
0 39 0.06963777318382847
0 40 -0.46705467927417277
0 42 0.09412967532101812
0 43 -0.46320895142830754
0 44 0.44159646505437844
1 5 -0.681579660945657
1 6 0.9334603650504616
1 7 0.7826409017002696
1 9 0.07644054828303659
1 11 -0.8937031007775695
1 12 0.5511878899781941
1 14 0.5186676551241123
1 15 -0.5637811638988526
1 16 0.13066573573335716
1 17 -0.24735187432233952
1 18 0.29799754806879797
1 21 -0.262704370988343
1 23 -0.11291935539607811
1 25 -0.8120629681858209
1 26 0.09412143393208083
1 29 0.3058245371720525
1 33 -0.02650418251293618
1 34 0.7226946146415618
1 35 -0.35925817950570416
1 37 -0.37746547572376277
1 38 -0.8755357551589558
1 40 0.530710571447996
1 41 -0.25641781151259546
1 42 0.1829317823218537
1 43 0.628934964766755
2 5 0.0012622395805721442
2 7 -0.7341298314821953
2 8 -0.6724220630264794
2 9 0.12082882106954762
2 12 0.4908213511852113
2 15 -0.521734628622841
2 16 0.48303081350556587
2 17 0.7059628920993988
2 19 -0.25227473722248206
2 20 -0.9430524151502788
2 21 -0.12306178035045923
2 22 0.002134059651066611
2 23 -0.9661363231586007
2 25 0.3046258393400816
2 27 0.04173568709316333
2 28 -0.4635332343149361
2 29 0.8398219346890576
2 30 0.15340822799594322
2 32 0.2868469153904907
2 33 0.8123973213962776
2 34 0.12845116612675866
2 35 -0.14053681292625142
2 36 0.038520773937698705
2 37 -0.03134169195988079
2 38 -0.8704708650445048
2 41 -0.13252764081852364
2 42 -0.8079540441910049
2 43 0.21904333455955127
3 5 -0.8707922387928082
3 6 0.3451328393955413
3 8 -0.8459310549297256
3 9 0.5628519481254906
3 10 -0.004862392779638736
3 11 0.41811041611391486
3 13 -0.46751115421667144
3 14 0.749563495806602
3 16 0.6659453181731243
3 18 -0.9055999677504785
3 20 -0.2019018144894642
3 21 0.050859744176372956
3 25 -0.5326456432183437
3 26 0.3637823345650002
3 27 0.022214903589184543
3 28 0.6189654465952488
3 29 -0.22983140286331727
3 31 0.3138166076854161
3 32 -0.9246525624620408
3 33 0.9838298070274256
3 34 -0.2722920433370877
3 35 0.5107338128390146
3 36 0.8278341081051122
3 37 0.24733144607457214
3 38 0.9845070175158017
3 39 -0.6328257356751901
3 40 -0.7699166291379245
3 42 0.14504540866310722
3 43 -0.4850286285793104
3 44 -0.318598602374367
4 6 0.18640134837707567
4 7 -0.09150923437598446
4 8 0.8926889126062254
4 10 0.9647450929397343
4 12 -0.9702469594177598
4 13 -0.4000467019093559
4 17 -0.7095753803028755
4 20 0.6536529322954712
4 22 0.2750830627686429
4 23 -0.2239351968003871
4 24 -0.5365029620877422
4 27 -0.5324040528993659
4 28 -0.3819342091723321
4 29 -0.6867962624344692
4 30 0.545574068688861
4 31 -0.5748690331716577
4 32 -0.6652452159412989
4 35 0.40103690516833734
4 36 -0.18534501816517945
4 38 0.03973205206299402
4 39 -0.3383829070662763
4 40 -0.4561690874284441
4 41 0.011070747213685284
4 42 -0.8588248802383271
4 44 -0.32956742814611384
5 6 0.8707443539250388
5 7 0.7867881913691361
5 9 0.6159828810063936
5 11 -0.02498005536638437
5 14 0.5234365380896926
5 15 -0.8701148946742041
5 16 0.34575173154967476
5 19 -0.39604287425541806
5 20 0.6121062337552556
5 21 0.05001934885564463
5 22 -0.7592129317237177
5 26 0.5139865463287965
5 28 0.5887291806459265
5 31 0.9612226906955961
5 33 0.8488195104774667
5 36 -0.8885604277424148
5 38 -0.7648973568851682
5 39 -0.4647730039734901
5 41 -0.08457862141762051
5 43 -0.22365206824497874
5 44 0.22990165823805309
6 7 -0.2524071478598595
6 11 -0.4186511677592133
6 12 0.22315545115220692
6 13 0.574007598091451
6 14 0.08426714004149738
6 16 0.05376394569121268
6 18 0.567235037788115
6 19 -0.4954517326532226
6 20 -0.971911100525712
6 21 -0.9794304517414183
6 22 -0.8395370105857054
6 23 -0.87344648113363
6 24 0.6961509281594966
6 25 -0.24129442089902842
6 26 -0.6898794366347809
6 29 0.7696719985485758
6 30 -0.5593982815176946
6 31 -0.5820077413775884
6 32 -0.14340405341255225
6 33 -0.9568171782939945
6 34 -0.5599803495296862
6 35 0.5874272218041696
6 36 -0.11110043338667364
6 41 0.6318581389949731
6 42 -0.770114954942253
6 43 -0.600950078575798
7 8 -0.48429456733632725
7 9 -0.7848117901954659
7 10 -0.22471225865641054
7 11 0.45589297248960037
7 12 -0.9376243332650318
7 14 0.9780149824295901
7 16 0.6573448807701412
7 17 -0.2348499730944078
7 18 0.5936035999955867
7 19 0.7346915361288482
7 23 0.6488381792827225
7 26 -0.023056423570335438
7 28 0.03740636647052531
7 29 -0.1987258631629365
7 30 -0.558214804264928
7 31 0.36829884548899794
7 32 -0.49694771133137317
7 33 0.8799762496683807
7 34 -0.8431250058422533
7 35 -0.566123942729901
7 36 0.631707131412016
7 37 -0.21151551165420623
7 38 -0.06868307366601067
7 39 -0.44345606274385774
7 40 0.5542617322137258
7 41 -0.6154594723910352
7 42 -0.4905690658667359
7 43 0.8584162673752811
7 44 0.7504163599932483
8 9 0.9040905544380176
8 12 -0.3308654588539224
8 13 0.15751979060669163
8 14 -0.7920891120347631
8 15 -0.40551440632322366
8 16 -0.22553853876999685
8 18 0.44319824242385497
8 19 0.4616892323084425
8 21 0.695510994406902
8 22 -0.7842589308255319
8 23 0.7080632707594732
8 24 -0.8920509233470424
8 25 0.3009908007112665
8 26 0.3303331445239055
8 27 0.2592457376982966
8 28 0.014701540475971608
8 29 0.9058305609807491
8 30 0.16925889674247796
