55 101
0 0.5391552597735196
1 -0.7897675512292481
2 0.3587887479916032
3 0.9936749319206686
4 0.7055849069806144
5 0.26584833432941446
6 0.2096138979077644
7 -0.2830287353822869
8 -0.8669035850086839
9 0.18187099930556605
10 -0.4584496139325802
11 -0.6249354994937637
12 0.4495747114844355
13 -0.9855062734519477
14 -0.18669830040482682
15 0.9534607078072401
16 -0.29100957242801484
17 0.5750169459667751
18 -0.3170755937929406
19 0.9318593417160468
20 0.6735117881623451
21 0.7132222134434938
22 0.7423795320053403
23 0.5090952308101084
24 0.24224170551332969
25 -0.44730892087240126
26 0.3981869164117049
27 -0.7364413800535454
28 -0.19675596933791617
29 -0.7233019163326737
30 0.007517439415813065
31 0.05351344038904915
32 -0.32268780782941686
33 -0.6971512154212267
34 0.6780944938614626
35 -0.9195295769906944
36 0.2467718503727574
37 -0.2519249221308868
38 -0.9905132846077414
39 0.5585913428677021
40 0.0626245864125059
41 -0.7095278682576391
42 0.06549959140977246
43 0.834609539334221
44 -0.026703178392685656
45 -0.3815746052991529
46 0.22336764704057677
47 -0.2518974113968473
48 0.7742834384840687
49 0.8554451171760744
50 -0.765340070289898
51 -0.09298401853825822
52 -0.07922312716891322
53 0.9483922471341637
54 0.8300317092749916
0 4 -0.012748361645821271
0 9 -0.540513644052695
0 36 -0.574674174448663
0 47 0.8581909224123427
1 21 -0.5076366217436681
1 26 -0.33144855167999476
1 28 0.3532334498972971
1 29 0.6232342829484627
1 32 0.46788682766190526
1 47 0.05386266168344256
1 49 0.022165718949373137
1 51 -0.7428903713355017
2 10 -0.10099548550413173
2 20 -0.47899418477701583
2 48 -0.7811769565834505
3 14 -0.09497000110809517
4 5 0.8274132691575367
4 11 0.7164149655476708
4 20 0.5936218780049283
4 40 0.9297435659169593
4 45 0.6840240134028908
4 47 0.7244698611434206
5 7 -0.17670655161883997
5 18 -0.21126085243965464
5 38 -0.03393224851025156
5 39 -0.989246071259674
6 10 -0.9196000852679378
6 19 0.8557180183786235
6 37 0.28944143026476854
7 16 -0.6096943562169344
7 43 0.07565718039315783
8 14 -0.8665258178179025
8 29 0.038823885538928904
9 36 -0.6503610311876036
9 42 -0.13219430954266875
9 44 0.39020811038888037
9 50 0.2531428658602717
10 19 -0.9780724636495444
10 53 -0.16990472545670188
11 18 -0.279835596255138
11 28 -0.4217919986271004
11 30 -0.7308410084416519
11 31 -0.013097913948008078
11 35 0.25817976998766956
12 19 -0.7832720687674173
12 25 0.14933573917042464
12 36 -0.5881344284809458
12 38 0.9998976776950288
13 48 -0.15518125070129596
14 15 0.7985822493401793
14 18 -0.26723555724624837
14 29 0.9853099098101481
14 43 -0.40425188553890523
14 44 0.3985456433075514
14 45 -0.12354112449387245
15 20 0.81740082919905
15 27 -0.5326536971312648
15 54 -0.9598226148740301
16 31 -0.9252916897263737
16 33 -0.3757457926172003
16 46 0.6374649784666593
17 43 -0.4337892439014215
17 44 -0.10722723608287654
18 21 0.7783718187624271
18 40 -0.48768450845904887
18 51 -0.20635867186103107
18 53 -0.6597982449170741
19 23 -0.32018884370272716
19 31 -0.34874896582605586
19 47 0.8053932750546648
19 53 0.6380530914123943
20 39 -0.8045015993014191
20 48 -0.11696444312867693
21 46 -0.6012659374450919
21 54 -0.5689423769863209
22 30 0.08159952155468386
23 24 0.9972636101999259
23 28 -0.3305056400364137
23 29 -0.509293499104835
24 42 -0.4336704019616162
24 47 0.4860335565207232
25 40 -0.42575950332732226
26 28 0.7987375282082134
26 31 -0.6206262254440122
27 42 -0.33526768483912694
27 51 -0.9171294599814621
28 41 0.38085004855603
28 43 -0.9337754095046309
28 51 -0.31056693911306876
29 46 -0.007735085247348339
30 40 -0.464674287574357
30 44 -0.5208484219292946
31 33 0.09623615727895185
31 50 0.7191976389473251
33 34 -0.8981436569578489
36 46 -0.5137820815821341
41 44 0.2626896353643946
41 52 -0.8405453621547869
44 49 0.9746644034228231
46 50 -0.7715490908147562
49 53 0.8082799039482877
