55 56
0 -0.7203487918280203
1 -0.7700139676538913
2 0.679354947140347
3 0.9004733636299675
4 0.6714297049005251
5 0.07456797806891458
6 -0.8093024835724352
7 -0.402033773915099
8 0.023370010571750477
9 -0.3863992407134216
10 -0.04372582928524227
11 -0.9531453317718199
12 0.2209173985065116
13 -0.06350954177127388
14 0.8870397667653631
15 0.052358457198583785
16 0.8937475542420612
17 0.6579809024035992
18 -0.3131934332486026
19 -0.8548308074441775
20 0.1891614899030245
21 -0.3632461518537753
22 -0.7116429534761304
23 0.12894174132218117
24 -0.23862870456986096
25 0.06093805334825353
26 -0.49496746938392144
27 -0.6445042752819974
28 -0.01744685314304162
29 -0.29818143361833815
30 0.019701301588477937
31 -0.9746912486737465
32 0.16302588932190165
33 -0.4816910080300314
34 0.1999651653947736
35 -0.29216832989345565
36 0.6053173017151743
37 0.06860871715117889
38 0.7821083692842348
39 -0.24274208377867068
40 -0.5725952144449282
41 0.5734974087490974
42 -0.8754707067329495
43 -0.9894310113982565
44 0.825342703116299
45 0.7978488761131464
46 -0.4733673417285178
47 -0.0755676342522702
48 0.2214053752928744
49 0.4498251031800886
50 -0.31516159299327806
51 -0.09774276142509586
52 0.02889061449207131
53 0.43813042899132193
54 -0.49837154098043324
0 11 -0.8103263815108013
0 36 0.9504391285092886
1 2 0.9253341718772181
1 23 0.8311078459033574
1 25 -0.42339913327472933
1 36 -0.8663811082037951
2 12 0.7653101620550382
3 11 -0.21288446877233724
4 5 -0.6042994125996051
4 9 -0.4205776691472851
4 13 0.797737414941432
5 44 0.584490633620244
8 32 -0.43664821690440836
8 42 -0.5324264275157016
9 15 0.34312399696559726
11 30 0.8267517362591081
11 37 0.4493813675160354
12 25 -0.33935343010584007
12 41 -0.9223998810957557
13 22 0.8086069041909949
13 30 -0.3415918536782159
13 40 0.7333094031550413
13 44 0.24825969834949113
14 28 0.8038630957765067
14 48 0.17344746325122773
16 41 -0.5123389324283112
16 52 -0.049871988955884516
17 24 -0.2794833811500945
17 41 -0.3147369816879426
18 31 0.988581877528877
19 26 0.6235449857574389
19 32 -0.42903180879246383
20 29 -0.3649735459232182
21 39 0.014387916628049613
21 41 -0.8704363952679441
21 44 0.9118533319621771
22 28 -0.26366469421443295
22 30 0.11374150575099606
22 40 -0.2222444321519732
22 45 0.5157134133924848
23 35 -0.8570045316221868
25 35 0.08161779862251972
26 39 0.7860331239492575
28 44 0.947970313329739
28 53 -0.9692427136816486
29 46 0.6886381644185993
31 49 -0.4077826278434209
32 51 0.6437991762207438
32 52 -0.9781276869953408
33 40 -0.8784933152388166
37 44 -0.9200500915652299
37 51 0.29556126004592986
38 44 0.6707365203323954
40 52 -0.8451567185245745
44 49 0.7086990452429471
50 52 -0.7544317832518395
