55 232
0 -0.9693043379577773
1 -0.7294735842963245
2 -0.9883838163166898
3 0.401477262656625
4 -0.2662654865078702
5 -0.9855055889010225
6 -0.017035450279679676
7 0.6135217747314596
8 0.06575403057473683
9 -0.5498857747154813
10 -0.914418639291992
11 0.4007535499452568
12 0.8108559223397218
13 0.1357840480614334
14 -0.8535234933818823
15 0.4335920805396749
16 -0.633358147861139
17 0.6604180683960774
18 -0.7721696108271661
19 -0.6253027393193527
20 -0.8941206331708471
21 0.23003693337093556
22 -0.1943844148038043
23 -0.4921569912479047
24 -0.10794339934481245
25 0.07436981719942537
26 0.9678912330435683
27 0.8225828432628326
28 0.16089804067073277
29 -0.9759065503239288
30 -0.5144510662817785
31 -0.48906437273094006
32 0.8585357258001125
33 -0.5716345122813042
34 -0.9233642455682529
35 -0.5217335082944592
36 -0.18057844328768913
37 -0.8047436860676995
38 0.40915315983691114
39 -0.6978037420559673
40 0.7189282225418163
41 0.14425519986320356
42 -0.8461655918412159
43 0.27986975607483533
44 0.23577398774489144
45 0.48865095499265565
46 0.3061614368578329
47 0.2955310172591905
48 -0.5573990961907542
49 -0.42854432629067785
50 0.24279490404257587
51 -0.1582574631022362
52 -0.8255109575795856
53 -0.07556887298292225
54 0.9215245194224071
0 6 -0.4348987901041854
0 30 -0.4128624960379377
0 32 0.007158062727166792
0 35 0.7112595744267183
0 36 0.7714870671427538
0 44 0.9948579994771176
0 45 0.05573852157755543
0 51 0.5191333053477412
1 3 0.6447577709847749
1 4 0.9469104481435591
1 19 -0.09527162441664538
1 25 0.6307246822687858
1 30 -0.40387418933435115
1 38 0.08715314571240418
1 40 0.5754963782034295
1 44 -0.5962891569124822
1 51 -0.9697626862782525
2 16 -0.28177729559248577
2 19 -0.6304167975265109
2 23 -0.5710393274131111
2 24 -0.1273710690550547
2 34 0.47275055301348523
2 46 0.35258093105695276
2 50 -0.5172071577251203
3 6 -0.871105221341004
3 13 -0.5418423675999342
3 15 -0.0404272192753079
3 24 0.5642654703530221
3 28 -0.6116030184751231
3 38 -0.8361293162113104
3 40 0.27739075640160893
3 41 -0.16346186276324315
3 45 0.5425105286535636
4 10 -0.6251364909937098
4 19 0.1026939871637571
4 28 -0.9093943661356256
4 34 -0.4079866566246422
5 7 -0.963721858211896
5 9 -0.5626612069757015
5 26 0.14086414441903483
5 27 -0.136837542367525
5 30 -0.23257517912430248
5 33 -0.3820265440425037
5 36 0.5851375984063787
5 37 -0.20252806027104087
5 43 0.46801642263805765
5 44 -0.4600226209026299
5 51 0.5737613717887347
