55 440
0 -0.3627555143982075
1 -0.4579080316290187
2 0.9925719491364711
3 -0.22384212262330916
4 -0.907309212833965
5 0.272173313639992
6 0.8421976467450467
7 -0.4123520002640426
8 -0.3608499353554184
9 0.7298269572654639
10 0.2961084906131084
11 0.18992724518315796
12 0.39561148122244116
13 -0.7667783906373558
14 0.3073387638033509
15 0.6737222960664302
16 -0.9933710835445269
17 0.4229118290304108
18 0.9995382142451392
19 0.016821739986575324
20 0.17167124020129299
21 0.39391212503001594
22 -0.24016880307799515
23 0.7399504622064135
24 -0.12427305026598856
25 0.65402445575298
26 -0.6182662631174427
27 0.02876302530020225
28 0.7882515270873667
29 0.13742395327764467
30 -0.25151243757677944
31 0.10757429364087812
32 -0.1734262433833902
33 0.10968243419421353
34 -0.19175355557286555
35 -0.9009027528985585
36 0.8492188579623821
37 0.35152593950258626
38 -0.8153095906602532
39 -0.26415612289791857
40 -0.7244935183345773
41 0.6291454628662698
42 0.23526763235758752
43 -0.8366987985327401
44 -0.7291127467566318
45 0.4941214743029996
46 0.8927258970395553
47 -0.9991777552061225
48 -0.7361154221261073
49 -0.232618330179982
50 -0.5217750959679128
51 -0.12070045631371773
52 0.06774260429091283
53 0.27862104099426177
54 0.2484235632038787
0 1 -0.6285875668858105
0 7 -0.6749967811953834
0 13 0.9181980355393224
0 14 0.5521236638987725
0 20 0.514565580347391
0 22 -0.8183774829359578
0 27 -0.5241633671555441
0 29 -0.9811388964705219
0 35 -0.6586834454283617
0 38 -0.394291623949631
0 41 0.8269040944120916
0 44 0.3767616761047927
0 45 -0.15771165703956558
0 50 -0.31880098560083847
0 51 0.5172157333769205
0 52 -0.1993801125702621
0 54 0.6090330965424009
1 2 -0.11441160005671303
1 8 0.655233740804293
1 10 -0.2180186589552069
1 11 -0.5328309837818057
1 12 -0.9613520459792515
1 17 0.8764183398103758
1 18 -0.7279360751657924
1 20 -0.47673799253857907
1 33 0.8503855328067547
1 35 -0.4790087757932857
1 38 -0.4037338077312078
1 45 -0.659535753662178
1 51 0.626111874933664
2 5 -0.6629508304033542
2 6 -0.037493911161090354
2 7 0.7068444608603746
2 9 0.8482640052164105
2 12 -0.9331233131958057
2 13 -0.7203514747122306
2 14 0.9932299590253555
2 21 0.6324832633207855
2 23 0.8458189159191967
2 25 -0.2381579525916684
2 27 0.346817332550035
2 28 0.899946506489034
2 29 -0.6009077313557742
2 33 -0.8441057858849252
2 39 -0.8838989258432337
2 42 -0.6081851802988634
2 44 -0.6635127511635108
2 45 -0.04141240645018884
2 47 -0.7160139479976406
3 8 -0.830892802791015
3 9 -0.7114867783219774
3 12 -0.9426655464884468
3 19 0.779051446170854
3 21 0.4381697803696445
3 22 -0.8934146433616716
3 29 0.3564551721854885
3 33 0.38307823143210995
3 39 0.39914783944706267
3 40 -0.06978691943480353
3 43 0.06555545373885963
3 45 -0.5750404761616212
3 48 0.7257135034658841
3 51 -0.3507920734828571
3 54 -0.522387979671467
4 6 0.4904983031667478
4 7 -0.17307704583372674
4 14 -0.23628075843857888
4 16 -0.5795216461220003
4 19 -0.44576634705877516
4 21 -0.8908613496323727
