55 687
0 0.5833498999715903
1 -0.031479580922499695
2 0.34209727769471177
3 0.3458490270892385
4 0.11377951634589434
5 0.02191999460256544
6 0.7550311362999742
7 -0.5836008978530169
8 0.012087699636516236
9 -0.17280728158246395
10 -0.38410920140397087
11 -0.5066863137264077
12 -0.36861343903698107
13 -0.2800240487415029
14 -0.15108460962222692
15 0.9885593727939006
16 0.22583405625533515
17 0.2574860378141395
18 -0.13242927048705933
19 -0.49909018135701544
20 -0.9547113574278066
21 0.6021138100016272
22 0.13107774541101946
23 0.16512132677470892
24 0.41165145208907195
25 -0.8291674055282552
26 -0.7768097691424731
27 0.15877665399331198
28 -0.9862991792124605
29 0.880747206731824
30 0.287764236513965
31 0.6848529935925867
32 0.21246440364297947
33 -0.6542192529507718
34 0.2009865560761135
35 -0.968043254773556
36 -0.40210050680605636
37 -0.548895230517505
38 -0.2575635250142483
39 -0.8375490935348668
40 0.32950569985162215
41 -0.22234411525031494
42 0.0648985429894795
43 -0.6322395593193422
44 0.21678761529968438
45 0.17327827478913282
46 -0.3812297196663128
47 0.001553535179483534
48 -0.4071999470033685
49 -0.919151037270117
50 0.01506902026357837
51 0.2538341525703256
52 0.061920639242385445
53 -0.46220512474655684
54 -0.7237640909269158
0 1 -0.21993220636787347
0 2 0.7766129003389355
0 4 0.5909195034366381
0 6 -0.93736443221296
0 9 0.899971855036682
0 11 0.7501235188230906
0 13 0.6707122790102691
0 14 -0.3012049761857223
0 18 0.43702917491516446
0 20 0.5632708887334488
0 21 0.7121465937978677
0 22 0.787679721610175
0 23 0.2597201261816242
0 24 0.7159042757790304
0 28 -0.7330515753446707
0 36 0.5370730084677819
0 38 -0.13657609966308626
0 41 0.46911060200463917
0 42 0.43184988634235655
0 48 0.5448195544731074
0 50 -0.07959230961478347
0 54 -0.8309401680138584
1 2 0.613151951404618
1 3 0.6118503162310811
1 4 -0.08504064027502012
1 6 -0.5379270472838438
1 7 -0.6933008306019117
1 10 -0.16917181497134548
1 14 0.2732040834505538
1 21 -0.9184971725792477
1 24 -0.08063490880286484
1 26 0.2354057863514485
1 27 0.9132273302252334
1 29 0.3042379747587096
1 33 0.27409052530426803
1 34 0.3888627393305393
1 36 -0.8136169244306786
1 38 -0.3550648348782406
1 40 -0.6852741585491031
1 41 -0.1311255877934805
1 42 0.8231910480235274
1 43 -0.7452857077315189
1 50 -0.29471001220018667
1 52 -0.10095206672073687
1 53 -0.4834340158663326
1 54 -0.8600195612086432
2 4 0.956122941025261
2 6 0.6586976439920671
2 7 0.6933112432675237
2 9 -0.7000881651668616
2 11 -0.4712131755970588
2 13 -0.7248721547302208
2 17 -0.09192759796450334
2 22 -0.7206159695405852
2 23 -0.5791078015673556
2 24 0.11037584596079708
2 25 0.32130769087232336
2 27 -0.9338678499171473
2 30 0.8140234236142636
2 33 0.4591924965187675
2 34 0.7737442606477241
2 37 -0.872208106392228
2 38 -0.6594282363027104
2 41 -0.7049988785107417
2 42 0.7716802564179248
2 44 0.021386749690777584
2 47 -0.4725881579836131
2 49 0.8300939704621917
2 50 -0.007855668586300935
2 54 -0.7553877458318954
3 4 -0.6030498820783199
3 6 -0.39152146279203914
3 7 0.43425390493350635
3 9 0.33912412873677167
3 11 0.4924953379597756
3 13 0.8108877421832268
3 15 -0.15316395858941245
3 16 0.8469875350278968
3 18 0.25917401664163076
3 22 -0.3265361540407281
3 24 -0.8814046984895272
3 25 0.9039404874988612
3 26 -0.43907884819029985
3 27 -0.8655674775954632
3 28 0.5560801609400119
3 31 0.5422545210758547
3 36 0.8202208680890468
3 41 -0.31930129274435237
3 43 -0.542263844509318
3 45 0.973308846685927
3 47 0.7426205313928642
3 48 0.16722533655461813
3 49 -0.7558079377027376
3 51 0.4894700285660336
3 53 0.3828193593882059
4 6 0.7544020787494004
4 7 -0.39336479803803615
4 9 -0.6573629442742144
4 12 -0.12688393376109808
4 13 -0.698425274124697
4 19 -0.6329636926370936
4 22 -0.24840656024849084
4 24 0.7069152827325451
4 36 0.2964066919300816
4 38 0.1364950287727238
4 39 0.8326915781906534
4 40 0.2763253146793152
4 41 -0.6886539436854542
4 42 -0.733479468860301
4 43 -0.4145586983763556
4 44 0.8958835376794536
4 45 -0.5461014943164542
4 47 -0.6756055992995014
4 48 0.8918860435944798
4 51 0.15954354785572988
4 52 0.43075260277057614
5 10 0.3593807174125707
5 12 -0.15070390901229214
5 15 0.14566141221267404
5 17 0.20783848863997867
5 18 -0.6738165141082635
5 21 -0.3806300448757278
