55 585
0 0.7189091910994929
1 0.8079113952465664
2 0.419466313249492
3 0.034389898482972026
4 0.128320283758655
5 0.8954139345491592
6 -0.18670993375446732
7 -0.8110383227105487
8 0.5688691833921276
9 0.41170308953950374
10 0.41832640442168345
11 0.5148454874221138
12 0.8362410246157814
13 -0.03937196493486117
14 0.28233549594268603
15 -0.4017157057785907
16 0.17072413430736533
17 -0.9578007270935378
18 0.7704026303445912
19 0.13421496631946428
20 -0.2096760174635821
21 0.4915325597968154
22 0.627270791172372
23 -0.09166166606361492
24 0.8411148595870679
25 -0.16686215415439154
26 -0.8163977167939185
27 -0.8770067228191436
28 -0.9194683385993021
29 0.4530895439005309
30 -0.9512443294281874
31 -0.9586521613755974
32 -0.7845092466337196
33 -0.2812525886828412
34 -0.9018211245890269
35 0.6747923132873728
36 -0.780678178146776
37 0.5779725831091882
38 -0.890733984139576
39 0.8196569134054783
40 -0.37471278067965064
41 -0.8928952355113735
42 0.9472933700583048
43 0.37819700576473614
44 -0.8653810591790505
45 0.2783654078023008
46 -0.2999345490434695
47 -0.7413195783563986
48 0.7031593456052312
49 -0.011943151115311412
50 0.7827893255098228
51 0.8893334614861417
52 -0.8473921820352284
53 0.2684866306683533
54 0.9433330584776349
0 1 -0.7728455051189969
0 3 0.8047911302807256
0 4 -0.9480524550759413
0 5 0.27745843324830965
0 8 -0.6455511617360581
0 9 -0.29704958422576033
0 10 0.2657575630455675
0 13 -0.6411497656830039
0 26 0.2110409461199072
0 28 0.7500613737444153
0 31 0.3876282421148747
0 34 0.4152627659705348
0 35 0.7381398134848565
0 38 0.24473912473914128
0 43 0.4108483546205264
0 45 -0.19012333394194014
0 46 0.7181092710725545
0 48 -0.47861885422735106
1 2 -0.4432303948153067
1 3 0.5820080426824434
1 5 0.9842685555144439
1 6 -0.018086062795125812
1 8 0.652552043392324
1 13 0.7442029824895731
1 16 0.16506842669527666
1 19 0.7387839244461256
1 23 -0.5100517238564388
1 25 0.902896859723328
1 26 -0.5164720577856228
1 31 0.2007223548980004
1 33 0.9713329306922056
1 34 0.8205785360432625
1 39 -0.3872795240415876
1 40 -0.8359500037366405
1 42 -0.6173528790996878
1 43 0.4577078015732967
1 44 -0.4608252974111
1 48 0.642342593104964
2 3 -0.2962510160520231
2 5 0.6300605201915932
2 6 -0.09772442370974366
2 11 0.022450600365456763
2 13 0.5304671279206248
2 18 0.08397407824361913
2 21 -0.334401553873684
2 24 -0.7772066914019837
2 27 0.8529254343086936
2 32 -0.1460596567940735
2 33 0.8096199714379058
2 34 0.11968499659797738
2 36 -0.2597227104856299
2 37 -0.7506719154455936
2 38 0.6323835707287035
2 39 0.37409400000644744
2 40 -0.6184602904981407
2 42 0.043855414413999316
2 44 0.1456901931681287
2 45 0.11600925992497269
2 47 0.4735295131113597
2 49 0.7538889431128504
3 4 -0.34352747699747654
3 5 0.03955059434289221
3 6 -0.9236015934443158
3 10 -0.2860797123778256
3 15 0.6340691358992572
3 16 0.09047058964276444
3 17 -0.15701687166722134
3 18 0.8129794258106973
3 19 0.08433169725445633
3 20 -0.2018281754910678
3 21 -0.9109007536532749
3 25 0.2908447641651626
3 29 -0.6606770461915195
3 32 0.519162589164621
3 33 0.03718654735358862
3 37 -0.7302044075196648
3 38 -0.1520667594538152
3 40 -0.9077592349401897
3 43 -0.14320026727030322
3 44 -0.8516881077316683
3 46 -0.6503133761369997
3 47 -0.09763629199300872
3 48 -0.8529564786507311
3 49 0.7315644929643861
3 50 0.41051109933817176
4 5 0.7927950490135769
4 8 0.0694183814508682
4 11 0.6021751816386078
4 12 0.007011983360220686
4 14 -0.19919265491380678
4 19 -0.8439259906456913
4 21 -0.926385929720482
4 23 0.29927576550617574
4 24 0.08833521449365378
4 25 0.18925154262582633
4 27 0.4823997265593134
4 37 -0.7489349347227687
4 39 -0.5964683400848756
4 44 -0.013759194971321831
4 45 -0.32602999049764847
4 47 -0.09431848636627271
4 50 -0.3051047165039267
4 52 0.8801371331750072
4 53 -0.8902083923250421
5 7 -0.46278596960747365
5 10 0.8767503712643929
5 12 0.11039660712306021
5 18 -0.7228124042890793
5 19 -0.32675810438636055
5 23 -0.9182764639390415
5 26 0.9963694572557864
5 27 -0.7197006190941422
5 31 0.08952481454443095
5 32 0.5077726066181929
5 33 0.2966168381796608
5 34 0.5405128405668926
5 35 0.08381213833195522
5 39 -0.48195981782534014
5 40 0.20789611465473978
5 44 -0.6354846783739578
5 45 -0.25459459575048626
5 48 -0.4605542739904367
6 7 0.7388351069484174
6 8 -0.5038482183721342
6 13 0.8860047828312139
6 14 -0.32653041292894947
6 19 -0.25063776618654043
6 20 -0.3142497678710148
6 29 0.31091109356715707
6 32 0.379956507421644
6 33 0.21031791081832707
6 35 0.1580378638408486
6 36 0.25281966714485904
6 37 -0.9943760494054632
6 40 0.6252295025216907
6 41 0.7538725368658725
6 46 -0.5776082073639419
6 47 0.831698251637071
6 48 -0.6074777880060596
6 49 0.03891217612576292
6 50 -0.44741917110697926
6 54 -0.3464998194340907
7 8 0.707086710206895
7 12 0.763107326126752
7 13 0.8147780262136368
7 15 -0.19460578861855882
7 16 -0.3623389812851978
7 18 0.8237885523495923
7 19 -0.6595324768122459
7 22 -0.575045170352473
7 23 0.1098819724152984
7 24 0.8561348010260397
7 26 0.8788078095308618
7 27 -0.14551378982871888
7 31 -0.5610497567601171
7 32 -0.4071208558958679
7 34 0.8783747272953828
7 41 -0.6461637770428128
7 44 0.36374594261492454
7 45 -0.8162803637177867
7 48 0.9494469796425731
7 49 0.5252840574400186
7 50 -0.22348438132768345
7 54 0.8884468002035923
8 9 -0.3584878377535725
8 13 -0.7798971132754695
8 14 0.25337339597193953
8 15 0.1150395971262248
8 19 0.08665877702741498
8 21 0.6643987689518982
8 23 -0.6023075529179598
8 25 -0.7619011103700415
8 27 0.15529891670660745
8 28 0.049008962457465
8 30 0.021444128381986838
8 33 0.349416526842405
8 34 0.5000943269466693
8 37 -0.6469633547986711
8 38 0.1479591074717732
8 41 -0.5267263731727096
8 49 -0.265122696367295
8 51 -0.36024696194841344
8 52 0.9605309702198817
8 53 -0.4185231988482472
9 10 0.5471476117182545
9 13 -0.7585272862337753
9 14 0.2823167488974254
9 18 -0.4558284258428289
9 23 -0.28781551382986215
9 25 0.8424711445580777
9 27 0.7908158795228057
9 28 0.36785435021253354
9 30 0.37416421265251154
9 31 -0.8566394931387895
9 35 0.6315486311190652
9 36 0.8036380229717028
9 38 -0.7773154670014024
9 41 -0.7401530152215241
9 42 0.8565522688195433
9 44 0.0019253597202575357
9 47 -0.18904682764022773
9 48 -0.6338208845273177
9 49 -0.7401057882983029
9 54 0.7956606974302907
10 11 -0.10491716526350148
10 12 0.6494695708756235
10 13 0.2918007917964909
10 16 0.8633779795249192
10 17 -0.06126003492950827
10 18 0.20430822815181715
10 19 -0.20432714875359315
10 20 0.43620280513838483
10 21 -0.9114091005166283
10 23 0.1393032020024798
10 29 0.05710176100129183
10 31 0.8653406545859781
10 33 0.6852563891594594
10 34 0.039935646133028246
10 39 0.08094680229302909
10 41 0.7918854294124591
10 45 0.5177934810608897
10 46 -0.4835276463980729
10 48 0.8493482287823397
10 50 -0.5225375188715844
10 51 -0.46885317551318706
10 53 0.501882026474352
10 54 -0.2849760355432702
11 14 -0.037222436653354896
11 16 0.9125590437280946
11 18 0.30182693530838156
11 19 -0.34824876528623605
11 21 -0.2014958359802812
11 23 -0.11521945901406694
11 27 0.7012593129264368
11 28 0.4548550965818996
11 30 0.506832967437163
11 31 0.8621206722658707
11 34 0.6484044280248822
11 35 -0.8181939942357057
11 36 -0.6923969860264616
11 37 0.7015758249763726
11 38 0.6632981465922358
11 39 -0.26319602145510457
11 40 -0.8060694912260948
11 42 0.9803452136990818
11 43 0.703035683149525
11 45 0.28305180080593084
11 46 0.11156648182851692
11 50 0.1148645160543793
11 51 0.770491510153335
11 52 -0.9058920446613483
11 53 0.0509103955375112
11 54 0.8785117945009111
12 13 -0.4650375236500395
