55 783
0 0.8780815375302962
1 0.17605327279901606
2 0.5062695687529017
3 0.5471315753263966
4 0.5798339701892232
5 0.7384165342662741
6 0.13956210124132995
7 0.8220805627635157
8 -0.6018971300519309
9 0.2916249262514865
10 0.9745527590920737
11 -0.20345717943235164
12 0.13429503280162258
13 -0.7487869476193441
14 -0.5133878140411987
15 -0.8482125398200238
16 -0.49283981926023057
17 0.8597956671880931
18 0.45860543948212706
19 -0.08143400623471875
20 0.9749133201541382
21 -0.4015208725650212
22 0.8781716186946866
23 0.6234435502011875
24 0.6260906014820176
25 -0.5220726453706912
26 -0.004273821629170227
27 0.004251406457959961
28 0.7369278699510184
29 -0.06338166934196443
30 0.5574359550157002
31 0.1625479483699097
32 -0.713914133731335
33 0.678588758745214
34 0.027973396190675404
35 -0.5300935076663942
36 0.9404740532246572
37 0.17647205792437948
38 -0.5979172307697991
39 0.6372004851096567
40 -0.7777176078390642
41 -0.3793928672690672
42 0.36325368293806726
43 0.6350571435226897
44 0.3741871827590326
45 0.798283723803221
46 0.7921932430292238
47 0.06605943211637988
48 0.6385279515480691
49 -0.34380360225304174
50 -0.5289245586720666
51 0.707423856983183
52 -0.5822823500711147
53 -0.5446245267007892
54 -0.431955226385315
0 2 -0.3073964887172873
0 3 0.8783974827844654
0 5 0.13340679227319407
0 7 -0.010557721622588945
0 8 0.58411088842263
0 9 0.3544667183118384
0 11 -0.49886204914784793
0 12 0.5804970884410119
0 14 -0.030341389186195
0 16 -0.7038863687267354
0 21 -0.0641793643408699
0 22 -0.6733143538227233
0 23 -0.04391383837258811
0 24 0.13374725803488396
0 25 0.9024456015850333
0 29 0.2936164108867281
0 30 -0.8875992982441372
0 32 0.5322179722504463
0 34 0.754842956993012
0 35 -0.8603857865340017
0 38 0.5778342959919158
0 40 -0.9793786059037157
0 41 -0.6304470680913086
0 43 0.5230239399047214
0 44 -0.8840103682696738
0 46 0.39646185774433906
0 48 -0.40991211398505967
0 49 -0.7777406121343502
0 50 -0.7241143565591304
0 52 0.7106653551819062
1 2 0.750050770685889
1 3 0.1511362208652427
1 4 -0.4931006399096969
1 6 0.7302120801302721
1 7 -0.5444055625966244
1 8 -0.8430321879611471
1 9 -0.8947151217982503
1 13 -0.6138826088561165
1 15 0.639764929567594
1 16 0.5277546962881874
1 17 -0.9948489875267503
1 19 0.7490658031237882
1 27 -0.3666198931659399
1 29 -0.6975242388720195
1 30 0.0032597986395366263
1 31 0.32114023183037643
1 32 -0.6030975347213365
1 33 0.21646707132275367
1 34 0.8493172132434303
1 35 -0.7611462593559566
1 36 -0.7678175767604296
1 37 -0.04912711635447131
1 38 0.3995608748777846
1 39 -0.21702072667713002
1 40 0.9148107183414171
1 44 -0.5445900583108922
1 46 0.9793186815416706
1 48 -0.9735765696237437
1 50 -0.9579120939858006
1 52 -0.560629095502313
2 5 -0.048216037379042564
2 7 -0.6797966658352341
2 9 -0.3913922669881702
2 10 -0.3883633030599314
2 16 0.7616294990496626
2 18 -0.9908304725019623
2 19 -0.9862632783317349
2 20 -0.11466709939564201
2 23 -0.41113376629182685
2 32 0.3507011365781867
2 33 -0.709542392182066
2 34 0.2501016740499835
2 39 0.4550432093564445
2 41 0.5943248018930769
2 42 0.1774664868551774
2 43 0.32055212593388127
2 44 -0.501774970521293
2 48 0.47114532623202887
2 49 0.09163851623978703
2 50 0.2939919003505316
2 52 0.011968292763897104
2 53 0.33835495430408136
3 5 0.26987724305231553
3 6 0.8150151792876954
3 9 -0.7083209131739785
3 14 -0.6088384691770372
3 16 -0.11589475567074747
3 17 -0.9475957726442226
3 21 0.23437435707248766
3 22 -0.36413853401464547
3 23 -0.8514732613174887
3 24 0.26005798064475494
3 25 -0.38931429229312897
3 28 -0.5885776989233831
3 29 0.7046425791663293
3 31 0.9527656788780263
3 32 -0.9926727719532091
3 34 -0.35331852585052337
3 35 -0.07803959451457132
3 37 -0.9311666525948521
3 40 0.2295271106741601
3 44 0.5959335133287604
3 45 -0.06945917042964544
3 46 -0.21967230483973932
3 47 -0.2846656000214307
3 50 -0.500182494881102
3 51 -0.013767145088165345
3 52 0.3994986348701839
4 5 0.5276213400185132
4 7 -0.0529761970699536
4 11 0.3175134192208169
4 13 -0.42559398969736106
4 16 -0.7149905041114324
4 17 -0.981324786457747
4 19 -0.877510630322283
4 21 -0.841639650760954
4 24 0.7575722490964258
4 26 0.5007177644640528
4 27 0.5612656427418492
4 30 0.31625236718391614
4 35 -0.25114187980634806
4 36 -0.36205039221551427
4 37 -0.2634180060955109
4 38 0.16983855023735517
4 39 0.10895510208631776
4 40 -0.3460291524827872
4 42 -0.019441238749447365
4 43 0.6162217562598398
4 44 0.5058520668697248
4 45 -0.8194814745727572
4 46 -0.8947375806314581
4 48 -0.8688874575204752
5 10 0.17584638441297917
5 11 0.5491103678878877
5 14 0.5850538806839396
5 15 -0.015846283484588497
5 18 0.3539646556767253
5 19 0.12796722574377117
5 20 0.1610275972982238
5 21 -0.7652248216892283
5 22 0.7510156417663998
5 24 -0.5068973126906524
5 30 -0.7850506878596306
5 31 -0.35804588213144695
5 32 -0.15005194596481886
5 34 -0.4518281951554517
5 38 -0.5533361553087999
5 39 -0.8265803235245439
5 40 -0.8637083336997458
5 41 -0.8885128524954911
5 44 -0.4092910892627626
5 45 -0.23788076821370407
5 47 -0.6020173067817023
5 49 0.8214322245002212
5 51 0.7128332083703646
5 53 0.43032671264303146
6 7 0.5695484906351711
6 10 0.5836460217507882
6 13 0.9096139659654612
6 14 0.5835929353203198
6 15 -0.8353771271529791
6 16 0.4313229730885597
6 17 -0.9781823297695471
6 19 -0.7438700271978289
6 20 0.3288750016162507
6 21 0.4450702669226292
6 23 0.24819117879228214
6 24 0.40489164604771144
6 26 -0.4566644940470397
6 27 0.34150150237754406
6 28 -0.18179802351734597
6 29 0.5202738240457452
6 32 -0.44500931858524684
6 35 -0.23030300798369452
6 36 0.21566663717126722
6 38 -0.3998676292360013
6 39 -0.9204394698532716
6 41 0.7528229209629753
6 45 -0.8166219536906023
6 46 -0.41114775904748635
6 47 0.9669013059028431
6 53 0.009434496167753048
7 8 -0.8585973660439943
7 10 0.7756003529433826
7 11 0.7776546240903195
7 13 -0.303718373105762
7 14 0.8881438149656282
7 17 0.3382356838449594
7 25 -0.4932739434708404
