55 745
0 -0.46165302590302826
1 0.12694616385993784
2 -0.013248319429937538
3 -0.4041384000264536
4 -0.017788586061223688
5 0.38745322519723335
6 0.5573663416018271
7 -0.8990306081091946
8 -0.3642543107261438
9 0.6244768965621534
10 -0.25235887876221397
11 -0.7360860220549454
12 0.33783701935426946
13 0.9760311422405219
14 -0.768447692743865
15 0.994239673284405
16 -0.7372730780163204
17 -0.188123238058433
18 -0.2514709574710945
19 -0.4560661413880309
20 0.27654820110350875
21 -0.9718211887887604
22 0.5535652444341066
23 0.22683871265727906
24 0.9734754426796022
25 -0.944693599974326
26 -0.9670817691346907
27 -0.6628576091059326
28 -0.8235785088961751
29 -0.2315727085956194
30 0.12081153109233433
31 -0.6688187894785405
32 0.29590867377074637
33 0.7885655954507191
34 0.2219233219428085
35 0.7749885491410751
36 -0.7959004350025991
37 0.7442631587390272
38 0.31615435970694117
39 -0.8916296532969505
40 -0.8175575810545344
41 0.5621804809480315
42 0.18089794362803646
43 -0.49705919127901765
44 0.5737029716431084
45 -0.42931962599006046
46 -0.5030789385099279
47 -0.8881434679614095
48 -0.6313899273862815
49 -0.08019623539647136
50 -0.4400561284420059
51 0.4830272096617396
52 0.14788698452911553
53 -0.916728519641939
54 0.6125551769115103
0 1 0.08760367418285253
0 2 0.06459460478378709
0 4 0.2983728224324851
0 5 -0.003352790107681969
0 11 0.5037802702693583
0 12 -0.6960964149956685
0 15 0.21454694982850042
0 18 -0.07171025529523845
0 19 0.7390105615693585
0 22 0.5513649271063412
0 23 0.70259136323749
0 26 0.8086513861573281
0 29 0.5068532344477072
0 31 -0.7036536255527741
0 32 0.6715557870652187
0 36 0.36143814267589747
0 42 -0.470902182068893
0 49 -0.6048565193151043
0 51 0.4640132333647877
1 3 0.47636361802712046
1 6 -0.8776067218530486
1 7 0.7757328716358975
1 9 0.5819159738817521
1 14 0.9097374135572911
1 15 -0.8936126204662278
1 17 0.20488641780661698
1 18 0.3416520391565898
1 20 0.36210781180210816
1 24 0.6178890549567506
1 25 0.6008459232273828
1 28 0.9985490275716322
1 34 0.07284962440242726
1 36 -0.284151963533976
1 37 -0.18328510366975936
1 41 0.9797874411419774
1 43 0.38757297422583115
1 45 -0.4237551677413738
1 48 -0.6962172508039008
1 50 -0.9208557689843035
1 52 -0.46498861458294827
1 54 -0.6656773672979313
2 3 -0.25993668808092596
2 5 -0.5139926288175998
2 6 0.7356081780729402
2 11 -0.8740757547164963
2 12 -0.19883831199623225
2 13 -0.18720922682025565
2 15 -0.24265215320240707
2 16 0.17701716268739487
2 22 0.4368074085051252
2 23 -0.5938713561947344
2 25 -0.9915560163391375
2 27 -0.9347963792273881
2 30 0.06961402596735833
2 31 -0.08071850022349736
2 32 -0.4815554135101894
2 34 -0.9606453013706671
2 37 -0.9809949113346768
2 43 0.30926857567838173
2 44 0.2898536354848418
2 48 0.4192777150357416
2 50 0.2561131352214141
2 52 -0.1284007894200505
3 5 -0.7755306784168805
3 7 0.07950898776628801
3 8 0.7413079601257637
3 10 0.8383837579616384
3 11 -0.277943879004277
3 13 0.1475751865134145
3 14 -0.2095655390433675
3 16 0.41328474848533503
3 17 -0.9136537762978367
3 18 -0.05343527287401684
3 19 0.12362256937603577
3 20 -0.23590470299218347
3 21 -0.22757654918675696
3 23 -0.6068076260260011
3 29 -0.6375321699628569
3 32 0.5722503923385232
3 35 0.24572239679420327
3 40 -0.48458193535429883
3 46 -0.5226259471728285
3 50 -0.9319737268890331
3 51 -0.43755609898085157
3 54 0.9346821740310951
4 5 0.5517587897238228
4 6 -0.2571325854843476
4 7 0.3915626371617722
4 10 0.9949689456717754
4 11 -0.2069360179398636
4 13 -0.09192124554659609
4 14 -0.2112206742082101
4 16 -0.6602193764675417
4 18 -0.7258554863015305
4 21 -0.8929511498358977
4 22 0.8543744493498275
4 23 -0.4896002683360037
4 26 0.27950337072899956
4 28 -0.9133467897599292
4 29 0.6779967703559222
4 30 0.3394441792584435
4 32 -0.48398947265219117
4 33 0.5740444625376022
4 39 0.9809158660917676
4 43 0.10932905793818337
4 46 0.9684146256809125
4 48 -0.05570949656028068
4 50 -0.7589196937908262
5 6 0.1293746952447652
5 8 -0.7363533197959797
5 13 -0.14599534540477
5 16 -0.4338094704550921
5 18 0.05030245789147747
5 20 -0.6790359504589274
5 21 -0.33441137586173997
5 22 0.009175061312764354
5 24 0.31845018193287444
5 27 0.20692009990010174
5 31 -0.8968545867881688
5 32 -0.9033648238140934
5 33 -0.09227138820449166
5 34 -0.6648470551106118
5 35 0.7653531421551181
5 36 0.3156323575000852
5 37 0.5091911499764294
5 40 0.721405368784722
5 42 -0.6673955033696386
5 43 0.2339199602776667
5 45 0.608714681218983
5 46 -0.6334235379860642
5 47 0.8356220827738079
5 48 -0.2520418742823387
5 54 0.7098108058026269
6 9 0.43347851426991957
6 11 -0.7989122271937319
6 12 -0.32947946638077297
6 13 -0.658706814966219
6 18 -0.3809439761665796
6 19 -0.08568779475744748
6 20 0.8531165902300337
6 23 0.5187297265959305
6 26 0.35998528766302584
6 28 0.20704099112329222
6 29 -0.6312678631869153
6 33 -0.4210427552893752
6 36 -0.03608863284490904
6 37 0.23111856562412836
6 38 0.31005852886589946
6 41 0.5053110405818397
6 43 -0.38204989330348105
6 44 0.6076212219836457
6 47 0.1192155969223021
6 48 0.017300849720173872
6 52 0.9534916865101433
6 53 -0.281537327915077
7 9 -0.816824525371763
7 10 -0.3475107182881756
7 11 0.552943729748143
7 16 -0.48717732291892424
7 21 0.4819336537945149
7 23 -0.14302893855832255
7 26 -0.6911626012446257
7 28 -0.19523075299964554
7 29 0.815523358074508
7 30 0.7653727964582471
7 31 -0.28694805076144414
7 32 0.8145488420928435
7 36 0.4325363590702407
7 39 -0.7145436850740052
7 40 0.7367700638707999
7 41 0.5107248407197098
7 42 0.44915735752230534
7 43 -0.44687810132681016
7 46 0.8715372571152831
7 47 0.713792797791208
7 48 -0.49150316081408607
7 49 -0.5899433199450284
7 52 0.43566710775844064
8 9 0.9667098269519203
8 10 -0.9466859951395044
8 11 -0.5216221209125282
8 13 0.3629791229216559
8 15 -0.5989302835768582
8 16 -0.5607285417318044
8 18 -0.0733152622595834
8 20 -0.7551821835379746
8 23 0.09662323164221998
8 26 -0.18485960071607188
8 27 -0.8431165112544208
8 28 -0.23244975250919309
8 29 0.8598835426057141
8 30 0.2640351417611888
8 33 0.3318908894401509
8 34 0.295475533380686
8 35 -0.8232867329457654
8 36 0.19854453695559027
8 38 0.15683629068704819
8 40 -0.9258365296934179
8 43 0.4657137493874508
8 45 -0.08485466950061249
8 46 -0.7721915909218939
8 47 -0.5978600527074174
8 49 -0.2186480328647129
8 51 -0.20364720531363711
8 52 -0.09249117081287128
9 11 -0.6955192645401727
9 12 -0.9005724213138095
9 14 -0.9646407549065459
9 15 0.4353183851747473
9 17 0.38386008147953476
9 18 -0.668485485148598
9 19 0.9799199815083088
9 20 -0.30114161012697904
9 22 -0.2651157702106077
9 24 0.3373281091871414
9 25 -0.8889905000104494
9 26 -0.7779689542639578
9 29 -0.791800222624836
9 37 -0.5639259210964034
9 42 -0.2649629364443655
9 43 0.8447243099697055
9 49 0.1847762706889713
9 50 0.3264798233378212
9 52 0.6735935849419947
10 11 -0.477670475496371
10 13 0.9346680114055659
10 14 -0.4441013926105206
10 15 -0.9415985997648677
