55 902
0 0.29970718070435476
1 -0.8503134573905444
2 -0.2910026551583793
3 -0.15334813241549528
4 0.4251781854437817
5 0.16541544579797196
6 -0.7898051432618993
7 0.3763117479197733
8 0.7210454612427992
9 -0.5855501254999926
10 0.7487478468569466
11 -0.3691499847952442
12 0.3556598535308009
13 -0.6866207129360435
14 -0.8993219369535086
15 -0.8414740261069289
16 -0.639846224868807
17 0.055263875909109084
18 -0.031844570655987336
19 0.9385825902167806
20 -0.4163391254101212
21 0.029485750544060885
22 -0.1403633027349993
23 0.891911424986507
24 -0.8852328762496204
25 -0.151541728051521
26 0.6459325143073298
27 0.12540097514583493
28 -0.031138981567768287
29 0.24002387641951795
30 0.006306955634645561
31 -0.397439934522406
32 -0.8963567653423519
33 0.2387045927825171
34 -0.05634491268821695
35 -0.21618439352978314
36 -0.58168191567407
37 -0.46951051838274016
38 0.5653792968018074
39 0.7270769209250827
40 0.42295264668842747
41 0.34832315653487567
42 -0.8792950265523183
43 0.95514417456358
44 -0.6891198187260776
45 0.5749686984317535
46 -0.665424271630525
47 -0.8735271915212768
48 -0.5318183565365782
49 -0.03552596063880076
50 -0.3401060974124961
51 -0.41308283696922654
52 -0.5326570627769038
53 0.926997991290099
54 0.9901622651268791
0 3 -0.908806860109123
0 5 -0.09761620713944907
0 6 0.942867751790806
0 7 -0.6320555548443305
0 10 -0.909309213810195
0 11 0.5472087928373521
0 12 -0.4942528529214485
0 14 0.14812942220135072
0 15 0.6250056865709865
0 16 -0.9113273409390785
0 17 0.03458763628465289
0 19 -0.8143686827454193
0 20 0.6059606401126612
0 22 0.2131863015364579
0 24 0.38922345800612335
0 26 -0.36731795096191977
0 27 -0.7298723891099164
0 28 0.146862630544772
0 29 0.8893916497367025
0 30 0.5553464022595993
0 34 -0.3557102266177905
0 35 -0.3567966070320654
0 37 -0.27971815301010516
0 39 0.4370146546257321
0 41 0.03801384857669676
0 42 0.5861499463483941
0 43 -0.82861087016092
0 44 0.4637959512423362
0 45 0.9447548028006167
0 47 0.708838802164774
0 48 0.8410296984560159
0 53 -0.24872635202664384
1 2 -0.7218063459174271
1 5 0.2692204393130322
1 6 -0.13022094510504156
1 7 -0.19209624288131621
1 9 0.4538782862964881
1 11 -0.8932485802233188
1 12 -0.3286957189879347
1 13 -0.4551893409832244
1 15 -0.8346827114533057
1 16 -0.36962625733963805
1 20 0.5447868999352268
1 21 0.3478874520783273
1 22 0.8180375573999394
1 23 -0.8363596635171158
1 27 0.5009885397706113
1 28 -0.8437348711761743
1 29 0.6334061625498315
1 32 -0.4168475280594752
1 33 0.82770705943996
1 34 -0.40056952930663514
1 35 0.6924908356565058
1 36 -0.004673801657760102
1 38 0.2618981629436239
1 39 0.409269955668391
1 42 0.3640724974778822
1 46 0.9078412844561297
1 47 0.3350069520314587
1 48 0.21851980116141778
1 49 -0.3886434570830979
1 50 0.6631899890727921
1 51 0.9871107975479652
1 53 -0.46835841204661177
2 3 0.49656529294061746
2 5 -0.9962950910260011
2 6 -0.8997372046727294
2 8 0.9584638144526243
2 9 0.7559858294465689
2 10 -0.8534774286478906
2 11 -0.5841002167344838
2 12 -0.5355094315024995
2 13 -0.1414862761314366
2 15 0.2793539891322485
2 16 -0.2360960614011025
2 22 0.21266474554034476
2 24 0.8199555111570256
2 26 0.33980464145218603
2 27 -0.8176633567616605
2 29 -0.6204607229125481
2 30 0.5750603558494458
2 31 -0.9621941924014124
2 35 -0.3232368636848688
2 36 0.14057583716357946
2 38 -0.9669218302975875
2 39 0.9858759504706902
2 40 0.6713316022948121
2 41 0.35070671288523014
2 44 -0.5001577505557528
2 47 0.5372925725660973
2 48 0.45243115132476897
2 49 -0.1560852813131104
2 53 -0.6547619828287818
3 4 -0.7756205617467951
3 5 -0.18600713500669785
3 8 -0.5279847498704382
3 9 -0.06678392486406115
3 12 -0.6988428388223056
3 13 0.15389518050022155
3 14 -0.4730265704190846
3 18 -0.6819840779201716
3 19 0.7282709382032404
3 20 0.437808137800654
3 22 -0.24564136999668373
3 24 0.46127374936773635
3 26 -0.7537927098159323
3 27 0.10326325785112678
3 28 -0.2940135840481497
3 29 0.4346567335833875
3 32 -0.7460432082161415
3 34 -0.5475763055360414
3 36 0.24496329463976463
3 37 -0.79473669331863
3 38 -0.9177620552554182
3 39 0.8301588731083975
3 40 0.6432209339639885
3 41 -0.9648151253742261
3 42 -0.9022808924512355
3 45 -0.9161491046091279
3 49 0.650776422669969
3 51 0.3512930875472353
3 52 -0.21026607728376945
3 54 0.9036716947339691
4 5 0.44737176534128276
4 6 0.034334829438897874
4 11 -0.6219774626671213
4 12 0.5164110093484167
4 13 -0.7434197568584044
4 14 0.7009019161353873
4 15 0.4446956477025761
4 16 0.8646496473024632
4 17 0.028188786389391263
4 18 0.6216056084462827
4 21 0.7805832539958211
4 22 -0.6325086247209835
4 25 0.8279926166796576
4 26 0.14927614810136514
4 28 -0.03448782486334334
4 30 0.019776288590624524
4 31 -0.6142581158845539
4 36 -0.16256435049555362
4 37 -0.8040371235718864
4 38 0.17608613576904708
4 39 0.830045186519234
4 40 0.17676096588493095
4 43 -0.9223350117899978
4 44 0.49618091238184747
4 45 -0.5445254884125792
4 47 -0.4724771988680514
4 50 0.7285535552606586
4 51 0.2795453240788719
4 53 0.21081075735366617
5 7 0.6312067727903132
5 11 0.6952746917133277
5 12 -0.04398865845656408
5 13 -0.8875101213564902
5 15 -0.7131507517414684
5 16 0.6967772973996882
5 18 0.7874381129465056
5 21 0.8048211131704854
5 22 0.7511575063139382
5 23 0.029125558647212113
5 24 0.9878535289739192
5 26 0.7101831849002835
5 27 0.33280439416918695
5 28 -0.3366626144678122
5 29 -0.32763079804072603
5 30 0.8853180811417727
5 33 -0.050636930052665896
5 34 0.39995940887424886
5 36 -0.06075475162561683
5 38 0.13966935769082944
5 39 -0.4767312659665739
5 40 -0.9527551253457791
5 42 -0.9317050188525453
5 44 0.1286110574599708
5 47 -0.9556490962432229
5 50 -0.9708894978707308
5 52 0.6288823279680775
5 54 -0.049297074574692124
