65 96
0 0.9030428670730757
1 0.4903081008007868
2 -0.1513151514047879
3 0.6504071618970158
4 -0.7282376256766678
5 -0.23461299593603147
6 -0.6029559698352849
7 -0.39862077438119736
8 -0.5584191814918094
9 0.4576845272520389
10 -0.462526760357973
11 0.46309112835358013
12 0.6726318077461833
13 -0.7607302019558182
14 0.3503359860822408
15 0.623440847865621
16 -0.20511822049771888
17 -0.590645174934292
18 -0.49631178676601606
19 0.7851712006060292
20 -0.07044111809364995
21 -0.6503319023488237
22 -0.9917258740644912
23 -0.507737813261868
24 -0.34041421202476996
25 -0.8734524403958976
26 0.5822821355466161
27 0.20185281111367104
28 0.5986232919796322
29 -0.07612109698937197
30 0.6641025156696938
31 -0.030419764345330336
32 -0.0003245807520415589
33 0.4286521539971617
34 0.3830465747554985
35 -0.7556370273008279
36 -0.4459570484362805
37 0.48030922660835884
38 -0.6559136557851808
39 0.5600828182622353
40 0.006457435342010598
41 0.4014411276154648
42 0.7126620080209538
43 -0.6032883255860455
44 0.9614755543155384
45 -0.7755245657455283
46 -0.09090572217136161
47 -0.9809286740999497
48 0.9357461335258865
49 0.46141920219071
50 -0.5591558362494575
51 0.1656240466156249
52 0.5417086387043804
53 0.5211106441302409
54 -0.956371728762043
55 -0.2217436685584997
56 -0.26424572661288037
57 -0.7790074268523619
58 0.20321862864706985
59 0.24773853188044126
60 -0.21181170835675056
61 0.4374473191378492
62 -0.9903604194262359
63 -0.0937402840157262
64 0.10137388212831544
0 11 -0.6591301259946949
0 41 0.5652582622343434
0 61 -0.4762759108413859
0 62 -0.7035770129661776
1 26 0.5314667769977066
2 10 -0.6430530807262185
2 63 -0.7925953324415496
3 5 0.8466052065572929
3 43 -0.8043132755014939
4 10 0.1402438405473143
4 16 -0.494468308682688
4 28 -0.3409146796347191
4 42 -0.5393356986176323
4 49 -0.3551497790944165
5 20 -0.5452821729353001
5 24 -0.28247853692980196
5 32 -0.5044690935180147
5 37 -0.506773119301722
5 46 -0.8788162095187906
6 9 0.7236637480662633
7 32 -0.1627916534668421
7 39 0.9054777797874392
7 45 0.37653132481282414
7 47 0.7608985758915867
8 11 -0.11459025515505283
8 22 -0.6465447176153569
9 32 -0.2789868292827882
9 38 0.9665331486214759
9 57 0.392856219688124
10 59 -0.7290157387467489
11 17 -0.42840817400915765
11 23 -0.6171045604175556
11 51 -0.38153485988001634
12 61 0.04915815187571937
13 20 0.9115453692383066
13 28 0.5202628988181244
14 33 0.3434340844397328
14 34 0.9599515281720772
14 63 -0.20324681651876086
15 18 0.4383540568231705
15 42 0.7349282143378888
15 44 -0.7750819486476495
15 47 0.16915241041098272
16 48 -0.914719651431606
17 35 -0.7719731905068634
17 45 0.5188698184733576
18 28 -0.5946734435034218
18 40 -0.36321195656504246
18 63 -0.9320997826147923
19 23 0.31497553422119307
19 34 0.12541957659113967
19 35 -0.9645508898577486
20 39 -0.6580204976378499
20 46 -0.8725782041259789
21 50 -0.9113770148420728
21 59 0.07799332547871418
22 23 -0.05959302586208404
22 38 -0.8574003659086848
22 51 -0.5733800005502947
23 62 0.5499567060161172
24 26 -0.5547154209505307
24 59 0.932623443194903
25 59 0.8228212651470284
26 38 -0.8362757632027791
26 62 -0.7395276138491602
27 32 0.007026875350199191
27 56 -0.6830269031764604
28 41 -0.7162590226326138
29 30 0.5899840323676284
30 31 0.357376331873243
30 50 0.47477870589771665
30 59 0.6872756006610101
32 49 -0.420329105761696
34 47 0.5167159900883327
34 49 -0.4814280028869693
34 50 -0.0748774644434187
34 51 -0.9646990541295792
34 55 -0.8142309317162328
34 60 -0.1301753555404297
36 52 0.14800671778067698
37 45 0.5429854840660697
37 50 0.7998283653728258
39 40 -0.9214707385901115
41 51 0.14191872057769883
41 60 0.418169226621538
41 64 0.7976728425166817
42 52 -0.6065134867179327
42 61 0.6494721292254331
46 58 -0.43679453351432596
48 52 -0.6571674194307173
52 55 -0.8276030128395875
52 56 0.22575003931496207
52 62 -0.8802120913120175
57 60 -0.08147829881760504
58 59 -0.9079609343717499
58 60 -0.9462219230091948
