65 100
0 -0.37781275224199984
1 0.048688118812822534
2 0.5986027236987679
3 -0.31041629613172295
4 -0.7413649213445057
5 0.31678024433291885
6 -0.5482099414316715
7 0.7768775613008847
8 -0.4559091083297946
9 -0.024223294347564206
10 -0.15519051501607373
11 0.6083101713038355
12 -0.38816494551345326
13 -0.9310681006619945
14 -0.874499406292887
15 -0.9886923628034092
16 0.387520961734827
17 0.9700924743857198
18 0.5019614069429004
19 0.4912462682951757
20 0.41201075945596655
21 0.36495079921370244
22 0.7489022825844329
23 0.2684231588053161
24 -0.6305844354076489
25 -0.1159488488697249
26 -0.9403460371030217
27 0.6995994860716814
28 0.1974858321571653
29 0.18312495542886031
30 -0.10657555407663044
31 0.4176409946388011
32 0.6993550352099107
33 0.32861465820427216
34 -0.33375575079771647
35 -0.006971884168107012
36 -0.5641673443505613
37 0.633238132119166
38 -0.45710703038635847
39 -0.0288045381222779
40 0.019844212529517735
41 0.1884176494372145
42 -0.3702012922304734
43 -0.3143715476097708
44 0.2650111830958841
45 0.8544901291318734
46 0.9000851358944129
47 0.32467758089758614
48 0.08614466243699104
49 -0.34803788214806874
50 0.3295520700075991
51 -0.3792184431320811
52 -0.4362177157923617
53 -0.2622472902785473
54 -0.4446407635474574
55 0.6578131070118802
56 -0.7279889186018391
57 0.5631594338936816
58 -0.2050236339398568
59 -0.6127571819516693
60 0.6443865385676546
61 -0.0037182420920760517
62 0.7692746159353769
63 -0.6371062691352403
64 -0.1978187193447687
0 18 0.6260233919811304
0 37 -0.7542240383588461
2 4 -0.7378088977490853
2 37 -0.9436091419737935
2 55 -0.6453412674507673
4 6 -0.46369103628844166
4 46 -0.9745628044104697
4 47 0.3885145585116845
4 48 0.19310469874633607
5 16 -0.7635305911054608
5 37 -0.9811900602183434
5 52 -0.8754704105942761
6 27 0.09032021200185203
6 49 -0.035805772222322396
7 8 -0.9069828945007343
7 16 0.05035168691421865
7 51 0.43338738921340236
7 63 -0.680904718340327
8 25 0.31436079669337436
8 34 0.6312905231193995
8 38 0.781858180546166
8 51 0.6772759402575108
8 62 0.6981676669883365
9 32 0.648190869211392
9 37 -0.4017502399340438
9 43 0.8350838451831928
10 14 0.728475134981698
10 21 0.5337962712604936
10 30 -0.9386881081401213
10 49 0.0600043161268633
11 22 0.6056436176117217
11 58 -0.3219508272789351
12 25 0.6756972417893112
12 36 0.5337806139553865
12 60 0.8218270535489445
13 43 -0.4079021274099739
13 49 0.23386512576343232
14 19 0.17858080738714532
14 58 -0.5718532514070203
15 34 -0.5014147878830253
15 54 -0.641693958306709
17 50 0.4458722548355398
18 40 0.13213312959126533
18 47 0.10171435258748263
18 48 0.5309019788383702
19 26 0.18211184084007193
19 28 -0.0057466473717247
19 33 0.8975147864504527
19 42 -0.7898966927185664
19 44 -0.883616749646404
20 30 0.38091944976380665
21 35 -0.5428299847459028
21 37 0.09252577197864142
21 49 -0.4976127949727429
22 25 0.9288364818170174
22 36 -0.6618147709084703
22 47 -0.8183496426470123
22 57 0.5397155269488423
23 54 -0.8812234789514195
24 49 0.431889337312642
24 60 -0.0323141354959795
26 35 -0.5432413358785126
26 39 -0.5199204872278684
26 63 -0.4301012597868039
27 54 -0.8864129003678294
27 62 -0.6129297562530636
29 32 -0.7613635314180489
29 49 -0.38140435297401765
30 46 0.8540290770774934
30 49 0.5264201674169937
30 52 -0.06643540676375403
30 61 0.4050985492318624
32 59 0.8440826893057993
34 41 -0.6933781534432033
34 56 0.05755697539583382
35 44 -0.5472681191258275
35 51 0.10538389547922744
35 53 0.9184594925754515
35 63 -0.5634942450487521
35 64 -0.8898233575322392
36 54 0.7307633887693359
36 60 -0.5535257880665436
37 48 -0.28930834169886466
37 52 -0.512682789208512
37 58 0.049577609787849086
40 46 0.945229436533376
40 60 0.5563985492937118
42 59 0.49552382303053855
43 57 -0.38507032515931283
44 48 0.5996327927019498
45 54 0.8837603686767241
45 62 0.8498405859444182
48 50 0.6890390546030689
48 54 0.6101114008516904
50 57 -0.7008427864989308
52 53 -0.020047375143311008
56 63 0.5452262651207056
57 58 -0.22932962951377522
58 61 0.7223242145450817
58 64 0.9572547283051929
