65 327
0 -0.21942190359319613
1 0.45111045360251634
2 -0.4067402737523984
3 -0.7865670031708749
4 -0.5239376987935169
5 -0.8515459073696354
6 0.7530081495267396
7 -0.022541248444885253
8 0.5938433354776127
9 -0.7572782291657347
10 -0.7252510470018445
11 0.1806100957403225
12 0.1446560871519449
13 0.3279412865212985
14 -0.6361753765941223
15 -0.911961103194622
16 0.8243294249376072
17 0.7660983178463998
18 -0.6384794380163938
19 0.1153551164347979
20 0.395140587021956
21 0.3936470719781444
22 0.845781436816355
23 0.31977502187081863
24 -0.49485024577127845
25 0.6949157658900009
26 0.5163188460429724
27 0.23529194701204315
28 -0.9215384698699962
29 -0.5377627896390205
30 -0.4850423697629833
31 0.8806162198401766
32 0.775293468330333
33 -0.3906061078351106
34 -0.7356733936284787
35 0.3592177737370903
36 0.584053542028435
37 -0.7827310115408852
38 0.3466323282958286
39 0.40560174331891985
40 0.3885708680561286
41 0.4368134044629224
42 -0.8511243239017454
43 0.7333194192906345
44 0.3036233663193617
45 0.5236083832745118
46 -0.5809517709745509
47 -0.5845663013052405
48 0.7826236132557705
49 -0.3378762719817776
50 0.5566770897152282
51 0.7981083803869173
52 0.4046682167644271
53 0.2723881075153822
54 -0.979995756609443
55 -0.2926139338834255
56 -0.7279979438417874
57 0.33132345982265776
58 0.07867750259729922
59 -0.0009146934392472161
60 0.21161781939413782
61 0.3810457426219045
62 0.5359247629812718
63 0.4606355176469774
64 -0.11036366332968717
0 1 0.2075706955971175
0 15 0.11256385547858683
0 16 -0.019518382239430032
0 23 0.30019038170917
0 28 0.03403211283300056
0 37 0.30954938148600486
0 44 -0.35748772558178543
0 52 0.1776084864823788
0 53 0.8662941274147173
0 57 -0.7031045198655006
0 58 -0.46012410321106323
0 62 -0.9664059679947716
0 64 0.32041680588869936
1 4 -0.3686654676335481
1 10 0.2939672252115948
1 13 0.20188349739260603
1 15 0.614004900374101
1 20 0.7868541834311888
1 24 -0.6243713316556725
1 26 -0.2282210229067565
1 31 -0.09963796060798047
1 38 -0.5353842446108932
1 41 -0.6956437480944586
1 42 -0.3194973189427095
1 57 0.6509226978137415
2 6 0.07820355571413717
2 14 0.22890852399644168
2 16 -0.2982521287707325
2 25 -0.9475166106116797
2 34 -0.322204884624673
2 41 0.1473118815364809
2 45 -0.4634312549795596
2 50 -0.9519528124407894
2 52 -0.5909547275174107
2 64 0.38415637689883453
3 8 -0.17372502786024047
3 10 0.6140339540098367
3 13 -0.2842122411508752
3 17 -0.41324046879609866
3 20 -0.011040614006196048
3 23 0.3143312116621424
3 24 0.19449206799156715
3 26 0.12976000916481967
3 53 -0.9442129512052304
3 55 -0.7180916774939556
3 57 0.2701308792943524
3 62 0.46970639103722434
4 5 -0.3038866184920592
4 6 -0.677908012958951
4 10 -0.9083544012887625
4 11 0.7669422120050484
4 23 -0.6458840709817992
4 24 -0.45894286929359374
4 29 -0.7120200146550142
4 31 0.9542965054317181
4 38 0.7250543200223531
4 57 0.6280399013056301
4 59 0.7350669154425367
4 61 0.6133272957678157
4 62 -0.25135816078525997
4 63 0.5588000027953544
5 20 -0.5176881785202274
5 24 -0.6326956383834321
5 33 -0.30215223090675214
5 35 0.3094563109199884
5 41 -0.22679615985902557
5 45 -0.495220416118894
6 9 -0.2486597924546765
6 10 0.2846411624178109
6 15 -0.3640909376134074
6 20 0.2930444033011572
6 27 0.280575030317592
6 29 -0.7189805362491668
6 39 -0.5182259681317436
6 55 0.8919108497874555
6 56 0.04001500365002264
6 61 -0.3309335456755331
7 8 0.979825549665525
7 23 0.059190512515262084
7 32 -0.04397638252061231
7 39 -0.8545641421860954
7 42 -0.13583419179348266
7 51 0.6138396510620718
7 52 -0.3943949237242643
7 53 -0.8763748543637377
7 55 0.6792787483084468
8 49 0.5035920997711818
8 52 -0.11651889269371529
8 60 -0.4647421992944625
8 62 0.32634046698730756
8 64 0.2442665788773246
9 10 0.19139246704019386
9 11 -0.16478133644246573
9 12 0.5992301386684324
9 13 0.7275552292222878
9 22 -0.04657334853865702
9 24 -0.2291000103094556
9 25 0.23872755731726314
9 29 0.5488754737053294
9 31 -0.6379974518865272
9 35 0.021350646758799607
9 36 0.46192051956848235
9 45 0.6422985987651348
9 49 -0.12251457854739423
9 55 0.1887494505202405
9 64 0.6142538224966618
10 20 -0.9030999151510783
10 24 -0.9692082449086086
10 28 0.09730238559238114
10 29 -0.09758419406587127
10 30 -0.8061914285113789
10 32 0.5638650550857114
10 36 0.4511873828119395
10 38 0.7273548454681449
10 47 0.3411617125249242
10 51 0.7993758848936303
10 53 -0.42976290369268977
10 64 -0.29855170768992845
11 17 0.4287607269228846
11 21 0.8105173146716051
11 28 0.22045937370723578
11 36 -0.25248248195302603
11 39 0.22390589059420107
11 58 0.10019862899043486
12 14 0.6387537275582882
12 26 0.9561593330673286
12 30 -0.25121958305930914
12 43 -0.7726419025561604
12 44 -0.38796796266214595
12 61 -0.10617673930059257
13 25 -0.7957254099459066
13 31 -0.33506831150282124
13 36 0.8737663839823624
13 52 -0.11431928826723792
13 54 -0.45639006127160897
13 62 -0.9469283995737761
13 63 0.9610415159518573
14 23 0.4442697790485275
14 32 0.7987140417142868
14 40 0.2314751917538953
14 42 -0.5115443077849742
14 43 0.4191052746700368
14 45 0.06629929414785396
14 64 0.5978911990666766
15 21 -0.5509013122529476
15 30 -0.3166663665413716
15 33 0.5497987153131465
15 47 0.9240306809861139
15 50 -0.6216080797246757
15 60 -0.6664017305566183
16 39 -0.5249365051743089
16 45 0.009914018460308371
17 22 -0.6878216780837454
17 28 -0.8285816870556226
17 34 -0.993613970566747
17 38 -0.9391115001288939
17 46 -0.01694346839807115
17 49 0.9333235034982865
18 21 -0.08160454827345709
18 28 0.119992975333989
18 30 0.3648929529346534
18 34 -0.2251075468930004
18 36 -0.25516638013199877
18 47 0.4994363631539187
18 48 -0.6235037030062516
18 52 -0.3548250827304531
18 55 -0.08074402108254408
19 23 -0.5175811119792377
19 24 -0.3755340066212405
19 29 -0.19419689519677452
19 33 0.8819938226550668
19 46 -0.21579847820779374
19 53 -0.30804322880160306
19 62 -0.550239831000976
20 35 -0.7936232717460687
20 50 0.5605973930669244
20 52 0.16996088879626425
20 53 0.7566598559608508
20 61 0.5364501617263797
20 63 0.31428846258283705
