65 646
0 0.6083989049093657
1 -0.5269770932478874
2 -0.8244256187395835
3 -0.9084729563043021
4 -0.42713572428017366
5 0.9493721565632063
6 -0.4322933036032155
7 0.6313742639307376
8 -0.008909463094829873
9 -0.44834981375950433
10 0.24575101489620566
11 0.4562197841373936
12 -0.2276145863870569
13 0.76725458828826
14 -0.556043552466734
15 0.5808730675208247
16 -0.009951165063130762
17 0.8289712148299409
18 0.3140104928558052
19 0.8169527329586233
20 -0.46605098492542574
21 0.08873066430707355
22 0.8215703597464996
23 -0.1644049523356923
24 -0.5608270683376106
25 -0.07669321654431971
26 0.6429684438870342
27 0.9995467066329913
28 -0.3582052447790369
29 0.9497995051678279
30 0.9754482037413512
31 -0.46899036274464745
32 -0.900754663651651
33 -0.8032389529217199
34 0.8192860276579903
35 0.32454071094870174
36 -0.6007661184980908
37 -0.5228569928417528
38 -0.44739915239188854
39 -0.7972269031807115
40 0.4343759731051957
41 0.49929481965193356
42 -0.5326440342911964
43 0.2527233589368454
44 0.522341615048185
45 -0.38431411894942236
46 -0.8655156370573895
47 -0.060641546855969564
48 -0.9641889406244526
49 -0.9162371218073877
50 -0.9742505068672662
51 -0.6008074396425926
52 -0.5381466275411084
53 0.9963736928572633
54 0.17525408793485586
55 -0.13018273346541576
56 -0.04647755286667321
57 -0.10065499372310227
58 0.5071499843900726
59 0.4990142229481809
60 0.12490756813866133
61 -0.10996526894466485
62 0.23226386029047674
63 -0.6806428167199032
64 0.4235547673453559
0 2 0.4689305390552363
0 5 -0.6455245816192141
0 9 0.6599579323878917
0 11 0.3842455186917759
0 13 0.1233267429894438
0 14 -0.8273924936858215
0 18 -0.82779697571959
0 19 -0.42888939678999605
0 20 0.5529250074171839
0 24 0.020789042965688065
0 25 0.8644075706425376
0 26 -0.4068878874841362
0 27 0.5321247653984766
0 34 -0.2575073624305868
0 35 -0.19501316033782667
0 38 -0.008889489337310374
0 39 -0.871507763891288
0 49 -0.695424321464436
0 50 -0.754549726355151
0 51 0.6962282743969441
0 52 0.41162744017275643
0 56 0.3899735433576068
0 59 0.9930911476680311
0 64 -0.8059199531889916
1 10 0.23878666828740536
1 12 0.9791680276877743
1 14 0.015451077654148548
1 17 -0.02594755094971668
1 22 -0.43101288364900303
1 31 -0.8140757060226285
1 35 -0.07187009824857182
1 43 -0.8022726145368877
1 44 0.5829545509977274
1 45 -0.054651609484870356
1 46 -0.634738127204729
1 51 0.8220236629948747
1 53 0.15643064585021205
1 54 0.14333147929009193
1 58 -0.5199340576897542
1 63 0.20355866998386318
1 64 0.9109002206307599
2 6 0.18565270611344542
2 9 -0.5348568343754352
2 11 -0.7005165193641036
2 12 0.22570505538443264
2 17 0.954839471141298
2 18 -0.5212333324668887
2 24 -0.6222660855348998
2 26 0.8303098567950922
2 28 -0.48525654000986695
2 29 -0.22796055970907148
2 31 -0.21295211392189262
2 44 -0.5406108521352448
2 48 0.371575376973734
2 49 -0.5989607726725581
2 56 0.46575287094437456
2 61 -0.5834505623776196
2 63 -0.20990862895755358
3 4 0.01674177947789679
3 6 -0.4228786747633724
3 13 0.13522094806084928
3 18 0.9031249316440542
3 19 -0.9243611201351509
3 20 -0.8179647680375359
3 23 -0.873962396153896
3 25 0.4301720230601047
3 29 -0.11338123751743012
3 33 -0.7058820660879606
3 36 0.4427356924042751
3 37 0.8506582997534189
3 44 0.2193071296887148
3 51 0.3854214750556262
3 55 -0.9999975142317936
3 57 -0.49356204904817
3 59 0.2386139611911109
4 6 -0.0016162315001149175
4 7 -0.8017959123703085
4 14 -0.5210965784228807
4 16 0.8461096372705739
4 30 0.15068877040590922
4 31 -0.7365308389485838
4 33 -0.31240538407981266
4 35 0.5013167026462735
4 38 -0.9032514131152702
4 42 -0.7045204015761524
4 45 -0.09913973899019557
4 46 -0.2938863750575025
4 48 0.23042112034166662
4 50 -0.6574320260211077
4 53 0.4712083297402263
4 62 0.8453248940988813
4 64 0.3149770698826928
5 8 -0.5711643709042207
5 9 0.8624463647711575
5 10 0.9682141720388562
5 12 -0.534694322927592
5 15 -0.2931094168454451
5 22 0.47768040704225667
5 24 0.1977192874581386
5 25 0.358031132166571
5 30 -0.732885389120302
5 31 -0.9236976172140625
5 32 -0.5156230836423503
5 50 -0.5764883777681638
5 52 -0.05903041678026266
5 59 -0.8812673582265897
5 60 -0.09842623962175567
6 7 -0.8214518224616962
6 9 0.9584643502042061
6 12 -0.037248091542929185
6 16 0.6224183145349038
6 18 0.10035421634973374
6 25 -0.47292544366432
6 26 -0.8955459232794549
6 27 0.9397206372853624
6 33 -0.8416579585635229
6 34 0.3790209146738006
6 35 0.9463857959769668
6 37 0.9232196029207491
6 39 -0.5047417457072871
6 44 -0.2540040942135917
6 50 -0.5475271752508026
6 54 0.13281347637750085
6 55 0.00978747361069554
6 58 0.7713434900573934
7 8 0.36615248369842046
7 10 -0.07771466924653625
7 11 0.7282105977298781
7 12 -0.42134496519834586
7 20 -0.6454067760321265
7 21 -0.23412850038720712
7 22 -0.8970082137561164
7 29 0.1912333932288106
7 30 -0.4424361135172781
7 36 -0.5151194187436872
7 39 0.30693685277397487
7 45 -0.8189383255521441
7 47 -0.9563468239551822
7 48 0.6531665939941536
7 49 -0.4281181083686769
7 50 0.4858599311635394
7 51 0.49286909686083424
7 53 -0.672795430860369
7 63 0.4490025889697673
7 64 0.48441176055762813
8 17 -0.9858962064441865
8 18 -0.05944644546373268
8 19 -0.39304767332993684
8 23 -0.06144727987182086
8 30 -0.9401177273478334
8 31 0.9415346436337404
8 35 -0.3713933883541749
8 36 0.4191067732989451
8 39 -0.806014137009146
8 41 -0.032603573387370854
8 43 -0.6167709951174445
8 45 0.3857760328854114
8 48 0.8710218651676498
8 49 -0.12217255213494327
8 50 -0.43841546815916566
8 51 -0.2800197291952651
8 53 0.5745841613117566
8 55 -0.8597265971481052
8 60 -0.5785184919815094
9 10 0.516442782519785
9 14 0.11101710377154816
9 19 -0.23654241416010824
9 26 -0.08959885781256505
9 30 0.2714006547853345
9 32 -0.4300006186904981
9 35 0.12542205358658554
9 36 0.6015758609348778
9 39 0.15511685943421272
9 43 -0.9815734505836871
9 47 -0.3689691054619584
9 48 -0.4376462950883082
9 50 0.1642396422810226
9 51 0.20223724573138702
9 61 -0.045078833656909234
10 11 -0.9187775052170124
10 12 -0.8837801147259134
10 13 0.7591835680262482
10 16 -0.13026141770988908
10 17 -0.3882588834652496
10 22 -0.3209924837068754
10 27 0.3037588146946675
10 29 -0.9589211757409135
10 31 0.03113574285777987
10 32 -0.49454393793606233
10 35 0.520510406671036
10 36 -0.16095237706676868
10 38 0.4507963856945003
10 39 -0.4373746134170524
10 43 -0.4348930151214496
10 48 0.8344300388555421
10 49 -0.8764582989958645
10 52 -0.21726481192109204
10 55 -0.5725059282191862
10 60 -0.6882457413342271
11 12 -0.2635896454653688
11 13 -0.6415847090222371
11 14 0.014953094375865561
11 18 -0.8991063630071066
11 28 0.6603195705489431
11 29 -0.17057694257817335
11 32 0.8384821337542281
11 33 0.20848822496124808
11 34 -0.5039929252157438
11 35 -0.3254812280158599
11 38 -0.10033862725168308
11 47 0.7653850008874998
11 53 -0.7110288302439405
11 55 0.6093597004556954
11 56 -0.3597718162246075
11 57 -0.573431514926007
11 60 0.6333462437095156
12 14 -0.19957170236623
12 21 -0.18120168574443984
12 22 0.4124977847011906
12 23 -0.7604218810790133
12 26 -0.9266750425507448
12 29 0.2637410904059607
12 34 0.5205163329964049
12 36 0.7082158252347504
12 37 -0.6072586906541175
12 38 -0.8178349259902216
12 39 -0.8498730388981353
12 42 0.040400379507997464
12 43 -0.5209589202992697
12 46 0.5157292438952403
12 47 -0.8349869700501087
12 48 0.33270371919856623
12 50 0.1639976982460516
12 54 0.1640256733644161
12 55 0.20196016571470632
12 59 -0.18230243554697
12 62 0.176909653534584
12 63 0.8425907408617208
13 15 -0.2699910033054711
13 16 0.41904425359579633
13 17 -0.11921446625395826
13 19 0.1979734264167179
13 21 -0.3970715294404563
13 27 0.26316943452539765
13 28 0.23456452467541045
13 29 -0.48466452166330565
13 30 0.2371005026335169
13 32 0.39358657385796314
13 39 -0.41479199736788397
13 43 -0.19500618410317005
13 47 -0.7817958495943982
13 52 -0.5980459644320268
13 56 0.36366096036932927
13 58 0.43981883362973795
13 59 -0.7831644404377487
13 62 0.7487437952877423
14 19 0.6269193772362773
14 20 0.38384202599708694
14 23 0.08369354145465757
14 25 -0.8902001757413174
14 28 -0.5197406896995609
14 30 -0.27719164928826157
14 31 -0.24881893240150466
14 37 0.4078054226974439
14 41 -0.6928367682167449
14 43 0.7516941434327105
14 44 0.2259900488357489
14 45 -0.6038026738827469
14 50 -0.06550507484161905
14 51 0.21597280055219392
14 59 0.680731816721365
14 60 0.9628220177206017
15 18 -0.008021035903659879
15 19 0.2931452365185545
15 21 -0.31841582238303645
15 23 -0.8022310657637701
15 26 0.7805174915248916
15 27 0.6812708770648497
15 29 -0.3466381213709029
15 34 -0.7796536625952719
15 37 0.5252941664305328
15 38 -0.23034625690775878
15 39 0.4317459991659034
15 41 0.03548385631301021
15 44 0.34561612224002425
15 45 0.6306293044053946
15 51 0.2309881644224745
15 53 -0.3616089758130081
15 54 -0.809049992611802
15 55 -0.5827820094366272
15 56 -0.4533226749819421
15 60 -0.017210007130778582
15 63 -0.19500045873889427
16 19 -0.7891106400625836
16 31 0.42490645744340716
16 35 -0.7260531662737499
16 39 -0.34230759658518073
16 41 -0.34991917197705313
16 46 0.32119036096189935
16 64 0.46859800968452725
17 20 -0.41221230266688247
17 21 0.6092958177678753
17 25 0.005931725333675697
17 26 -0.11147708532500356
17 27 -0.5461783652850056
17 43 0.36237977024119816
17 45 -0.4429101855457602
17 48 0.46383904701947465
17 51 0.13052721246019394
17 56 -0.08859337567060077
17 59 -0.16436893259786434
17 60 -0.7035332995831372
17 61 0.4676534925316993
17 62 0.40326396811896204
17 63 -0.5741996613669145
18 22 0.40467216072875334
18 23 -0.07430286089135762
18 24 -0.6470209286904562
18 25 0.03168005276987307
18 27 0.19360779029941355
18 31 0.38568536729224645
18 34 0.4520002946735828
18 40 -0.6461974301700557
18 41 -0.7505251646960778
18 44 -0.02826570768406733
18 48 0.5838881269956042
18 52 -0.8716628498278982
18 63 -0.027565164244886198
19 21 0.04640312431368909
19 22 0.07829483320378738
19 26 -0.303579485644377
19 34 0.38821319648075314
19 38 0.6472141896616572
19 43 0.9760723121789869
19 44 -0.012303062801729103
19 45 -0.9727420202625499
19 52 0.6784906267566069
19 53 0.9611470401784037
19 57 0.10069983384591086
19 59 -0.08853057867434488
19 60 0.8239226230018188
20 26 -0.9206710552348498
20 29 0.06392449812508882
20 35 0.16627913036212583
20 39 0.5945116833636597
20 42 -0.1391334745707653
20 46 0.7188289694514407
20 48 0.7287272587445415
20 54 0.3734689920290284
20 55 0.7725093901949549
20 56 -0.10117160735336594
20 59 0.3729927954173562
20 62 0.8330778470764568
21 22 0.06857749003296831
21 23 -0.6674712426130001
21 28 0.6120689239837205
21 30 0.48542467543338885
21 31 -0.6065199738602047
21 32 -0.15064667788047226
21 33 0.09780191178366526
21 35 0.8966059281188148
21 38 -0.6131783302595657
21 40 0.10681743484952477
21 41 0.1473245802500831
21 46 -0.0648516717190617
21 47 -0.512653137979898
21 50 -0.06871916099396325
21 55 -0.17329835999183696
21 59 0.03539544173866971
22 23 0.23216209040911884
22 26 -0.18971414354063754
22 28 -0.35057368336585215
22 30 -0.2601619455520987
22 32 0.3108080444321555
22 40 -0.8342360108519817
22 41 -0.5497445897080904
22 43 -0.6252881976978679
22 44 -0.995421186058685
22 47 -0.10927752162286586
22 50 0.6360067519552111
22 52 0.7261885312542811
22 54 -0.675853239483724
22 56 0.9803779900219969
22 57 -0.05419622423618509
