65 938
0 -0.5607007836493632
1 0.014869840972893789
2 0.8373087430929773
3 0.8650247285273993
4 0.45372365091803646
5 -0.9291877607213708
6 -0.8022197226288508
7 0.9921746412562611
8 0.4623127986514215
9 0.753916809978812
10 0.04070478740966732
11 -0.29248342032533303
12 0.5527440516041331
13 -0.9581711575328
14 -0.6216462340404534
15 0.4136684094586549
16 0.690834304124361
17 0.7475372443528263
18 -0.4577364691340873
19 -0.5267801941747383
20 -0.20884766489918505
21 -0.17632594509421518
22 -0.164747290394212
23 -0.7026456799866367
24 -0.9927844551136225
25 0.6466848262390437
26 0.9432242105974575
27 -0.48789073647406145
28 0.33497382460961056
29 -0.6998942713040033
30 0.2810531962759528
31 -0.347952389629578
32 0.7234453781553036
33 -0.07379556807164889
34 0.7352491219528197
35 -0.36382905667913845
36 -0.4847947666630952
37 0.8157209171663227
38 0.6918177372168537
39 -0.5726362661718196
40 -0.8751668813073434
41 0.8644345342026287
42 -0.6361869659703685
43 -0.7579636177119184
44 0.749199730358046
45 -0.5003142918320096
46 0.3933278730616385
47 -0.28068343289082653
48 -0.5235024896754885
49 -0.4880055866917792
50 0.4956698067126599
51 0.6817116511049368
52 -0.1801269656712008
53 -0.4931267825567176
54 -0.686764751619555
55 0.6476239977655374
56 0.7504181472118223
57 -0.774284299058065
58 0.9912317195072471
59 0.6322028597441707
60 0.7256544907462037
61 0.5351575057066948
62 0.42417855594130316
63 0.35455738194951736
64 0.093695864860037
0 6 0.8416334879225011
0 9 0.4303290344911974
0 10 -0.6433659150412987
0 15 0.6966311359592747
0 19 -0.6694120012589921
0 20 -0.9128508417898844
0 21 0.7693686093473913
0 26 0.7915800363344967
0 29 0.43782034083255317
0 32 -0.38111932007165916
0 35 -0.5165086838764079
0 36 -0.16956435727271169
0 45 0.8102507840160034
0 46 0.1193874287256591
0 48 0.9526946046044027
0 49 -0.8100772781144705
0 50 0.3949756559352271
0 51 0.022374684369470987
0 52 0.5160992102931259
0 55 -0.5958555102834995
0 57 -0.05382296787953278
0 60 0.4504212241717549
0 63 -0.5946360445793564
1 3 -0.9325123130226771
1 6 -0.2260113692275345
1 7 0.07246272764917205
1 8 0.6499414514099542
1 9 -0.2750137387742946
1 16 0.848137743798983
1 19 -0.13112380261324708
1 23 0.9897617587395457
1 26 -0.5955870446386522
1 27 -0.11823521554281902
1 29 0.569573280134499
1 33 -0.43525908031087024
1 36 0.5112992380484551
1 37 -0.20196396570771324
1 39 -0.10736595443959862
1 43 0.07215318123109671
1 44 0.5366792696170071
1 46 0.44954391393483073
1 48 -0.5967758064100273
1 49 -0.4843625533325773
1 52 -0.9048590469985827
1 54 -0.607537455359674
1 55 0.5206073067616948
1 57 -0.2347934789678392
1 58 -0.3838008846720289
1 63 -0.28552247464523384
2 6 0.24490547311760857
2 7 -0.1505745617789298
2 9 0.9617217536933853
2 13 -0.4541673561400035
2 17 -0.80175610072282
2 19 0.3339153936577115
2 28 0.37328668739094994
2 30 0.4317950393706107
2 32 0.4564427903567214
2 33 0.4176512952978306
2 34 0.548551613778874
2 36 -0.43551967906317746
2 43 -0.8630309921767467
2 44 0.4472715653658512
2 45 -0.4145379570275589
2 46 -0.2799003864070688
2 52 -0.5450397052131133
2 53 0.046725284174506276
2 54 0.024894783113905694
2 58 -0.9135779061567768
2 59 -0.700474315076383
2 60 -0.08300748863614071
2 61 -0.7065592437347792
3 4 0.3469009677049053
3 6 0.5298473983493521
3 10 -0.8322133390259785
3 11 -0.11351583227672557
3 14 -0.4429708913048773
3 17 -0.1438773995493483
3 19 -0.9408022085511658
3 21 0.07597512498965853
3 22 0.5403084498974393
3 23 -0.6589507441545119
3 25 0.8210999851798475
3 26 0.8424184105320842
3 28 -0.2946047773669287
3 34 -0.7165308527804388
3 35 0.6191581192417626
3 37 -0.4315130099592557
3 38 -0.49779506203785284
3 39 -0.5620851730360443
3 40 -0.47479615099245875
3 42 -0.8091089759278025
3 43 -0.26030206377087106
3 47 0.21227175800046227
3 51 -0.45231229571906906
3 52 -0.7809248234074375
3 53 -0.06797206062774808
3 57 -0.45313650506237324
3 59 -0.666288668074934
3 60 -0.8276083032655948
3 62 0.08544298349889079
3 63 -0.5372041835444321
3 64 -0.35134386949080576
4 5 0.49381630509219976
4 6 0.43909458641944665
4 7 -0.20998825105178986
4 10 0.9326650022168357
4 12 -0.8230309994409912
4 13 0.4995032594801889
4 17 -0.07290392486620689
4 18 -0.12325749615755321
4 19 0.3415461071169088
4 21 0.9678944325468661
4 22 0.1745400696271573
4 23 0.9927164433429498
4 24 0.9946633912596254
4 25 0.0776885196061925
4 26 -0.6166669192648191
4 27 0.2507394926380704
4 30 -0.8957370663454203
4 32 0.03936234896912927
4 33 -0.33251571260756885
4 36 0.9837106810077281
4 38 0.8645108833273412
4 43 -0.9633295795162669
4 48 0.1715713540733781
4 51 0.33640083065518467
4 52 0.04920428769045482
4 55 0.28007329122110214
4 58 -0.7768211060135668
4 59 0.587515123913372
4 60 0.7495702198467207
4 62 0.498563405776451
4 63 -0.7945109185379933
5 8 -0.5715678116609928
5 14 -0.043539933549097354
5 18 0.2123358242040212
5 23 -0.32538590157219316
5 24 0.6317654914455471
5 28 -0.7735754626978046
5 29 0.40074427459054274
5 30 0.8934546886759716
5 31 0.5019901252283394
5 33 0.6888386302195835
5 37 -0.6185880767227658
5 39 0.8977738387344787
5 40 0.3794047066657351
5 44 0.0892263907092734
5 47 -0.6316047530837581
5 50 0.1417991305110562
5 52 -0.8277570737620081
5 54 -0.24991379768020217
5 56 -0.28285387066388656
5 57 -0.811865713872105
5 59 -0.9695296101898925
5 63 -0.508398256259472
6 9 -0.4067949400332693
6 11 0.5365525132971871
6 14 0.14934107933129326
6 16 -0.9759778580555873
6 17 0.8397737699171166
6 25 -0.26771969822070263
6 27 -0.7554282141861544
6 30 -0.6317744315986988
6 31 -0.17320210185232598
6 32 -0.17608629298247402
6 33 -0.5447447847022711
6 34 -0.5463844845378183
6 35 0.31471480490968395
6 36 -0.11706546696723152
6 37 -0.8613264343350808
6 42 0.4400381677126908
6 44 0.3945258622955845
6 48 -0.275056515241908
6 51 -0.5225537701516307
6 59 -0.5533435081957194
6 63 -0.241943193427002
6 64 0.8377560514659204
7 9 0.3665569222395857
7 11 0.7607192884019547
7 14 0.5173518417740455
7 15 -0.7399833403568947
7 16 0.4072251102953386
7 17 0.41476741079760715
7 19 0.3095652355775136
7 20 -0.3985142232363519
7 21 0.343621927500221
7 24 0.12829449319767816
7 27 -0.19850102729234687
7 30 -0.8009823216390899
7 32 0.08303034184990632
7 33 0.5373691076185079
7 34 -0.7972992876347782
7 40 -0.5211560063055893
7 43 -0.44058144940885424
7 44 -0.04518587698348342
7 47 0.365268292718806
7 49 -0.9664152969407025
7 51 0.382801396294554
7 52 0.7080961287487395
7 54 0.5678099689948506
7 57 0.043296163557763334
7 58 0.10202068665268493
7 59 -0.7926597255212742
7 61 -0.6394426047002906
7 62 0.24129372009435213
8 9 0.41921252643677764
