65 834
0 -0.17181589492582972
1 -0.6537701523371982
2 -0.6271122032169105
3 -0.8777860839981242
4 -0.9148690489009217
5 0.24853902415622264
6 -0.3726232415216595
7 0.9349296925116146
8 0.58357222773408
9 -0.6487513430867784
10 -0.8243021316305283
11 -0.9520383940620976
12 -0.5383999645869288
13 -0.9265998995003968
14 0.6440045228376279
15 -0.07419791904144746
16 0.5856746242228816
17 -0.6050957621978763
18 -0.5758665335466024
19 0.8887937188575659
20 0.22050240488836126
21 -0.2904532023515587
22 -0.38613686563076244
23 0.3751740241337196
24 -0.18488936646393261
25 0.13943519521418724
26 -0.8646186639031153
27 -0.12058549167643151
28 -0.8531781885634746
29 -0.8051365078435657
30 0.8717910531962914
31 -0.43173749708661613
32 -0.0020963356567889058
33 -0.5607255412227439
34 -0.8768650497151027
35 -0.004089772331712371
36 -0.5921091480164458
37 0.9555744587139909
38 0.09019306849741615
39 -0.48588597326394
40 0.6405784697913695
41 -0.4187754885400983
42 0.9763362213328897
43 -0.9582967933860922
44 -0.4706826419091219
45 0.35422863825389816
46 -0.993990015698389
47 0.7611684246981618
48 -0.31222946820508723
49 -0.5655914075112187
50 0.5907544249545762
51 0.7780613712418734
52 -0.6439583736147165
53 0.21609535657383017
54 0.896317266725281
55 -0.818221471200812
56 -0.157365444465571
57 0.3115625713388037
58 -0.1898069702023386
59 -0.6378872870385393
60 -0.5691908721424366
61 -0.49955657898426553
62 0.024260818206260915
63 -0.6154200445858673
64 0.43315099740380547
0 4 -0.7266478824248037
0 8 -0.03544640200902838
0 14 -0.6551264132048631
0 16 0.5963648441146077
0 17 0.2714205689119751
0 19 -0.6845007439881328
0 21 -0.8000712864644548
0 25 -0.4006084640305725
0 28 -0.9616977977654799
0 31 0.6266673227803685
0 32 -0.2689945529571791
0 33 -0.8778711319783279
0 34 0.363612552400955
0 35 0.9200610314257258
0 38 -0.4624579754980578
0 39 -0.9139886007240321
0 40 -0.4318767564568866
0 45 0.9796553174245466
0 46 -0.7992736581727673
0 50 0.7689789699180059
0 58 0.7247871296941981
0 61 -0.27150179577124733
0 64 -0.5748928012190961
1 4 0.8556288941968435
1 6 -0.36042217563846046
1 11 -0.9584498656872869
1 14 -0.3470132154495513
1 15 -0.48586340130079675
1 18 -0.5860111573861455
1 21 0.8394209484370687
1 25 -0.5781695089677974
1 26 0.4588085651962208
1 27 0.8836241432132126
1 29 -0.710980012013994
1 32 0.2637683212049178
1 34 -0.05243467579578853
1 35 -0.42561449276123886
1 38 -0.5079188410270044
1 39 -0.5385980119145248
1 57 -0.09474308330384673
1 58 0.6999929659194593
1 59 0.3781344443590273
1 60 -0.45418541592138184
1 61 -0.42524643755399727
2 3 -0.043201825768126145
2 4 0.2877501864144314
2 5 -0.253296583966933
2 6 0.5801808136618383
2 11 -0.5539777169579283
2 14 -0.9383420469819703
2 15 0.7349728551184544
2 16 -0.4298030648101161
2 22 0.20160949894271107
2 24 -0.46442707334482836
2 25 0.2126905384778286
2 31 -0.5479516536249098
2 32 0.5537695675876544
2 33 -0.4936351759394719
2 34 -0.1374976598778137
2 47 0.7809183696027229
2 48 -0.9504276506836948
2 49 0.6251204220735769
2 52 -0.7424007653216174
2 53 0.7643804668208123
2 54 0.06509323189954497
2 56 -0.6841639917031352
2 58 -0.6646233215473398
2 59 0.31192982333071373
2 60 0.8717704536228412
2 61 0.8908160410796344
2 64 -0.7985123394008209
3 4 -0.7004443731523935
3 10 -0.5994603954566315
3 11 0.7170260668202721
3 12 0.5236453297028418
3 13 -0.9515613427238492
3 14 -0.5538887860471118
3 17 -0.8268420383641395
3 18 -0.3947688619537173
3 19 -0.053749563426547686
3 20 0.7420499481231759
3 21 -0.22869408580367057
3 23 -0.7378631517999747
3 25 -0.8560867259539249
3 26 -0.9341966336645142
3 27 0.7699061455686151
3 29 0.2926261312212006
3 30 0.814244267196212
3 40 0.7004676957406111
3 42 0.4844268405826351
3 43 -0.8157897756362451
3 47 -0.8909350281291133
3 49 0.931606206746157
3 50 -0.4132740155583361
3 51 -0.05858046957859098
3 54 0.6482335434770969
3 55 -0.9889469163426552
3 57 -0.402195307087474
3 59 -0.6918576373864167
3 61 0.377092006732038
4 5 -0.04035755494556126
4 6 0.769828781957242
4 11 0.3458969360912676
4 16 -0.8821814713561298
4 17 -0.812773275473766
4 22 0.9019348978022419
4 23 -0.10053994978559988
4 25 -0.5340608930931492
4 28 -0.4354276704632307
4 29 -0.7672693827489128
4 30 -0.5293464604751714
4 31 0.44895081148534466
4 34 -0.9634697952601887
4 43 0.6359985910554882
4 50 -0.933864066738197
4 52 0.26503514163674735
