65 1249
0 -0.3595151993055732
1 0.8705925959920666
2 -0.34840088614463793
3 0.4249654069811921
4 0.4478949154929781
5 0.919864884769457
6 -0.3511290271513725
7 0.7153055500459147
8 0.35332460780093156
9 -0.6858336848800772
10 0.4698924194204024
11 0.4364299507978413
12 -0.8828996517546641
13 0.4080160007987801
14 0.7007718220771788
15 -0.8348601931600224
16 -0.11193973304081029
17 -0.6997632677926322
18 0.09673038874265716
19 0.9283249793542547
20 0.37800185747809434
21 0.15170963983691244
22 -0.1591021987546064
23 0.6689116083489717
24 -0.08179817765450892
25 0.5912375986849567
26 -0.15188935845994544
27 -0.6034242437500175
28 0.11826984377637517
29 -0.9404243262076903
30 -0.12227320459273017
31 0.29085019545460256
32 -0.8435828553955715
33 0.18746384861078536
34 -0.8619190629170859
35 -0.35286073582365796
36 -0.4051974301514114
37 -0.4361373375072397
38 0.21143772712181108
39 0.9981326265775154
40 0.485586335085467
41 -0.29847349110476196
42 0.7899352787173781
43 0.5489835300201531
44 0.8742951737372922
45 -0.834688575776176
46 -0.48483563208408254
47 0.28055683243378216
48 -0.3333744630900197
49 0.205421111337049
50 0.03599102846733038
51 0.24100887622978373
52 0.3868814999595953
53 0.44795331864727417
54 0.46571152987694897
55 0.8284626929927523
56 -0.5524797027135575
57 -0.4173039560247822
58 -0.202669353315156
59 0.1496305297940963
60 -0.12776577218711416
61 0.07884976380266262
62 0.9116928409255527
63 -0.08854636098392699
64 -0.4755301700215
0 1 0.8757673605591698
0 2 0.8771653629823506
0 4 -0.8178954827709624
0 5 -0.8914909812594178
0 8 -0.23634640874594282
0 10 0.9580085304898562
0 11 -0.6902032594698282
0 12 0.5080423925839543
0 13 0.2900325374900914
0 14 0.640226447314151
0 17 0.2989620472746355
0 18 0.9470134391876694
0 20 -0.6930099593182966
0 21 0.3196017536895881
0 22 -0.9783596512617161
0 24 0.2523910897149322
0 25 -0.11728502702784205
0 26 0.8363157857182708
0 27 0.8024773794770221
0 28 -0.42136590598946877
0 29 -0.0967822328045691
0 32 0.8340102658064763
0 33 0.7226837957493799
0 34 -0.6809421686787225
0 35 -0.6050040834472676
0 36 -0.6546355643616579
0 37 0.5702133620555017
0 39 -0.2574294891281692
0 40 0.26656450331978476
0 41 0.4472276546159042
0 42 -0.9482466491601875
0 44 0.008719473720398163
0 45 -0.43919330089482256
0 46 -0.07286503219959628
0 47 0.3394599854793505
0 51 0.049370960924463914
0 52 0.6923727674799514
0 54 0.8340016410356399
0 60 -0.024532209130449845
0 63 0.41569236899793793
0 64 -0.2501935728239131
1 5 0.5020707953084864
1 6 -0.1825469946158036
1 7 -0.369020909182314
1 8 0.48475837940755917
1 11 0.377668106843734
1 13 0.7934541172190201
1 14 0.6695165470008053
1 17 0.6642633423074866
1 18 -0.7670668664404616
1 19 0.9649295669539688
1 20 0.30614304250796187
1 21 -0.4392140911265492
1 22 0.9588749968955281
1 23 -0.5559000579943179
1 24 -0.6914876229884128
1 25 -0.2979160269738428
1 31 0.1945237158794988
1 32 -0.9550378950149188
1 33 -0.13465009069258982
1 35 -0.7254733568086265
1 38 -0.49694717860484405
1 39 -0.6088940305439414
1 40 -0.4587242757711667
1 41 -0.07084669932355991
1 42 -0.38636299486387515
1 43 -0.9459192147739828
1 45 -0.5004083582456527
1 48 -0.40150646817859337
1 50 -0.9572753569988419
1 52 0.28710049380381664
1 54 -0.48372546567800856
1 57 -0.8682857074515518
1 59 0.30949435890220234
1 60 -0.04897147198207463
1 61 -0.09322149223577392
1 63 0.44098898035952794
1 64 0.6884483660763183
2 7 -0.2879316371330729
2 9 -0.000675150647991396
2 11 0.37978108597396787
2 12 -0.7036830371052634
2 13 -0.18128492850950506
2 14 -0.3645670700809873
2 17 -0.6626568495688678
2 18 -0.22444542935897616
2 19 -0.6574959647226226
2 20 0.9612461080238099
2 21 0.2656887722224264
2 22 0.38318799783216884
2 23 -0.18164639845331254
2 25 0.06875842453376801
2 26 -0.987281219346158
2 28 -0.35725509039781156
2 29 0.7649011441334115
2 30 0.5404029542433142
2 31 -0.6151207272491575
2 32 0.6094248170964327
2 35 0.8629800630154709
2 36 0.006015117808748416
2 37 0.250490039486978
2 42 0.3308401553288791
2 46 0.21556441677811256
2 47 0.29189633471161014
2 48 -0.516913875216926
2 49 -0.39463032307128376
2 51 -0.4005629040238663
2 52 -0.35311805806174124
2 55 0.3990085643950214
2 59 0.7393354655179469
2 60 -0.19109250130869815
2 61 0.8871561491856985
2 63 0.032415652014333274
3 4 -0.5438784000471271
3 5 0.2745681099783923
3 7 0.36378934808960484
3 8 -0.7547692494790623
3 10 0.9234410741532841
3 13 -0.20149124187826395
3 14 -0.3725303678070524
3 16 -0.5339262761719079
3 17 -0.6011547194083264
3 19 -0.5407755759231563
3 20 -0.9785756115899822
3 22 0.6683349797431035
3 24 -0.007601462329917208
3 25 0.6340028662151631
3 26 -0.16819832884646035
3 28 0.05599572696802424
3 29 0.7079697346501932
3 30 0.23469115443674093
3 31 0.0519286788608615
3 32 -0.25210958008193396
3 33 -0.4881235685929983
3 35 0.6146048577621439
3 36 0.3931149345691367
3 37 -0.4215457133779843
3 39 0.032311722009980004
3 42 0.7132949739219736
3 43 0.3688374681773998
3 45 0.22014050408019314
3 46 0.17191382606223038
3 47 -0.2569132057739061
3 48 0.3990694542676396
3 49 -0.9574416791239619
3 51 0.4055934575798785
3 52 0.06412355596664066
3 54 0.7197833654456758
3 55 -0.17163568533926887
3 56 0.9717549727188801
3 57 -0.7979149802561918
3 58 0.49930135389369523
