65 2080
0 0.675882318324524
1 -0.137049965969694
2 -0.9860672641421828
3 0.7582976436842863
4 0.0068000687361113865
5 -0.25520389795984033
6 -0.9668587864910552
7 0.39020571304194873
8 0.7756884933197403
9 0.4620482612481427
10 0.6896186361714702
11 -0.6787081636079446
12 0.6439786190482193
13 0.4882047401141101
14 0.6881178843413016
15 -0.7842843353794489
16 0.10205558507340484
17 0.3917041722314234
18 -0.36009641584215135
19 0.5759152740961886
20 0.6061949115036454
21 0.539451434784723
22 -0.20867266859464362
23 0.1784800292652533
24 -0.8232996672758948
25 0.6425803286509644
26 0.6713877142784279
27 0.26258120896173986
28 -0.7317688058850091
29 0.03098426452805869
30 0.17560979456050618
31 -0.8006736902251583
32 0.8718858490911752
33 0.3269890659934964
34 -0.35503076976372516
35 -0.36656174875022085
36 -0.14459640365332027
37 0.997024668710476
38 -0.4149515752000279
39 0.8185362146183579
40 -0.2858736096926211
41 -0.8488978601655068
42 -0.7972195396573607
43 0.2907754532887943
44 0.4612763408174514
45 0.6294006986587313
46 0.2607436098171714
47 -0.17394423623472632
48 0.2321981145427725
49 -0.46228643705038763
50 0.37381453043831825
51 0.2614576845291996
52 0.0510561754636083
53 0.019914722674335472
54 0.87290849066437
55 0.011530758618922832
56 -0.9717905363733506
57 0.6118990638521291
58 0.37665400166373564
59 0.6109749667029443
60 0.11510909175393369
61 0.8016519356797045
62 -0.6479366449851802
63 0.16405038186166965
64 -0.9868890753257209
0 1 -0.0071572045430876585
0 2 0.3146124160278807
0 3 -0.030393787609092282
0 4 -0.5059570562442777
0 5 0.7742017209776768
0 6 0.3407270741665027
0 7 -0.565918538746703
0 8 -0.4640175885358122
0 9 0.5031837514648121
0 10 -0.8070450556317543
0 11 -0.2678018853662538
0 12 -0.459841573867134
0 13 0.2507273779712631
0 14 -0.05526585826891428
0 15 0.43384294208376195
0 16 -0.25671465586017184
0 17 0.4148319153716715
0 18 0.5697848222365165
0 19 0.17217550708619056
0 20 0.2656132371512201
0 21 0.10125330716718084
0 22 0.7456696182128411
0 23 0.7493431495700238
0 24 -0.8775869191008183
0 25 -0.8516583053293796
0 26 -0.49361226868531816
0 27 0.673199659897509
0 28 0.1664593392833602
0 29 0.06761654822148389
0 30 -0.6990827235904542
0 31 0.3109103217067892
0 32 0.8401048500532318
0 33 0.022085948009078482
0 34 -0.18322572703885376
0 35 0.7198712554170619
0 36 -0.4578330705819744
0 37 0.2787547121573448
0 38 -0.3880354089713438
0 39 0.22462494591026472
0 40 0.026043369719741305
0 41 -0.7670448243927288
0 42 0.13844664986305677
0 43 -0.291919431265234
0 44 0.17176131276907336
0 45 -0.08793442293188547
0 46 0.06468228943941057
0 47 -0.22263915459645855
0 48 -0.30328586282673475
0 49 -0.428828255017772
0 50 0.9874044868908989
0 51 -0.633662643252574
0 52 -0.1036102162062793
0 53 -0.13604888085606448
0 54 -0.9336405370040877
0 55 0.4102017588395459
0 56 -0.672518958963018
0 57 0.5784603295658892
0 58 0.026186346354272638
0 59 0.25843461034070847
0 60 -0.7266689065281762
0 61 -0.9757198681499901
0 62 0.559609206781511
0 63 -0.9112222083302903
0 64 -0.5325837350705551
1 2 0.7502103696764135
1 3 0.4997616538154708
1 4 0.6646257106456825
1 5 -0.9085124098957846
1 6 0.4865131878926734
1 7 -0.05054108531871626
1 8 0.6074215804805532
1 9 0.20686270295233444
1 10 -0.8629655640802225
1 11 0.07784043187035738
1 12 -0.8124573524360299
1 13 0.5843106086285532
1 14 -0.223981541210875
1 15 -0.06560693063255463
1 16 0.7791727688454777
1 17 0.14115482113070965
1 18 0.059309499679634836
1 19 -0.43894658010867826
1 20 -0.01966564815752836
1 21 -0.925901898240109
1 22 0.41104211820478365
1 23 0.6798254873164218
1 24 0.19227227230352106
1 25 0.032314196856466415
1 26 0.6726081873367449
1 27 -0.9889155129326372
1 28 -0.45175318534196096
1 29 0.7364774859674619
1 30 -0.10557529097236262
1 31 0.7880881612156794
1 32 0.3047645970288715
1 33 -0.19874976270756184
1 34 0.3802512509192948
1 35 0.7761516630174925
1 36 0.5275435056512428
1 37 0.5852189277773732
1 38 0.028854835937281997
1 39 -0.034844785248484555
1 40 -0.23558103041685352
1 41 0.7064471608648055
1 42 -0.2928073626140737
1 43 0.3040870550134751
1 44 0.018236111167959868
1 45 -0.6929572638390025
1 46 0.08480680139554408
1 47 0.7365727337488179
1 48 -0.46774849398743745
1 49 -0.2598799144958106
1 50 -0.8658421577736457
1 51 -0.48067335710508474
1 52 -0.36838373798220503
1 53 0.41441976636536393
1 54 0.7774125888160941
1 55 0.9633775902231607
1 56 -0.7963498978493717
1 57 0.17052553513525992
1 58 -0.6874696148102333
1 59 -0.2191837855023202
1 60 -0.27880741294359446
1 61 0.9602961378878712
1 62 -0.8513902656351333
1 63 0.49477519980582163
1 64 -0.37841206382763026
2 3 -0.9496306153840133
2 4 -0.7576833608443192
2 5 0.6604544114844888
2 6 -0.5297649341275357
2 7 -0.6800327199472058
2 8 -0.4358339150728896
2 9 -0.38003001101191947
2 10 0.7936200441092913
2 11 0.30951686310074433
2 12 0.4844080386302876
2 13 0.18774031573749417
2 14 0.3689409342569663
2 15 0.7322254569266926
2 16 0.9518544127964397
2 17 0.09148837745298732
2 18 0.5527647817202257
2 19 0.17819881414869698
2 20 -0.7814094103594964
2 21 -0.6132957912377981
2 22 0.31269641454099717
2 23 0.5141768584504434
2 24 0.8106385329684289
2 25 0.9777496916253414
2 26 -0.09819544448529904
2 27 0.8928360059769225
2 28 0.8949949262422736
2 29 -0.43522892999279206
2 30 -0.02046730293402521
2 31 -0.08309314397259548
2 32 -0.14375554661357848
2 33 -0.9532438432979704
2 34 0.9070396560832927
2 35 0.7977419928055025
2 36 -0.8499756417935582
2 37 -0.6771771475568515
2 38 0.9335020936178213
2 39 0.9312485639537782
2 40 -0.49048874543590815
2 41 0.8496046631310712
2 42 -0.9813878873507271
2 43 -0.8462885628826604
2 44 -0.268034204901501
2 45 0.8186622161234545
2 46 0.2726811110779084
2 47 0.7100731709758923
2 48 -0.011463694068249763
2 49 0.04567240314455945
2 50 0.5285450784510239
2 51 0.48069833360312475
2 52 -0.28158979790776906
2 53 -0.14066081107499806
2 54 0.4371587184391901
2 55 0.03834156845246839
2 56 0.8146780862648844
2 57 0.3221455019913637
2 58 0.24944438633593946
2 59 -0.2691378803514326
2 60 0.7164821011140776
2 61 0.41407732438659406
2 62 -0.4653416936505206
2 63 -0.16144019134456933
2 64 -0.2074384980515962
3 4 0.14229836830752207
3 5 -0.26166355185030676
3 6 0.5670573630443745
3 7 0.4679815316340068
3 8 0.010776476954497793
3 9 0.7972730333510882
3 10 0.12452421464061336
3 11 -0.2565935845263483
3 12 0.509814804244829
3 13 0.8738551603768376
3 14 0.6109016830034237
3 15 0.5559424364108303
3 16 0.7543786505127352
3 17 -0.8690762696259864
3 18 -0.9392515605368446
3 19 -0.9992192772695763
3 20 0.8665997352886785
3 21 -0.7839891784350264
3 22 0.8307476641905207
3 23 0.4836761056945935
3 24 -0.40060882922250607
3 25 0.3398883346842405
3 26 -0.02260608281381038
3 27 0.8655811840091772
3 28 -0.5118393342020306
3 29 -0.10655025020201414
3 30 0.02298697959906626
3 31 0.1972578969875627
3 32 0.7939015219090486
3 33 0.04954474755756122
3 34 0.2889660071338984
3 35 0.11342640299838158
3 36 0.5331644138701979
3 37 0.804915728785693
3 38 0.2510500751409055
3 39 -0.907010624154166
3 40 0.2531027281204623
3 41 -0.5950654536052244
3 42 0.24779799376913347
3 43 0.8218544098945602
3 44 0.6014118821618444
3 45 -0.3236855957264211
3 46 -0.42590899464312404
3 47 0.21544708492264375
3 48 -0.08716011138195356
3 49 -0.6303809621249064
3 50 0.8330751537325725
3 51 0.14484349687520348
3 52 0.2893775541606687
3 53 0.30848135227874107
3 54 -0.02845902152498958
3 55 0.14363951538707043
3 56 -0.42948474693282357
3 57 0.3816327740534118
3 58 0.690592602191894
3 59 0.9847678671624847
3 60 0.9424713808013976
3 61 0.16119990577115662
3 62 -0.8557407734190441
3 63 0.16009128224031666
3 64 0.20341775518142913
4 5 0.5730727723203402
4 6 0.9663999520040585
4 7 0.08972803646345007
4 8 -0.6134822936447526
4 9 0.8520730388525073
4 10 0.1898905653983578
4 11 0.05027213331522673
4 12 0.3814828720149095
4 13 -0.9762511653602726
4 14 0.8219384041350393
4 15 -0.5070050478445596
4 16 0.6261520545046451
4 17 -0.5982428642770308
4 18 -0.09910408768445578
4 19 -0.8459147172262844
4 20 0.04742293427319999
4 21 -0.009830979974273069
4 22 0.9995526230273706
4 23 0.19086409201999355
4 24 -0.04076317310050648
4 25 -0.8932027000218083
4 26 -0.3980399142015951
4 27 -0.6245956255974596
4 28 -0.0040875100640052064
4 29 0.1446650256825559
4 30 0.40193197339322695
4 31 0.9039657621478256
4 32 0.9635010893069287
4 33 -0.3619599721436564
4 34 -0.4190005471416183
